evaluator,split,n,MAE,QWK,Signed_Bias,Exact_Match,Kendall_tau,low_to_high_count,low_to_high_rate,label1_recall,label2_recall,label2_pred_ge4_rate,parse_success_rate,invalid_score_rate
EduBenchEvaluator,all_5536,5536,0.38258670520231214,0.4680078204481718,0.2536127167630058,0.7055635838150289,0.4894331770359875,122,0.6130653266331658,0.37209302325581395,0.18584070796460178,0.6460176991150443,1.0,0.0
EduBenchEvaluator,train,3326,0.3956704750450992,0.3988252200879332,0.285628382441371,0.703547805171377,0.47371754787699594,86,0.7747747747747747,0.29310344827586204,0.03773584905660377,0.8490566037735849,1.0,0.0
EduBenchEvaluator,dev,1107,0.4083107497741644,0.5368261226695872,0.2186088527551942,0.6766034327009937,0.47277207956188283,22,0.38596491228070173,0.3684210526315789,0.3684210526315789,0.3684210526315789,1.0,0.0
EduBenchEvaluator,test,1103,0.3173164097914778,0.5898085151777352,0.19220308250226656,0.7407071622846781,0.5586960633406304,14,0.45161290322580644,0.8888888888888888,0.22727272727272727,0.6363636363636364,1.0,0.0
deepseek-r1,all_5536,5531,0.5675284758633159,0.3027896217164857,0.23232688483095282,0.5700596637136142,0.32089755998668285,130,0.6598984771573604,0.13095238095238096,0.17699115044247787,0.6194690265486725,1.0,0.0
deepseek-r1,train,3324,0.5604693140794224,0.321106660568345,0.22051744885679903,0.5743080625752106,0.32894908397369005,70,0.6306306306306306,0.13793103448275862,0.2641509433962264,0.5283018867924528,1.0,0.0
deepseek-r1,dev,1105,0.6063348416289592,0.25672235261631915,0.285972850678733,0.5619909502262443,0.3145755470131845,38,0.6909090909090909,0.17647058823529413,0.10526315789473684,0.7368421052631579,1.0,0.0
deepseek-r1,test,1102,0.5499092558983666,0.29295073819053485,0.21415607985480944,0.5653357531760436,0.30190754673495795,22,0.7096774193548387,0.0,0.09090909090909091,0.6363636363636364,1.0,0.0
deepseek-v3,all_5536,5482,0.5560014593214155,0.1986827360507084,0.3516964611455673,0.585187887632251,0.32060342898223904,171,0.8860103626943006,0.05952380952380952,0.01834862385321101,0.8807339449541285,1.0,0.0
deepseek-v3,train,3297,0.5483773127085229,0.2039717062471661,0.35304822565969063,0.583864118895966,0.3221804007921843,97,0.8899082568807339,0.034482758620689655,0.0392156862745098,0.8823529411764706,1.0,0.0
deepseek-v3,dev,1100,0.6627272727272727,0.13330992509363293,0.3372727272727273,0.5563636363636364,0.27509058100610084,48,0.8727272727272727,0.17647058823529413,0.0,0.8947368421052632,1.0,0.0
deepseek-v3,test,1085,0.47096774193548385,0.2698730362357331,0.3622119815668203,0.6184331797235023,0.36093883088303425,26,0.896551724137931,0.0,0.0,0.85,1.0,0.0
gpt-4o,all_5536,5393,0.5496013350639718,0.21233657136682849,0.40089004264787687,0.5712961246059707,0.28904903550952654,162,0.8617021276595744,0.0,0.027777777777777776,0.8240740740740741,1.0,0.0
gpt-4o,train,3229,0.5236915453700837,0.24509594142453728,0.39733663672963765,0.580365438216166,0.3127192133598823,87,0.8446601941747572,0.0,0.02040816326530612,0.7755102040816326,1.0,0.0
gpt-4o,dev,1090,0.6577981651376147,0.14458293614393547,0.41376146788990825,0.5275229357798165,0.23438721406849017,47,0.8545454545454545,0.0,0.05263157894736842,0.8157894736842105,1.0,0.0
gpt-4o,test,1074,0.5176908752327747,0.19388547959976532,0.3985102420856611,0.5884543761638734,0.2740797393105336,28,0.9333333333333333,0.0,0.0,0.9523809523809523,1.0,0.0
qwq-plus,all_5536,5445,0.560514233241506,0.2599126652602065,0.3074380165289256,0.5860422405876952,0.3143836183216902,149,0.7680412371134021,0.05952380952380952,0.13636363636363635,0.6727272727272727,1.0,0.0
qwq-plus,train,3271,0.5609905227759096,0.26154649551788933,0.3047997554264751,0.583002140018343,0.30728490965621214,83,0.7614678899082569,0.08771929824561403,0.11538461538461539,0.6346153846153846,1.0,0.0
qwq-plus,dev,1085,0.6055299539170507,0.23145320067455488,0.3382488479262673,0.5797235023041475,0.3325211742591054,44,0.8,0.0,0.13513513513513514,0.7297297297297297,1.0,0.0
qwq-plus,test,1089,0.5142332415059688,0.2887802537441855,0.2846648301193756,0.6014692378328742,0.3163767598589363,22,0.7333333333333333,0.0,0.19047619047619047,0.6666666666666666,1.0,0.0
