dataset_variant,rejected_source,rejected_category,risk_type,n
r5c_main,r4b,actual_model,high_to_low_score_risk,5
r5c_main,hard_synthetic_score2_conservative_failure,hard_synthetic,high_to_low_score_risk,468
r5c_main,hard_synthetic_score3_conservative_failure,hard_synthetic,high_to_low_score_risk,877
r5c_main,r2n,actual_model,low_to_high_score_risk,184
r5c_main,hard_synthetic_score4_no_failure,hard_synthetic,low_to_high_score_risk,1166
r5c_main,hard_synthetic_mid_high5,hard_synthetic,mid_score_calibration,153
r5c_main,hard_synthetic_mid_low1,hard_synthetic,mid_score_calibration,147
r5c_no_mid,r1b,actual_model,high_to_low_score_risk,2
r5c_no_mid,r2c,actual_model,high_to_low_score_risk,1
r5c_no_mid,r4b,actual_model,high_to_low_score_risk,2
r5c_no_mid,hard_synthetic_score2_conservative_failure,hard_synthetic,high_to_low_score_risk,523
r5c_no_mid,hard_synthetic_score3_conservative_failure,hard_synthetic,high_to_low_score_risk,972
r5c_no_mid,r2n,actual_model,low_to_high_score_risk,238
r5c_no_mid,hard_synthetic_score4_no_failure,hard_synthetic,low_to_high_score_risk,1262
