rejected_source,n
r0a_direct_qwen3_4b_sample0,25
r0a_direct_qwen3_4b_sample1,24
r0a_direct_qwen3_4b_sample10,19
r0a_direct_qwen3_4b_sample11,26
r0a_direct_qwen3_4b_sample2,26
r0a_direct_qwen3_4b_sample3,27
r0a_direct_qwen3_4b_sample4,26
r0a_direct_qwen3_4b_sample5,26
r0a_direct_qwen3_4b_sample6,29
r0a_direct_qwen3_4b_sample7,25
r0a_direct_qwen3_4b_sample8,25
r0a_direct_qwen3_4b_sample9,21
r2c_clean_reason_score_balanced_sample0,5
r2c_clean_reason_score_balanced_sample1,7
r2c_clean_reason_score_balanced_sample10,5
r2c_clean_reason_score_balanced_sample11,2
r2c_clean_reason_score_balanced_sample2,3
r2c_clean_reason_score_balanced_sample3,3
r2c_clean_reason_score_balanced_sample4,2
r2c_clean_reason_score_balanced_sample5,6
r2c_clean_reason_score_balanced_sample6,5
r2c_clean_reason_score_balanced_sample7,4
r2c_clean_reason_score_balanced_sample8,4
r2c_clean_reason_score_balanced_sample9,3
r2n_reason_score_natural_sample0,11
r2n_reason_score_natural_sample1,16
r2n_reason_score_natural_sample10,16
r2n_reason_score_natural_sample11,13
r2n_reason_score_natural_sample2,21
r2n_reason_score_natural_sample3,18
r2n_reason_score_natural_sample4,13
r2n_reason_score_natural_sample5,15
r2n_reason_score_natural_sample6,18
r2n_reason_score_natural_sample7,19
r2n_reason_score_natural_sample8,17
r2n_reason_score_natural_sample9,12
r4b_shuffled_reason_balanced_sample0,2
r4b_shuffled_reason_balanced_sample1,2
r4b_shuffled_reason_balanced_sample10,2
r4b_shuffled_reason_balanced_sample11,2
r4b_shuffled_reason_balanced_sample2,3
r4b_shuffled_reason_balanced_sample3,3
r4b_shuffled_reason_balanced_sample6,2
r4b_shuffled_reason_balanced_sample8,1
r4b_shuffled_reason_balanced_sample9,1
