dataset,risk_type,rejected_category,candidate_pool,rejected_source,n
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r0a_direct_qwen3_4b_sample0,15
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r0a_direct_qwen3_4b_sample1,14
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r0a_direct_qwen3_4b_sample10,11
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r0a_direct_qwen3_4b_sample11,14
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r0a_direct_qwen3_4b_sample2,15
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r0a_direct_qwen3_4b_sample3,16
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r0a_direct_qwen3_4b_sample4,17
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r0a_direct_qwen3_4b_sample5,18
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r0a_direct_qwen3_4b_sample6,18
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r0a_direct_qwen3_4b_sample7,17
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r0a_direct_qwen3_4b_sample8,16
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r0a_direct_qwen3_4b_sample9,12
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r2n_reason_score_natural_sample0,6
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r2n_reason_score_natural_sample1,9
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r2n_reason_score_natural_sample10,11
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r2n_reason_score_natural_sample11,9
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r2n_reason_score_natural_sample2,16
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r2n_reason_score_natural_sample3,11
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r2n_reason_score_natural_sample4,8
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r2n_reason_score_natural_sample5,9
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r2n_reason_score_natural_sample6,11
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r2n_reason_score_natural_sample7,8
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r2n_reason_score_natural_sample8,11
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_a_strict_d1_like_low,r2n_reason_score_natural_sample9,10
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r0a_direct_qwen3_4b_sample0,10
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r0a_direct_qwen3_4b_sample1,10
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r0a_direct_qwen3_4b_sample10,8
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r0a_direct_qwen3_4b_sample11,12
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r0a_direct_qwen3_4b_sample2,11
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r0a_direct_qwen3_4b_sample3,11
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r0a_direct_qwen3_4b_sample4,9
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r0a_direct_qwen3_4b_sample5,8
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r0a_direct_qwen3_4b_sample6,11
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r0a_direct_qwen3_4b_sample7,8
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r0a_direct_qwen3_4b_sample8,9
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r0a_direct_qwen3_4b_sample9,9
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r2c_clean_reason_score_balanced_sample0,5
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r2c_clean_reason_score_balanced_sample1,7
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r2c_clean_reason_score_balanced_sample10,5
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r2c_clean_reason_score_balanced_sample11,2
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r2c_clean_reason_score_balanced_sample2,3
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r2c_clean_reason_score_balanced_sample3,3
edubench_r5g_real_only_dpo_train,low_to_high_score_risk,actual_model_generation,pool_b_all_train_low,r2c_clean_reason_score_balanced_sample4,2
