dataset_variant,dataset_name,chosen_schema,risk_type,pairs,is_main_training_candidate
r6a_qwen_score_only,edubench_r6a_qwen_only_score_real_dpo_train,score_only,high_to_low_real_model_error,69,True
r6a_qwen_score_only,edubench_r6a_qwen_only_score_real_dpo_train,score_only,high_to_mid_real_model_error,87,True
r6a_qwen_score_only,edubench_r6a_qwen_only_score_real_dpo_train,score_only,low_to_high_real_model_error,87,True
r6a_qwen_score_only,edubench_r6a_qwen_only_score_real_dpo_train,score_only,low_to_mid_real_model_error,19,True
r6a_qwen_score_only,edubench_r6a_qwen_only_score_real_dpo_train,score_only,mid_to_high_real_model_error,262,True
r6a_qwen_score_only,edubench_r6a_qwen_only_score_real_dpo_train,score_only,mid_to_low_real_model_error,2,True
r6b_multi_score_only,edubench_r6b_multi_judge_score_real_dpo_train,score_only,high_to_low_real_model_error,224,True
r6b_multi_score_only,edubench_r6b_multi_judge_score_real_dpo_train,score_only,high_to_mid_real_model_error,236,True
r6b_multi_score_only,edubench_r6b_multi_judge_score_real_dpo_train,score_only,low_to_high_real_model_error,172,True
r6b_multi_score_only,edubench_r6b_multi_judge_score_real_dpo_train,score_only,low_to_mid_real_model_error,39,True
r6b_multi_score_only,edubench_r6b_multi_judge_score_real_dpo_train,score_only,mid_to_high_real_model_error,524,True
r6b_multi_score_only,edubench_r6b_multi_judge_score_real_dpo_train,score_only,mid_to_low_real_model_error,55,True
r6c_low_high_score_only,edubench_r6c_low_high_score_real_dpo_train,score_only,high_to_low_real_model_error,224,True
r6c_low_high_score_only,edubench_r6c_low_high_score_real_dpo_train,score_only,high_to_mid_real_model_error,236,True
r6c_low_high_score_only,edubench_r6c_low_high_score_real_dpo_train,score_only,low_to_high_real_model_error,172,True
r6d_multi_structured_chosen,edubench_r6d_multi_judge_structured_chosen_real_score_dpo_train,structured,high_to_low_real_model_error,224,False
r6d_multi_structured_chosen,edubench_r6d_multi_judge_structured_chosen_real_score_dpo_train,structured,high_to_mid_real_model_error,236,False
r6d_multi_structured_chosen,edubench_r6d_multi_judge_structured_chosen_real_score_dpo_train,structured,low_to_high_real_model_error,172,False
r6d_multi_structured_chosen,edubench_r6d_multi_judge_structured_chosen_real_score_dpo_train,structured,low_to_mid_real_model_error,39,False
r6d_multi_structured_chosen,edubench_r6d_multi_judge_structured_chosen_real_score_dpo_train,structured,mid_to_high_real_model_error,524,False
r6d_multi_structured_chosen,edubench_r6d_multi_judge_structured_chosen_real_score_dpo_train,structured,mid_to_low_real_model_error,55,False
r6e_multi_reason_chosen,edubench_r6e_multi_judge_reason_chosen_real_score_dpo_train,reason,high_to_low_real_model_error,224,False
r6e_multi_reason_chosen,edubench_r6e_multi_judge_reason_chosen_real_score_dpo_train,reason,high_to_mid_real_model_error,236,False
r6e_multi_reason_chosen,edubench_r6e_multi_judge_reason_chosen_real_score_dpo_train,reason,low_to_high_real_model_error,172,False
r6e_multi_reason_chosen,edubench_r6e_multi_judge_reason_chosen_real_score_dpo_train,reason,low_to_mid_real_model_error,39,False
r6e_multi_reason_chosen,edubench_r6e_multi_judge_reason_chosen_real_score_dpo_train,reason,mid_to_high_real_model_error,524,False
r6e_multi_reason_chosen,edubench_r6e_multi_judge_reason_chosen_real_score_dpo_train,reason,mid_to_low_real_model_error,55,False
