dataset_variant,dataset_name,risk_type,pairs,unique_source_samples,chosen_score_mean,rejected_score_mean,source_count_mean,reason_present_rate,hard_synthetic_rate,template_rejected_rate,actual_rejected_rate
r6a_qwen_score_only,edubench_r6a_qwen_only_score_real_dpo_train,high_to_low_real_model_error,69,69,4.8551,1.5507,1.3478,0.0000,0.0000,0.0000,1.0000
r6a_qwen_score_only,edubench_r6a_qwen_only_score_real_dpo_train,high_to_mid_real_model_error,87,87,4.3793,3.0000,1.3103,0.0000,0.0000,0.0000,1.0000
r6a_qwen_score_only,edubench_r6a_qwen_only_score_real_dpo_train,low_to_high_real_model_error,87,87,1.4483,4.7931,3.9885,0.0000,0.0000,0.0000,1.0000
r6a_qwen_score_only,edubench_r6a_qwen_only_score_real_dpo_train,low_to_mid_real_model_error,19,19,1.6316,3.0000,1.8947,0.0000,0.0000,0.0000,1.0000
r6a_qwen_score_only,edubench_r6a_qwen_only_score_real_dpo_train,mid_to_high_real_model_error,262,262,3.0000,4.7405,3.4809,0.0000,0.0000,0.0000,1.0000
r6a_qwen_score_only,edubench_r6a_qwen_only_score_real_dpo_train,mid_to_low_real_model_error,2,2,3.0000,1.5000,1.5000,0.0000,0.0000,0.0000,1.0000
r6b_multi_score_only,edubench_r6b_multi_judge_score_real_dpo_train,high_to_low_real_model_error,224,200,4.5893,1.5625,1.1830,0.0000,0.0000,0.0000,1.0000
r6b_multi_score_only,edubench_r6b_multi_judge_score_real_dpo_train,high_to_mid_real_model_error,236,236,4.3814,3.0000,1.2712,0.0000,0.0000,0.0000,1.0000
r6b_multi_score_only,edubench_r6b_multi_judge_score_real_dpo_train,low_to_high_real_model_error,172,111,1.5465,4.6221,2.9651,0.0000,0.0000,0.0000,1.0000
r6b_multi_score_only,edubench_r6b_multi_judge_score_real_dpo_train,low_to_mid_real_model_error,39,39,1.6923,3.0000,1.6410,0.0000,0.0000,0.0000,1.0000
r6b_multi_score_only,edubench_r6b_multi_judge_score_real_dpo_train,mid_to_high_real_model_error,524,295,3.0000,4.5229,2.8168,0.0000,0.0000,0.0000,1.0000
r6b_multi_score_only,edubench_r6b_multi_judge_score_real_dpo_train,mid_to_low_real_model_error,55,55,3.0000,1.8727,1.2727,0.0000,0.0000,0.0000,1.0000
r6c_low_high_score_only,edubench_r6c_low_high_score_real_dpo_train,high_to_low_real_model_error,224,200,4.5893,1.5625,1.1830,0.0000,0.0000,0.0000,1.0000
r6c_low_high_score_only,edubench_r6c_low_high_score_real_dpo_train,high_to_mid_real_model_error,236,236,4.3814,3.0000,1.2712,0.0000,0.0000,0.0000,1.0000
r6c_low_high_score_only,edubench_r6c_low_high_score_real_dpo_train,low_to_high_real_model_error,172,111,1.5465,4.6221,2.9651,0.0000,0.0000,0.0000,1.0000
r6d_multi_structured_chosen,edubench_r6d_multi_judge_structured_chosen_real_score_dpo_train,high_to_low_real_model_error,224,200,4.5893,1.5625,1.1830,0.0000,0.0000,0.0000,1.0000
r6d_multi_structured_chosen,edubench_r6d_multi_judge_structured_chosen_real_score_dpo_train,high_to_mid_real_model_error,236,236,4.3814,3.0000,1.2712,0.0000,0.0000,0.0000,1.0000
r6d_multi_structured_chosen,edubench_r6d_multi_judge_structured_chosen_real_score_dpo_train,low_to_high_real_model_error,172,111,1.5465,4.6221,2.9651,0.0000,0.0000,0.0000,1.0000
r6d_multi_structured_chosen,edubench_r6d_multi_judge_structured_chosen_real_score_dpo_train,low_to_mid_real_model_error,39,39,1.6923,3.0000,1.6410,0.0000,0.0000,0.0000,1.0000
r6d_multi_structured_chosen,edubench_r6d_multi_judge_structured_chosen_real_score_dpo_train,mid_to_high_real_model_error,524,295,3.0000,4.5229,2.8168,0.0000,0.0000,0.0000,1.0000
r6d_multi_structured_chosen,edubench_r6d_multi_judge_structured_chosen_real_score_dpo_train,mid_to_low_real_model_error,55,55,3.0000,1.8727,1.2727,0.0000,0.0000,0.0000,1.0000
r6e_multi_reason_chosen,edubench_r6e_multi_judge_reason_chosen_real_score_dpo_train,high_to_low_real_model_error,224,200,4.5893,1.5625,1.1830,1.0000,0.0000,0.0000,1.0000
r6e_multi_reason_chosen,edubench_r6e_multi_judge_reason_chosen_real_score_dpo_train,high_to_mid_real_model_error,236,236,4.3814,3.0000,1.2712,1.0000,0.0000,0.0000,1.0000
r6e_multi_reason_chosen,edubench_r6e_multi_judge_reason_chosen_real_score_dpo_train,low_to_high_real_model_error,172,111,1.5465,4.6221,2.9651,1.0000,0.0000,0.0000,1.0000
r6e_multi_reason_chosen,edubench_r6e_multi_judge_reason_chosen_real_score_dpo_train,low_to_mid_real_model_error,39,39,1.6923,3.0000,1.6410,1.0000,0.0000,0.0000,1.0000
r6e_multi_reason_chosen,edubench_r6e_multi_judge_reason_chosen_real_score_dpo_train,mid_to_high_real_model_error,524,295,3.0000,4.5229,2.8168,1.0000,0.0000,0.0000,1.0000
r6e_multi_reason_chosen,edubench_r6e_multi_judge_reason_chosen_real_score_dpo_train,mid_to_low_real_model_error,55,55,3.0000,1.8727,1.2727,1.0000,0.0000,0.0000,1.0000
