dataset_variant,dataset_name,chosen_schema,risk_type,pairs,unique_source_samples,label_consistent_reason_pairs,label_consistent_reason_rate,all_dataset_reason_consistency_counts
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,score_only,high_to_low_real_model_error,139,125,139,1.0000,"{""True"": 749}"
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,score_only,high_to_mid_real_model_error,131,131,131,1.0000,"{""True"": 749}"
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,score_only,low_to_high_real_model_error,130,84,130,1.0000,"{""True"": 749}"
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,score_only,low_to_mid_real_model_error,29,29,29,1.0000,"{""True"": 749}"
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,score_only,mid_to_high_real_model_error,291,160,291,1.0000,"{""True"": 749}"
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,score_only,mid_to_low_real_model_error,29,29,29,1.0000,"{""True"": 749}"
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,human_reason_score,high_to_low_real_model_error,139,125,139,1.0000,"{""True"": 749}"
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,human_reason_score,high_to_mid_real_model_error,131,131,131,1.0000,"{""True"": 749}"
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,human_reason_score,low_to_high_real_model_error,130,84,130,1.0000,"{""True"": 749}"
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,human_reason_score,low_to_mid_real_model_error,29,29,29,1.0000,"{""True"": 749}"
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,human_reason_score,mid_to_high_real_model_error,291,160,291,1.0000,"{""True"": 749}"
r7b_human_reason_chosen,edubench_r7b_human_reason_chosen_real_score_dpo_train,human_reason_score,mid_to_low_real_model_error,29,29,29,1.0000,"{""True"": 749}"
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,human_reason_score,high_to_low_real_model_error,139,125,139,1.0000,"{""True"": 429}"
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,human_reason_score,high_to_mid_real_model_error,131,131,131,1.0000,"{""True"": 429}"
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,human_reason_score,low_to_high_real_model_error,130,84,130,1.0000,"{""True"": 429}"
r7c_low_high_human_reason_chosen,edubench_r7c_low_high_human_reason_chosen_real_score_dpo_train,human_reason_score,low_to_mid_real_model_error,29,29,29,1.0000,"{""True"": 429}"
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,human_reason_score,high_to_low_real_model_error,139,125,139,1.0000,"{""True"": 429}"
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,human_reason_score,high_to_mid_real_model_error,131,131,131,1.0000,"{""True"": 429}"
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,human_reason_score,low_to_high_real_model_error,130,84,130,1.0000,"{""True"": 429}"
r7d_strict_label_consistent_reason,edubench_r7d_strict_label_consistent_reason_real_dpo_train,human_reason_score,low_to_mid_real_model_error,29,29,29,1.0000,"{""True"": 429}"
