dataset,field,value,count,rate
edubench_r1_score_only_train,major_failures,None,3326,1.0
edubench_r1_score_only_balanced_train,major_failures,None,3000,1.0
edubench_r2_reason_score_train,major_failures,no_major_failure,2918,0.8773301262778112
edubench_r2_reason_score_train,major_failures,partial_or_incomplete,297,0.08929645219482862
edubench_r2_reason_score_train,major_failures,unclear,27,0.008117859290438966
edubench_r2_reason_score_train,major_failures,surface_fluent_but_hidden_defect,25,0.00751653638003608
edubench_r2_reason_score_train,major_failures,missing_key_point,25,0.00751653638003608
edubench_r2_reason_score_train,major_failures,insufficient_evidence,23,0.006915213469633193
edubench_r2_reason_score_train,major_failures,task_constraint_violation,4,0.0012026458208057728
edubench_r2_reason_score_train,major_failures,answer_key_or_reference_mismatch,4,0.0012026458208057728
edubench_r2_reason_score_train,major_failures,format_violation,3,0.0009019843656043296
edubench_r2_reason_score_balanced_train,major_failures,no_major_failure,1575,0.525
edubench_r2_reason_score_balanced_train,major_failures,partial_or_incomplete,525,0.175
edubench_r2_reason_score_balanced_train,major_failures,unclear,224,0.07466666666666667
edubench_r2_reason_score_balanced_train,major_failures,surface_fluent_but_hidden_defect,224,0.07466666666666667
edubench_r2_reason_score_balanced_train,major_failures,missing_key_point,191,0.06366666666666666
edubench_r2_reason_score_balanced_train,major_failures,insufficient_evidence,177,0.059
edubench_r2_reason_score_balanced_train,major_failures,task_constraint_violation,33,0.011
edubench_r2_reason_score_balanced_train,major_failures,answer_key_or_reference_mismatch,29,0.009666666666666667
edubench_r2_reason_score_balanced_train,major_failures,format_violation,22,0.007333333333333333
edubench_r2_clean_reason_score_balanced_train,major_failures,no_major_failure,1575,0.525
edubench_r2_clean_reason_score_balanced_train,major_failures,partial_or_incomplete,525,0.175
edubench_r2_clean_reason_score_balanced_train,major_failures,missing_key_point,277,0.09233333333333334
edubench_r2_clean_reason_score_balanced_train,major_failures,surface_fluent_but_hidden_defect,261,0.087
edubench_r2_clean_reason_score_balanced_train,major_failures,insufficient_evidence,221,0.07366666666666667
edubench_r2_clean_reason_score_balanced_train,major_failures,answer_key_or_reference_mismatch,56,0.018666666666666668
edubench_r2_clean_reason_score_balanced_train,major_failures,task_constraint_violation,51,0.017
edubench_r2_clean_reason_score_balanced_train,major_failures,format_violation,34,0.011333333333333334
edubench_r4_shuffled_reason_balanced_train,major_failures,no_major_failure,2645,0.8816666666666667
edubench_r4_shuffled_reason_balanced_train,major_failures,partial_or_incomplete,261,0.087
edubench_r4_shuffled_reason_balanced_train,major_failures,missing_key_point,27,0.009
edubench_r4_shuffled_reason_balanced_train,major_failures,unclear,23,0.007666666666666666
edubench_r4_shuffled_reason_balanced_train,major_failures,format_violation,16,0.005333333333333333
edubench_r4_shuffled_reason_balanced_train,major_failures,surface_fluent_but_hidden_defect,12,0.004
edubench_r4_shuffled_reason_balanced_train,major_failures,insufficient_evidence,12,0.004
edubench_r4_shuffled_reason_balanced_train,major_failures,answer_key_or_reference_mismatch,2,0.0006666666666666666
edubench_r4_shuffled_reason_balanced_train,major_failures,task_constraint_violation,2,0.0006666666666666666
