metric,value,count
metric,Instruction Following & Task Completion,595
metric,Content Relevance & Scope Control,405
metric,Basic Factual Accuracy,405
metric,Scenario Element Integration,322
metric,Reasoning Process Rigor,258
metric,"Clarity, Simplicity & Inspiration",257
metric,Higher-Order Thinking & Skill Development,256
metric,Domain Knowledge Accuracy,197
metric,"Personalization, Adaptation & Learning Support",190
metric,"Motivation, Guidance & Positive Feedback",187
metric,Error Identification & Correction Precision,134
metric,Role & Tone Consistency,120
