dataset,field,value,count,rate
edubench_r1_score_only_train,rubric_satisfied,None,3326,1.0
edubench_r1_score_only_balanced_train,rubric_satisfied,None,3000,1.0
edubench_r2_reason_score_train,rubric_satisfied,True,2918,0.8773301262778112
edubench_r2_reason_score_train,rubric_satisfied,False,408,0.12266987372218882
edubench_r2_reason_score_balanced_train,rubric_satisfied,True,1575,0.525
edubench_r2_reason_score_balanced_train,rubric_satisfied,False,1425,0.475
edubench_r2_clean_reason_score_balanced_train,rubric_satisfied,True,1575,0.525
edubench_r2_clean_reason_score_balanced_train,rubric_satisfied,False,1425,0.475
edubench_r4_shuffled_reason_balanced_train,rubric_satisfied,True,1575,0.525
edubench_r4_shuffled_reason_balanced_train,rubric_satisfied,False,1425,0.475
