dataset,field,value,count,rate
edubench_r1_score_only_train,score_cap,None,3326,1.0
edubench_r1_score_only_balanced_train,score_cap,None,3000,1.0
edubench_r2_reason_score_train,score_cap,None,2918,0.8773301262778112
edubench_r2_reason_score_train,score_cap,3,297,0.08929645219482862
edubench_r2_reason_score_train,score_cap,1,58,0.017438364401683705
edubench_r2_reason_score_train,score_cap,2,53,0.01593505712567649
edubench_r2_reason_score_balanced_train,score_cap,None,1575,0.525
edubench_r2_reason_score_balanced_train,score_cap,3,525,0.175
edubench_r2_reason_score_balanced_train,score_cap,2,455,0.15166666666666667
edubench_r2_reason_score_balanced_train,score_cap,1,445,0.14833333333333334
edubench_r2_clean_reason_score_balanced_train,score_cap,None,1575,0.525
edubench_r2_clean_reason_score_balanced_train,score_cap,3,525,0.175
edubench_r2_clean_reason_score_balanced_train,score_cap,1,520,0.17333333333333334
edubench_r2_clean_reason_score_balanced_train,score_cap,2,380,0.12666666666666668
edubench_r4_shuffled_reason_balanced_train,score_cap,None,1575,0.525
edubench_r4_shuffled_reason_balanced_train,score_cap,3,525,0.175
edubench_r4_shuffled_reason_balanced_train,score_cap,1,520,0.17333333333333334
edubench_r4_shuffled_reason_balanced_train,score_cap,2,380,0.12666666666666668
