dataset,label_5,count,rate
edubench_r1_score_only_train,1,58,0.017438364401683705
edubench_r1_score_only_train,2,53,0.01593505712567649
edubench_r1_score_only_train,3,297,0.08929645219482862
edubench_r1_score_only_train,4,1163,0.3496692723992784
edubench_r1_score_only_train,5,1755,0.5276608538785328
edubench_r1_score_only_balanced_train,1,445,0.14833333333333334
edubench_r1_score_only_balanced_train,2,455,0.15166666666666667
edubench_r1_score_only_balanced_train,3,525,0.175
edubench_r1_score_only_balanced_train,4,619,0.20633333333333334
edubench_r1_score_only_balanced_train,5,956,0.31866666666666665
edubench_r2_reason_score_train,1,58,0.017438364401683705
edubench_r2_reason_score_train,2,53,0.01593505712567649
edubench_r2_reason_score_train,3,297,0.08929645219482862
edubench_r2_reason_score_train,4,1163,0.3496692723992784
edubench_r2_reason_score_train,5,1755,0.5276608538785328
edubench_r2_reason_score_balanced_train,1,445,0.14833333333333334
edubench_r2_reason_score_balanced_train,2,455,0.15166666666666667
edubench_r2_reason_score_balanced_train,3,525,0.175
edubench_r2_reason_score_balanced_train,4,619,0.20633333333333334
edubench_r2_reason_score_balanced_train,5,956,0.31866666666666665
edubench_r3_reason_rationale_balanced_train,1,465,0.155
edubench_r3_reason_rationale_balanced_train,2,435,0.145
edubench_r3_reason_rationale_balanced_train,3,525,0.175
edubench_r3_reason_rationale_balanced_train,4,643,0.21433333333333332
edubench_r3_reason_rationale_balanced_train,5,932,0.31066666666666665
edubench_r2_clean_reason_score_balanced_train,1,520,0.17333333333333334
edubench_r2_clean_reason_score_balanced_train,2,380,0.12666666666666668
edubench_r2_clean_reason_score_balanced_train,3,525,0.175
edubench_r2_clean_reason_score_balanced_train,4,621,0.207
edubench_r2_clean_reason_score_balanced_train,5,954,0.318
edubench_r4_shuffled_reason_balanced_train,1,520,0.17333333333333334
edubench_r4_shuffled_reason_balanced_train,2,380,0.12666666666666668
edubench_r4_shuffled_reason_balanced_train,3,525,0.175
edubench_r4_shuffled_reason_balanced_train,4,621,0.207
edubench_r4_shuffled_reason_balanced_train,5,954,0.318
