dataset_name,risk_type,negative_type,pairs
edubench_r7e_matched_score_only_strict_real_dpo_train,high_to_low_real_model_error,real_score_rejected,139
edubench_r7e_matched_score_only_strict_real_dpo_train,high_to_mid_real_model_error,real_score_rejected,131
edubench_r7e_matched_score_only_strict_real_dpo_train,low_to_high_real_model_error,real_score_rejected,130
edubench_r7e_matched_score_only_strict_real_dpo_train,low_to_mid_real_model_error,real_score_rejected,29
edubench_r7f_score_reason_consistency_dpo_train,high_to_low_real_model_error,reason_mismatch,138
edubench_r7f_score_reason_consistency_dpo_train,high_to_low_real_model_error,score_mismatch,139
edubench_r7f_score_reason_consistency_dpo_train,high_to_mid_real_model_error,reason_mismatch,130
edubench_r7f_score_reason_consistency_dpo_train,high_to_mid_real_model_error,score_mismatch,131
edubench_r7f_score_reason_consistency_dpo_train,low_to_high_real_model_error,reason_mismatch,130
edubench_r7f_score_reason_consistency_dpo_train,low_to_high_real_model_error,score_mismatch,130
edubench_r7f_score_reason_consistency_dpo_train,low_to_mid_real_model_error,reason_mismatch,29
edubench_r7f_score_reason_consistency_dpo_train,low_to_mid_real_model_error,score_mismatch,29
