run_name,baseline_run,n,changed_count,changed_rate,low_to_high_fixed_count,low_to_high_worsened_count,high_to_low_added_count,high_to_low_reduced_count
exp25_src_score_mismatch_r2c,r2c_clean_reason_score_balanced,1101,128,0.11625794732061762,0,9,12,0
exp25_src_score_mismatch_r2c,r4b_shuffled_reason_balanced,1101,219,0.1989100817438692,0,16,12,6
exp25_src_score_mismatch_r2c,r7d_reason_real_s100_b0p03_lr5em6,1097,267,0.24339106654512307,5,10,10,40
exp25_src_score_mismatch_r2c,r7f_score_reason_consistency_s100_b0p03_lr5em6,1101,141,0.12806539509536785,0,9,12,0
exp25_src_score_mismatch_r2c,exp24_dpo0_r2c,1101,169,0.15349682107175294,9,1,11,9
exp25_src_score_mismatch_r2c,exp24_orc_b_r2c,1099,164,0.1492265696087352,10,1,11,8
exp25_src_mixed_r2c,r2c_clean_reason_score_balanced,1101,121,0.10990009082652134,1,9,14,0
exp25_src_mixed_r2c,r4b_shuffled_reason_balanced,1101,210,0.1907356948228883,1,16,14,6
exp25_src_mixed_r2c,r7d_reason_real_s100_b0p03_lr5em6,1097,265,0.2415679124886053,6,9,10,38
exp25_src_mixed_r2c,r7f_score_reason_consistency_s100_b0p03_lr5em6,1101,133,0.12079927338782924,1,9,14,0
exp25_src_mixed_r2c,exp24_dpo0_r2c,1101,173,0.15712988192552224,10,0,14,10
exp25_src_mixed_r2c,exp24_orc_b_r2c,1099,166,0.1510464058234759,11,0,14,9
