negative_type,n,dpo_pref_acc,raw_pref_acc,mean_delta,mean_model_margin,config_name,phase
high_protection_score_mismatch,16,0.0,0.9375,0.0,1.077880859375,mixed_field_b1_ftx0,before
low_failure_erasure_counterfactual,16,0.0,0.0,0.0,-1.0234375,mixed_field_b1_ftx0,before
reason_mismatch_same_score,16,0.0,0.375,0.0,0.1171875,mixed_field_b1_ftx0,before
score_mismatch_same_reason,16,0.0,0.9375,0.0,1.077880859375,mixed_field_b1_ftx0,before
high_protection_score_mismatch,16,0.0,0.9375,0.0,1.077880859375,mixed_field_b3_ftx0,before
low_failure_erasure_counterfactual,16,0.0,0.0,0.0,-1.0234375,mixed_field_b3_ftx0,before
reason_mismatch_same_score,16,0.0,0.375,0.0,0.1171875,mixed_field_b3_ftx0,before
score_mismatch_same_reason,16,0.0,0.9375,0.0,1.077880859375,mixed_field_b3_ftx0,before
score_mismatch_same_reason,32,0.0,0.9375,0.0,1.1295166015625,score_field_b1_ftx0,before
score_mismatch_same_reason,32,0.0,0.9375,0.0,1.1295166015625,score_field_b3_ftx0,before
score_mismatch_same_reason,32,0.0,0.9375,0.0,0.1474609375,score_full_b0p03_ftx0p05,before
score_mismatch_same_reason,32,0.0,0.9375,0.0,0.1474609375,score_full_b1_ftx0,before
high_protection_score_mismatch,16,1.0,1.0,0.542236328125,1.6201171875,mixed_field_b1_ftx0,after
low_failure_erasure_counterfactual,16,1.0,0.0625,0.4609375,-0.5625,mixed_field_b1_ftx0,after
reason_mismatch_same_score,16,0.5625,0.375,0.0537109375,0.1708984375,mixed_field_b1_ftx0,after
score_mismatch_same_reason,16,1.0,1.0,0.542236328125,1.6201171875,mixed_field_b1_ftx0,after
high_protection_score_mismatch,16,1.0,1.0,0.550537109375,1.62841796875,mixed_field_b3_ftx0,after
low_failure_erasure_counterfactual,16,1.0,0.0,0.44921875,-0.57421875,mixed_field_b3_ftx0,after
reason_mismatch_same_score,16,0.375,0.375,0.0263671875,0.1435546875,mixed_field_b3_ftx0,after
score_mismatch_same_reason,16,1.0,1.0,0.550537109375,1.62841796875,mixed_field_b3_ftx0,after
score_mismatch_same_reason,32,0.96875,0.96875,0.6334228515625,1.762939453125,score_field_b1_ftx0,after
score_mismatch_same_reason,32,1.0,0.96875,0.6351318359375,1.7646484375,score_field_b3_ftx0,after
score_mismatch_same_reason,32,0.1875,0.9375,-0.01220703125,0.13525390625,score_full_b0p03_ftx0p05,after
score_mismatch_same_reason,32,0.78125,0.96875,0.05224609375,0.19970703125,score_full_b1_ftx0,after
