provider,stage,rows,parse_success_rate,schema_validation_success_rate,parse_error_count,schema_error_count,schema_repair_attempt_rows,schema_repair_attempt_rate,repair_success_rows,repair_success_rate,repair_changed_teacher_score_count,repair_changed_major_failures_count,repair_changed_score_cap_count,repair_changed_failure_visibility_count,group,n,score_exact_agreement,score_adjacent_agreement
qwen,blind,80,1.0,1.0,0,0,0,0.0,0,0.0,0,0,0,0,,,,
qwen,audit,80,1.0,1.0,0,0,0,0.0,0,0.0,0,0,0,0,,,,
deepseek,blind,80,1.0,1.0,0,0,0,0.0,0,0.0,0,0,0,0,,,,
deepseek,audit,80,1.0,1.0,0,0,0,0.0,0,0.0,0,0,0,0,,,,
,,,,,,,,,,,,,,,all,80,0.6625,0.8375
,,,,,,,,,,,,,,,paired_exp27c_60,60,0.6833333333333333,0.85
,,,,,,,,,,,,,,,new20,20,0.6,0.8
,,,,,,,,,,,,,,,low,32,0.65625,0.75
,,,,,,,,,,,,,,,mid,21,0.6666666666666666,1.0
,,,,,,,,,,,,,,,high,27,0.6666666666666666,0.8148148148148148
,,,,,,,,,,,,,,,language=en,37,0.7027027027027027,0.8918918918918919
,,,,,,,,,,,,,,,language=zh,43,0.627906976744186,0.7906976744186046
