sample_id,label,label_region,qwen_failure_bucket,deepseek_failure_bucket,failure_bucket_exact
022806ec04a3b92cfcb17f3ba4951ae817c1f854,3,mid,hidden_or_missing_failure,visible_failure,False
0578273c54e1a724084529ebbc385f1bdd1076ea,1,low,no_failure,no_failure,True
06861366641747d8214ceee8efb257daab5915fd,2,low,hidden_or_missing_failure,hidden_or_missing_failure,True
0a2ec1587d91e3e0c90bc2114bf0d552f4bf7391,5,high,no_failure,no_failure,True
0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
0f9bdd1ac2b116a1f087a68008be1d0a38cb8ab1,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
107a460ba82cd473b9a08a5d43257a7f1d336874,2,low,visible_failure,visible_failure,True
18ae31b0930f4812f14b417a1b631e06c74e7410,3,mid,hidden_or_missing_failure,no_failure,False
1947f424625d896777f4dbddef16ab9afb7730aa,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,1,low,hidden_or_missing_failure,visible_failure,False
1f9fc6e36113728a15b2ce3acfbe2073b64d734d,3,mid,hidden_or_missing_failure,hidden_or_missing_failure,True
3085147813a8f48d70b8dbed81b3b72957cbc1ae,5,high,no_failure,no_failure,True
3624849d5e3d9a97bf8f9965e3f2aca0b53f7d66,3,mid,no_failure,no_failure,True
378f7b2160c791b11e16c3dd68d76ed1363a3ff6,2,low,visible_failure,visible_failure,True
3a5e33210fd977f5c8bc6df5dc98a0402f4663ac,4,high,no_failure,no_failure,True
3ba4af0cd6da089654cdea6d00de3244b80fc906,5,high,no_failure,no_failure,True
41f6f52edd1473f3cc3cde8e6923d1e09fa429d5,4,high,no_failure,no_failure,True
4468842156d5b938a609185df023c4a860497e75,3,mid,no_failure,no_failure,True
46133cfb383c1c10e94bab324dabdce1277ab939,4,high,hidden_or_missing_failure,no_failure,False
481a18d6d4711b12ee76a9f0a8d37f55d25df1c4,3,mid,no_failure,no_failure,True
4a94159b2cfae1127c979628b87af3087401a413,3,mid,hidden_or_missing_failure,no_failure,False
4b41e17c2598dfa1e57d4a8a31387f8358ae9ab6,5,high,no_failure,no_failure,True
4d603e5ed030c00413f35f1852ebb1859d5dc6be,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
5238e123a16a826d9dd25c0454890d96db10099a,1,low,no_failure,no_failure,True
5e15d31d11a545d5b8842f8a9f51ae58c59e7634,5,high,no_failure,no_failure,True
5eca8796afa57332b77efb229a632e49b196cbed,3,mid,no_failure,no_failure,True
6195cd84a8bf06d5a3608b3bb6561111e242ace6,3,mid,hidden_or_missing_failure,no_failure,False
62b2cc4828c16383397c0f6eba7db729544d5d77,5,high,no_failure,no_failure,True
630a88341b60ad40afcd43bf6bf3967c515b8803,2,low,hidden_or_missing_failure,hidden_or_missing_failure,True
63ab64773fb76fbe6cba302eed79041a8316bb7c,2,low,visible_failure,visible_failure,True
654c5cdb0a9fded6d0c0fa9724cca944d0d0fa0d,4,high,no_failure,no_failure,True
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,2,low,no_failure,no_failure,True
6c2ca811835d3ab2cc459573f13c0ae3caf83824,3,mid,hidden_or_missing_failure,no_failure,False
6c703c046a9b97419785484bb1dd5d5b81ccd77a,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
712cd1dd80a4537e4bee8ff3fa1e3580d4575d0a,5,high,hidden_or_missing_failure,visible_failure,False
76909e50052e68bb729ed62933a86559f6a7c036,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
7a3d744f872bfd9b86744f132f9dfc6a3c5d8e9f,3,mid,visible_failure,visible_failure,True
7b2343c0fac6f79059007d116f746842fe6a6637,1,low,no_failure,visible_failure,False
8341e93909c0704df94f772a62c2864d3bbd1a62,3,mid,no_failure,no_failure,True
89f8c6ed8c1b947a44510dcc18b38a1d97571453,2,low,visible_failure,no_failure,False
8ff264a74369c7106935fc453add4b92d95a8b87,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
9aadad1caf2256ca13d782acb0461e0845e58a6d,3,mid,no_failure,no_failure,True
9ec7e3a19fad6e6c3caee049ed4fe69a3e9f1649,5,high,no_failure,no_failure,True
a2963f0bafecf877ce9d9f85ccd07d324522a500,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,2,low,hidden_or_missing_failure,hidden_or_missing_failure,True
a6a61e243a1f0c09ac86c3557bd39377eff935bc,3,mid,hidden_or_missing_failure,no_failure,False
aecd1f611f3240d1b34cc110420629542708fd0a,3,mid,visible_failure,visible_failure,True
b01129b756e85be3f61bf81d006ca0e61ef3e530,4,high,hidden_or_missing_failure,no_failure,False
b2e52bd37efe805ddffb36de59b66927cb7d0a9e,3,mid,no_failure,no_failure,True
b51fe8038ded98685f2c18b27990ce26056dfc17,2,low,hidden_or_missing_failure,no_failure,False
b5f54f2d11493dd41a74e9e2274d26451a958dcc,1,low,visible_failure,visible_failure,True
b93239ad93a7561a06f1b07c82c82f44bf81667e,3,mid,hidden_or_missing_failure,no_failure,False
b9f1c6853708c1217088b33dabe3b2ce1f70233e,4,high,hidden_or_missing_failure,hidden_or_missing_failure,True
bd384e01426757c4dd86e755a75d5ef86fe6e59f,1,low,no_failure,hidden_or_missing_failure,False
bd7124d01e96e50d3ca931cd7e892e48a044d7a5,4,high,no_failure,no_failure,True
bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,2,low,visible_failure,no_failure,False
c0d4f41ccf2066449887e86887cb7b8903269b2a,2,low,visible_failure,no_failure,False
c13167075148a265b283ce6bd0a309d539f243f7,3,mid,no_failure,no_failure,True
c1507d3c6bb859e46a5fcae0e2d5475886c36187,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
c42d9020842ba63f6ee5de91d4d4b21f97f246ac,5,high,hidden_or_missing_failure,no_failure,False
c70daeced1c735f1c2daf005fb9677fedc0fe6e2,5,high,no_failure,no_failure,True
cc6d5db1c4f4f75e83954e1ae458ae259662bb79,3,mid,hidden_or_missing_failure,hidden_or_missing_failure,True
cd63948c28174674b09c1bed2f6fa389c8ec4a34,3,mid,hidden_or_missing_failure,no_failure,False
cf0b674668f9a20a13168541190ad544efcb4650,5,high,no_failure,no_failure,True
d0507dfe7e307caffb26489559bc360d53ac357d,1,low,hidden_or_missing_failure,hidden_or_missing_failure,True
d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,2,low,no_failure,no_failure,True
dc56b22db7bd99b5ab24603c3227a7cf91f49950,5,high,no_failure,no_failure,True
