source,view,n,expected_n,coverage_rate,mae,exact,within_one,qwk,signed_bias,low_to_high_count,low_to_high_rate,high_to_low_count,high_to_low_rate,label1_recall,label2_recall,label5_recall
original_label_5,all,180,180,1.000000,1.066667,0.350000,0.694444,0.405485,-0.211111,13,0.250000,18,0.171429,0.823529,0.342857,0.372549
original_label_5,representative,120,120,1.000000,0.891667,0.408333,0.775000,0.547127,-0.175000,5,0.156250,8,0.105263,0.833333,0.350000,0.473684
original_label_5,risk_enriched,60,60,1.000000,1.416667,0.233333,0.533333,0.060302,-0.283333,8,0.400000,10,0.344828,0.800000,0.333333,0.076923
human_mean,all,180,180,1.000000,1.066667,0.350000,0.694444,0.405485,-0.211111,13,0.250000,18,0.171429,0.823529,0.342857,0.372549
human_mean,representative,120,120,1.000000,0.891667,0.408333,0.775000,0.547127,-0.175000,5,0.156250,8,0.105263,0.833333,0.350000,0.473684
human_mean,risk_enriched,60,60,1.000000,1.416667,0.233333,0.533333,0.060302,-0.283333,8,0.400000,10,0.344828,0.800000,0.333333,0.076923
human_median,all,180,180,1.000000,1.066667,0.350000,0.694444,0.405485,-0.211111,13,0.250000,18,0.171429,0.823529,0.342857,0.372549
human_median,representative,120,120,1.000000,0.891667,0.408333,0.775000,0.547127,-0.175000,5,0.156250,8,0.105263,0.833333,0.350000,0.473684
human_median,risk_enriched,60,60,1.000000,1.416667,0.233333,0.533333,0.060302,-0.283333,8,0.400000,10,0.344828,0.800000,0.333333,0.076923
qwen,all,107,180,0.594444,0.644860,0.598131,0.869159,0.678576,-0.121495,3,0.065217,8,0.173913,0.941176,0.620690,0.608696
qwen,representative,47,120,0.391667,0.446809,0.723404,0.914894,0.798614,-0.021277,1,0.038462,2,0.117647,1.000000,0.714286,0.800000
qwen,risk_enriched,60,60,1.000000,0.800000,0.500000,0.833333,0.542186,-0.200000,2,0.100000,6,0.206897,0.800000,0.533333,0.461538
deepseek,all,107,180,0.594444,0.738318,0.523364,0.841121,0.681446,-0.233645,2,0.043478,10,0.217391,0.882353,0.413793,0.782609
deepseek,representative,47,120,0.391667,0.446809,0.659574,0.936170,0.841232,-0.063830,0,0.000000,2,0.117647,0.833333,0.571429,0.800000
deepseek,risk_enriched,60,60,1.000000,0.966667,0.416667,0.766667,0.545510,-0.366667,2,0.100000,8,0.275862,1.000000,0.266667,0.769231
naive_human_qwen_deepseek_median,all,107,180,0.594444,0.607477,0.588785,0.878505,0.700795,-0.177570,3,0.065217,7,0.152174,0.882353,0.586207,0.565217
naive_human_qwen_deepseek_median,representative,47,120,0.391667,0.425532,0.744681,0.914894,0.784145,-0.170213,0,0.000000,3,0.176471,0.916667,0.785714,0.700000
naive_human_qwen_deepseek_median,risk_enriched,60,60,1.000000,0.750000,0.466667,0.850000,0.590081,-0.183333,3,0.150000,4,0.137931,0.800000,0.400000,0.461538
exp27i_calibrated,all,107,180,0.594444,0.607477,0.588785,0.878505,0.700795,-0.177570,3,0.065217,7,0.152174,0.882353,0.586207,0.565217
exp27i_calibrated,representative,47,120,0.391667,0.425532,0.744681,0.914894,0.784145,-0.170213,0,0.000000,3,0.176471,0.916667,0.785714,0.700000
exp27i_calibrated,risk_enriched,60,60,1.000000,0.750000,0.466667,0.850000,0.590081,-0.183333,3,0.150000,4,0.137931,0.800000,0.400000,0.461538
