sample_id,question_key_hash,original_score_stratum,language,metric_group,subject
02890e57b4a5f86c993ca6597fa655df630aa99b,85238057a1789de9f86824bfbb439d1134c74cec,high_4_5,en,Factual & Reasoning Accuracy,Chemistry
0324a98cd6c00ebf2855741ebecf0ef4df31541f,c633912eed728ead1d112a206a814701d520c033,high_4_5,en,Factual & Reasoning Accuracy,Crop Science
01ffcbf103c1dce7417ed4518a50fc19a77d1ee9,ecb432bc7902c2d67d76aa4d55dba310fe668e5f,high_4_5,en,Pedagogical Application,Aquaculture
12fdae1104918f9500de221ae3261d5371995582,2847a696affd41f91d2d4e184aa0de90d0b931b8,high_4_5,en,Pedagogical Application,History
10d037cf1804c2a586e837504c80263df2030380,46612197f56a338fac752577a810c43c8d6528f1,high_4_5,en,Pedagogical Application,Physics
00cc2234e9bc1e2ee6ccbfcbedb59354ed0d0403,b2f8334b01b71046c27c72cc65a1c4871995e456,high_4_5,en,Pedagogical Application,Public Administration
20d6655b82d1a89059e6985cf6608a1044b9222b,886aa57b4b38434d1e250d8392dd4cedf697cdad,high_4_5,en,Pedagogical Application,Sociology
079d3cbeeacbfeccd949183b375b3198418e4959,cabb530967bb0520ca1d502c5597e9f360bc37c4,high_4_5,en,Scenario Adaptability,Applied Economics
2675a883ab4340dc6002f5f547bef8717c83e070,363883c4e5ccba59dfb88b9be9dd3d661cba9986,high_4_5,en,Scenario Adaptability,Aquaculture
00f03652813873e800443b4e84091ed05063eb49,39c7e87823293b8c8a2f9e5b81256219c6fe9c0a,high_4_5,en,Scenario Adaptability,Biology
127ac6d8a189355aa2451eaddcd32e8d32cee0c1,a0563584c4eb7e9b5838d5e5f4e1d75481aab89e,high_4_5,en,Scenario Adaptability,Chemistry
164ea71a6c52d2a4da56285bbb99e75cd64b02e6,500f2960883b93cfa1ad76afacee14f2044e24d1,high_4_5,en,Scenario Adaptability,Chinese
0362a81a2b2675a908b5f959600c1d353d74b7ba,a7f5efcdd8dafde1e9a6e75a4c6969b3af2064cd,high_4_5,en,Scenario Adaptability,Clinical Medicine
0204872bcf4cd4b4d4937c12c2cd77f0171376ab,5ac7582512433d91db46dd25c1ccf3c6d06aefa3,high_4_5,en,Scenario Adaptability,History
2c1a160c4cba4ce1c123abf34e1297c3cc7402a0,fac626461396da685fc6aa8914a0a36007336115,high_4_5,en,Scenario Adaptability,Military Science
03a0da37856d7f5174ddbd5db28290e222c32335,56a7f3aa937907a86d9986de6e572b33a39125f4,high_4_5,en,Scenario Adaptability,Physical Education
24b68778c68222dd38199329a102b2c36aaca014,e6071124f274b7aed3836f5199a136ff30b65428,high_4_5,en,Scenario Adaptability,Physics
03755d25914c85c6eaabd46795cf656ef79566af,63609ccb4e474256ae9905f60f967878d5a16273,high_4_5,zh,Factual & Reasoning Accuracy,Crop Science
0ddca08b25c0f75ee1c69c82da9bed7a4a35f0e3,44d1345334ca0b8c94110a9dc81ec72cc5128866,high_4_5,zh,Factual & Reasoning Accuracy,Physics
04e5e4712250364e0d1d3a8444bc9f7c1d8425b8,27e8e068a3304c464e269bf0a0e89ac56507ec57,high_4_5,zh,Pedagogical Application,Aquaculture
008fe1285cf79ff68dd5a1b0910318393ff2ee46,01a99a7df6224103bf6e6d1909b4ed030d5a8b02,high_4_5,zh,Pedagogical Application,Business Administration
0fb5d1f2993ec7e5eeb9711205c1dd42c95bdead,b253a9a3ab6e2bd38d967d04aaa93a0d5ca6b46c,high_4_5,zh,Pedagogical Application,General Pedagogy
1542a126573fe9fb529144e2c05d95d0df8d99e5,221da6c0d8a7ff9026bb7d74ed1fae4348256150,high_4_5,zh,Pedagogical Application,Law
1306af08bd266c0cc70dcc32663b886f43ad6d58,9af40687ad7d548cb141722e4da4705b089de247,high_4_5,zh,Pedagogical Application,Psychology
082a84f5a6012e52963340540eb9f4018a31455f,d9c24e5e4d3aaa8eb0c5215c04a1d5a990b188c6,high_4_5,zh,Pedagogical Application,Public Administration
10d73af366579e009fb338b976fd99cc33376736,eaa7bb4e2f2f3dadce14ebc0be5e09721e3e59dd,high_4_5,zh,Scenario Adaptability,Biology
1eba1e0eb435a2a09e72e4250a1ffc7fe5401873,3006d90b64fa4e8228f132592e2d2d90d3d94093,high_4_5,zh,Scenario Adaptability,Clinical Medicine
048058816bba705040007e7b0c822282f1c5defa,b8ecf023ba353fd3ca34a949a364b4a2260892a3,high_4_5,zh,Scenario Adaptability,Literature and Art
0186f94dd94ddf1f64c0d75f1f3bedff409073e4,7a37398deff868da2df290712f954c3ee5c07347,high_4_5,zh,Scenario Adaptability,Mathematics
0d0381648fe4a4fe0190a9078762a6c964c16c3f,7f5338d596bbc8d0ba4d4d721bcebfcf79ed47ea,mid_3,en,Scenario Adaptability,Computer Science
0747575357db0dee2bc1b170eca12dbb572f2be3,903b142629d713772480f4a638fc6602857d618f,high_4_5,en,Pedagogical Application,Physics
07e24d6cf40cb5e9cf150836a9bfca040a99ca9f,166e342283ea18526ac819db5d3c8f9108c45118,high_4_5,en,Scenario Adaptability,Aquaculture
2c6508ccfea0433dbd440f372f5f6a907b47f2c4,13e3b691b4bf619717316bba17f17a8f56443923,high_4_5,en,Scenario Adaptability,Chemistry
115d7f35f4db5cc48ce4059bff821c2324bf0b10,72f796d585d0a74589d0fa0014eb1c97ffc60b7c,high_4_5,zh,Pedagogical Application,Public Administration
