outer_fold,view,score_stratum,severe_human_silver_conflict,row_count
0,representative,high_4_5,0,24
0,representative,high_4_5,1,3
0,representative,low_1_2,0,3
0,representative,low_1_2,1,3
0,representative,mid_3,0,7
0,representative,mid_3,1,1
0,risk_enriched,not_applicable,0,8
0,risk_enriched,not_applicable,1,8
1,representative,high_4_5,0,12
1,representative,low_1_2,0,9
1,representative,low_1_2,1,2
1,representative,mid_3,0,6
1,representative,mid_3,1,2
1,risk_enriched,not_applicable,0,13
1,risk_enriched,not_applicable,1,13
2,representative,low_1_2,0,2
2,representative,low_1_2,1,2
2,risk_enriched,not_applicable,0,1
3,representative,high_4_5,0,14
3,representative,high_4_5,1,7
3,representative,low_1_2,0,7
3,representative,low_1_2,1,1
3,representative,mid_3,0,8
3,representative,mid_3,1,5
3,risk_enriched,not_applicable,0,9
3,risk_enriched,not_applicable,1,6
4,representative,low_1_2,1,1
4,representative,mid_3,0,1
4,risk_enriched,not_applicable,0,1
4,risk_enriched,not_applicable,1,1
