scope,signal,selection,selected_rows,selected_weight,weighted_review_precision,weighted_review_recall
representative,Exp27L_l2_logistic,top_20pct_rows,24,497.8666666666667,0.20192822710230315,0.1678819927637072
representative,Exp27L_l2_logistic,top_20pct_population_weight,35,665.6333333333333,0.24452901998097049,0.27180629000834955
representative,qwen_human_gap,top_20pct_rows,24,504.06666666666666,0.6246528237005687,0.5258001669913721
representative,qwen_human_gap,top_20pct_population_weight,30,667.2666666666667,0.5447597162553702,0.6070136376287225
representative,deepseek_human_gap,top_20pct_rows,24,587.7333333333333,0.4529832123411978,0.4445866963540217
representative,deepseek_human_gap,top_20pct_population_weight,27,694.9,0.3831246702163381,0.4445866963540217
representative,teacher_gap,top_20pct_rows,24,742.6666666666666,0.20641831238779176,0.2559977734483718
representative,teacher_gap,top_20pct_population_weight,23,694.0333333333333,0.22088276259545653,0.2559977734483718
representative,max_three_way_gap,top_20pct_rows,24,614.0666666666666,0.470415807187059,0.48238241024213746
representative,max_three_way_gap,top_20pct_population_weight,31,709.7,0.44887511154948095,0.5319788477595324
representative,exp27i_tier_proxy,top_20pct_rows,24,530.4,0.5632855706385118,0.49891455608126906
representative,exp27i_tier_proxy,top_20pct_population_weight,32,713.4,0.4517334828520699,0.5381575285276927
risk_enriched,Exp27L_l2_logistic,top_20pct_rows,12,12.0,0.75,0.32142857142857145
risk_enriched,Exp27L_l2_logistic,top_20pct_population_weight,12,12.0,0.75,0.32142857142857145
risk_enriched,qwen_human_gap,top_20pct_rows,12,12.0,0.75,0.32142857142857145
risk_enriched,qwen_human_gap,top_20pct_population_weight,12,12.0,0.75,0.32142857142857145
risk_enriched,deepseek_human_gap,top_20pct_rows,12,12.0,0.6666666666666666,0.2857142857142857
risk_enriched,deepseek_human_gap,top_20pct_population_weight,12,12.0,0.6666666666666666,0.2857142857142857
risk_enriched,teacher_gap,top_20pct_rows,12,12.0,0.4166666666666667,0.17857142857142858
risk_enriched,teacher_gap,top_20pct_population_weight,12,12.0,0.4166666666666667,0.17857142857142858
risk_enriched,max_three_way_gap,top_20pct_rows,12,12.0,0.75,0.32142857142857145
risk_enriched,max_three_way_gap,top_20pct_population_weight,12,12.0,0.75,0.32142857142857145
risk_enriched,exp27i_tier_proxy,top_20pct_rows,12,12.0,0.5,0.21428571428571427
risk_enriched,exp27i_tier_proxy,top_20pct_population_weight,12,12.0,0.5,0.21428571428571427
