scope,signal,n,formal_probability_model,tie_safe_weighted_AUPRC,weighted_Brier,weighted_ECE,proxy_weighted_Brier,proxy_weighted_ECE
representative,full_feature_l2_logistic,120,True,0.349133663444419,0.1614774411576854,0.09041122176745785,,
representative,core_standardized_l2_logistic,120,True,0.39387572860885794,0.14063027932218092,0.06177353950337128,,
representative,qwen_human_gap,120,False,0.4479676747810074,,,0.1273752254960914,0.09988474644217278
representative,deepseek_human_gap,120,False,0.31333119962767514,,,0.14968242633794349,0.08787081579474845
representative,teacher_gap,120,False,0.24652963439927017,,,0.16343392964521947,0.10416165564241332
representative,max_three_way_gap,120,False,0.366154923385685,,,0.14012013930647424,0.0643590899979956
representative,exp27i_tier_proxy,120,False,0.3494796246904146,,,0.12965616857085588,0.0402831228703147
risk_enriched,full_feature_l2_logistic,60,True,0.7324308836633627,0.20445110433911348,0.10771798142222438,,
risk_enriched,core_standardized_l2_logistic,60,True,0.6801638902684496,0.21111930238920454,0.10035023209864809,,
risk_enriched,qwen_human_gap,60,False,0.6882554945054945,,,0.20729166666666668,0.11249999999999999
risk_enriched,deepseek_human_gap,60,False,0.623157157599882,,,0.234375,0.11250000000000002
risk_enriched,teacher_gap,60,False,0.5341736694677871,,,0.3625,0.3583333333333334
risk_enriched,max_three_way_gap,60,False,0.6486365224572772,,,0.22083333333333333,0.11666666666666668
risk_enriched,exp27i_tier_proxy,60,False,0.5812601421297073,,,0.27387500000000004,0.21416666666666676
