sample_id,question_key,protocol_subset,original_label,language,metric,subject,human_agreement,legacy_exp27_train_annotation_available,primary_teacher_required,secondary_teacher_route_initial
22fc3538594bd7f6426d96df9de31645e099e5df,002cfcd8c1ac3ea32c6f46646c8bc2e1059c0500,full_annotation_pool,4,en,Instruction Following & Task Completion,Biology,adjacent,False,True,False
51e5f21cbcf3748b0c03279f49b625af32cd9b0b,002cfcd8c1ac3ea32c6f46646c8bc2e1059c0500,full_annotation_pool,4,en,"Personalization, Adaptation & Learning Support",Biology,adjacent,False,True,False
a946b20864b31d0ab6a9e953e7ef387da3543466,71e2133d3049be048126f45752ada952a3208a9f,full_annotation_pool,4,en,Instruction Following & Task Completion,Physics,adjacent,False,True,False
605a39edf2ab4a11d8237e2d71382f0ab7c40100,71e2133d3049be048126f45752ada952a3208a9f,full_annotation_pool,4,en,Scenario Element Integration,Physics,adjacent,False,True,False
4abb5320624308bb074fe6932d7ef7c088b0dd41,71e2133d3049be048126f45752ada952a3208a9f,full_annotation_pool,4,en,"Personalization, Adaptation & Learning Support",Physics,adjacent,False,True,True
149f9441c4d8d11ab5ae76d131041560ce986240,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,full_annotation_pool,4,en,"Personalization, Adaptation & Learning Support",Applied Economics,adjacent,False,True,False
696ba193025f25d05c1b1f8dfad77c2ca28f12c4,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,full_annotation_pool,5,en,Instruction Following & Task Completion,Applied Economics,adjacent,False,True,False
e78781ba44e7ccd99d93c2d2256495034a753f86,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,full_annotation_pool,4,en,Scenario Element Integration,Applied Economics,adjacent,False,True,False
579c7161d23186114c709867acce054ec73e0531,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,full_annotation_pool,4,en,"Personalization, Adaptation & Learning Support",Applied Economics,adjacent,False,True,False
f2dd13eea21d86717259e3f2ae658125c15e93a5,71e2133d3049be048126f45752ada952a3208a9f,full_annotation_pool,5,en,Instruction Following & Task Completion,Physics,adjacent,False,True,False
24b68778c68222dd38199329a102b2c36aaca014,71e2133d3049be048126f45752ada952a3208a9f,full_annotation_pool,5,en,Scenario Element Integration,Physics,adjacent,False,True,False
7073c82cd9bf9cb523e855ec7578c31a064b29db,71e2133d3049be048126f45752ada952a3208a9f,full_annotation_pool,5,en,"Personalization, Adaptation & Learning Support",Physics,adjacent,False,True,False
595ad2f7159ac18f38534303b13a476abbbb4f51,35926f81037efd0b4c59ccf56bbc2c9f7d71e0e2,full_annotation_pool,4,en,Scenario Element Integration,Geography,unanimous,False,True,False
6ba1d9fdc2898cfa44f877e7724b403d08eaac96,35926f81037efd0b4c59ccf56bbc2c9f7d71e0e2,full_annotation_pool,4,en,"Personalization, Adaptation & Learning Support",Geography,adjacent,False,True,False
eb284da4d05b5674af9f47a017caa8f1d9ab9dcf,639f94d782b2c115eb52a4aae8b943c69735f697,full_annotation_pool,4,en,Instruction Following & Task Completion,History,unanimous,False,True,False
0204872bcf4cd4b4d4937c12c2cd77f0171376ab,639f94d782b2c115eb52a4aae8b943c69735f697,full_annotation_pool,5,en,Scenario Element Integration,History,adjacent,False,True,False
bf19ea328afae37aa116eb7ffee1bea59330c821,002cfcd8c1ac3ea32c6f46646c8bc2e1059c0500,full_annotation_pool,4,en,Instruction Following & Task Completion,Biology,adjacent,False,True,False
6884a393ed7c16124abf13a87b8d6772fd8c3a3c,639f94d782b2c115eb52a4aae8b943c69735f697,full_annotation_pool,5,en,Instruction Following & Task Completion,History,unanimous,False,True,False
2bb0ae497f69277c49b9ebefcb272292a7756d55,639f94d782b2c115eb52a4aae8b943c69735f697,full_annotation_pool,5,en,"Personalization, Adaptation & Learning Support",History,unanimous,False,True,False
6261bb31188aaf41dd1973a877736897ef115e23,002cfcd8c1ac3ea32c6f46646c8bc2e1059c0500,full_annotation_pool,5,en,Scenario Element Integration,Biology,adjacent,False,True,False
38638126af3ed565fceb79316f2cd04de51d7af5,71e2133d3049be048126f45752ada952a3208a9f,full_annotation_pool,5,en,Scenario Element Integration,Physics,unanimous,False,True,False
df7098bda7679c74c37ca5b76bf75913c679fc03,71e2133d3049be048126f45752ada952a3208a9f,full_annotation_pool,5,en,"Personalization, Adaptation & Learning Support",Physics,unanimous,False,True,False
56482e327fad5d766b7b04796be08239f87c4c07,35926f81037efd0b4c59ccf56bbc2c9f7d71e0e2,sealed_qualification,5,en,Instruction Following & Task Completion,Geography,adjacent,False,True,False
7b950863725c3f977e3682aa14c3e210b705f035,71e2133d3049be048126f45752ada952a3208a9f,full_annotation_pool,5,en,"Personalization, Adaptation & Learning Support",Physics,unanimous,False,True,False
43303f67b98c41d3781f0318c9e023da0c1186fe,639f94d782b2c115eb52a4aae8b943c69735f697,sealed_qualification,4,en,Scenario Element Integration,History,adjacent,False,True,False
5a7339369e02b0bf86476fd651b3f89bbde8699b,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,full_annotation_pool,5,en,Instruction Following & Task Completion,Applied Economics,adjacent,False,True,False
d1ed7e4b2380d3d2591d6922034cd7e25ae6a810,639f94d782b2c115eb52a4aae8b943c69735f697,full_annotation_pool,5,en,Instruction Following & Task Completion,History,adjacent,False,True,False
a37753ddd5309a428fbe97ca91367b9650d5cf41,639f94d782b2c115eb52a4aae8b943c69735f697,full_annotation_pool,4,en,Scenario Element Integration,History,adjacent,False,True,False
bfa79a451124e92a28ed189db1d126bbe01a9177,639f94d782b2c115eb52a4aae8b943c69735f697,full_annotation_pool,5,en,"Personalization, Adaptation & Learning Support",History,adjacent,False,True,False
7175a2ca5335b82598f8cf6ff459922c22013bf1,35926f81037efd0b4c59ccf56bbc2c9f7d71e0e2,sealed_qualification,4,en,"Personalization, Adaptation & Learning Support",Geography,adjacent,False,True,True
7496c90a96f6033c4bc474146bb6b1c1fe5f5c21,639f94d782b2c115eb52a4aae8b943c69735f697,full_annotation_pool,5,en,Instruction Following & Task Completion,History,unanimous,False,True,False
56882a55e9d1c5eb452992ad59af4de25e5ae6bb,639f94d782b2c115eb52a4aae8b943c69735f697,full_annotation_pool,5,en,Scenario Element Integration,History,unanimous,False,True,False
ac928704ee42f09cda816880d5004a8c95ed84e1,639f94d782b2c115eb52a4aae8b943c69735f697,full_annotation_pool,5,en,"Personalization, Adaptation & Learning Support",History,unanimous,False,True,False
2fb2e7b662bd63032405fac81132e33579f49cab,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,full_annotation_pool,5,en,Instruction Following & Task Completion,Applied Economics,adjacent,False,True,False
6442e6a2ff5144c096a3c01cf2f4c3cf062c519f,35926f81037efd0b4c59ccf56bbc2c9f7d71e0e2,full_annotation_pool,4,en,Scenario Element Integration,Geography,adjacent,False,True,False
2344f7712481acb079590b1b052c58451eaafdc7,35926f81037efd0b4c59ccf56bbc2c9f7d71e0e2,full_annotation_pool,4,en,"Personalization, Adaptation & Learning Support",Geography,adjacent,False,True,False
d0227768197b29e1099c6e0836b9827ec27b85e8,98b5677cb80626a28f69d4b598f07466f65ed2da,full_annotation_pool,4,en,Instruction Following & Task Completion,Automation,adjacent,False,True,False
0575632a8d01ebe516fabf0f509b77b2a8f1a5b2,98b5677cb80626a28f69d4b598f07466f65ed2da,full_annotation_pool,4,en,Scenario Element Integration,Automation,unanimous,False,True,False
fe19436d900d8b1c0aa4e9fd38405b0ba83ac358,98b5677cb80626a28f69d4b598f07466f65ed2da,full_annotation_pool,4,en,"Personalization, Adaptation & Learning Support",Automation,adjacent,False,True,False
381c1561829c0ca1e85c97e4f4ddaf9b8b9a9af3,002cfcd8c1ac3ea32c6f46646c8bc2e1059c0500,full_annotation_pool,5,en,"Personalization, Adaptation & Learning Support",Biology,unanimous,False,True,False
52fe2ddd3f0de180f118658a1307ea966b4fa1d6,bbbb87022034ec8c0b0a3e1103b6d447bd1cdf3f,full_annotation_pool,4,en,Instruction Following & Task Completion,English,adjacent,False,True,False
dad353af0c9f2d64222cbd99f626f49968148547,bbbb87022034ec8c0b0a3e1103b6d447bd1cdf3f,full_annotation_pool,4,en,"Personalization, Adaptation & Learning Support",English,adjacent,False,True,False
1e7d19b1218c2098913d92ed59c0901244042551,7d8005597b09cd02be60c120fc68546f79f3a5d7,full_annotation_pool,4,en,Instruction Following & Task Completion,Chinese,adjacent,False,True,False
327d944b5588223ee01f87fed218bbe0c40c9818,7d8005597b09cd02be60c120fc68546f79f3a5d7,full_annotation_pool,4,en,Scenario Element Integration,Chinese,adjacent,False,True,False
2be84a232220ef5bbc0fdb71879b2e84fdfcaaf2,cfaf5a22b6aa096b0f93a01fee71a64a309c8b48,full_annotation_pool,4,en,Instruction Following & Task Completion,Chemistry,unanimous,False,True,False
ece46fd7a503f922ad07bf9a2a19bf90ac8d1286,cfaf5a22b6aa096b0f93a01fee71a64a309c8b48,protocol_development,4,en,Scenario Element Integration,Chemistry,adjacent,False,True,True
ef502614a2e376d5cdab1eb11d34195ce4c2b3c7,041e24355921f74d38dc4cfa218e38b1295f9100,full_annotation_pool,4,en,Instruction Following & Task Completion,Aquaculture,adjacent,False,True,True
3c11d42525a74938618e1f6803e62c961a766dd0,041e24355921f74d38dc4cfa218e38b1295f9100,full_annotation_pool,4,en,"Personalization, Adaptation & Learning Support",Aquaculture,unanimous,False,True,False
6d0e3fade89ad7d83f9e22afa027e68a61a3122c,7d8005597b09cd02be60c120fc68546f79f3a5d7,full_annotation_pool,4,en,Instruction Following & Task Completion,Chinese,adjacent,False,True,False
a43ab8e62bbbe94573e686077790997e40134423,7d8005597b09cd02be60c120fc68546f79f3a5d7,sealed_qualification,4,en,"Personalization, Adaptation & Learning Support",Chinese,adjacent,False,True,True
782057f8ff32a09cc88426c644a4eddaafbeb027,bbbb87022034ec8c0b0a3e1103b6d447bd1cdf3f,sealed_qualification,4,en,Scenario Element Integration,English,adjacent,False,True,False
c54968846ebdc39afca78b0761e80832937eccec,bbbb87022034ec8c0b0a3e1103b6d447bd1cdf3f,full_annotation_pool,4,en,"Personalization, Adaptation & Learning Support",English,adjacent,False,True,False
20d35eb477b521921e71f5a8edba8024a500af6c,98b5677cb80626a28f69d4b598f07466f65ed2da,full_annotation_pool,4,en,Instruction Following & Task Completion,Automation,adjacent,False,True,False
7dbeb448571253eeaeeda2ec68f8d2cc870ec3dd,041e24355921f74d38dc4cfa218e38b1295f9100,full_annotation_pool,5,en,Scenario Element Integration,Aquaculture,unanimous,False,True,False
36b7456a8780fed1fbcc8cfff7a6868ddbcb9054,bbbb87022034ec8c0b0a3e1103b6d447bd1cdf3f,full_annotation_pool,5,en,Instruction Following & Task Completion,English,unanimous,False,True,False
5f7cc781f63751977be92751240ab8201c2a6281,bbbb87022034ec8c0b0a3e1103b6d447bd1cdf3f,full_annotation_pool,5,en,"Personalization, Adaptation & Learning Support",English,unanimous,False,True,False
