method,rows,weighting,mae,qwk,exact,within_one,signed_bias,severe_error,low_to_high,high_to_low,label1_recall,label2_recall,label5_recall,brier,log_loss,ece,fallback_rate,status
rounded_human,120,design_weighted,0.4516185213095537,0.5695764379025433,0.6027377662946615,0.9489929546297293,-0.10196767981244242,0.05100704537027069,0.011881436824918363,0.009126685087498953,1.0,0.31216982038228797,0.7016656238916053,0.7945244674106765,10.97676116807315,0.3972622337053384,0.0,COMPLETE
human_median,120,design_weighted,0.4516185213095537,0.5695764379025433,0.6027377662946615,0.9489929546297293,-0.10196767981244242,0.05100704537027069,0.011881436824918363,0.009126685087498953,1.0,0.31216982038228797,0.7016656238916053,0.7945244674106765,10.97676116807315,0.3972622337053384,0.0,COMPLETE
human_mean,120,design_weighted,0.4780478702407866,0.5695764379025433,0.6027377662946615,0.9489929546297293,-0.11980462753635324,0.05100704537027069,0.011881436824918363,0.009126685087498953,1.0,0.31216982038228797,0.7016656238916053,0.7945244674106765,10.97676116807315,0.3972622337053384,0.0,COMPLETE
qwen,120,design_weighted,0.2687924785588689,0.8077023911033611,0.7484025310702025,0.9861542326048731,-0.08653437159842586,0.013845767395126852,0.0036841664573390273,0.009408021435150297,0.6666666666666666,0.9063490538853135,0.9261162397648091,0.5031949378595951,6.951894976713412,0.25159746892979756,0.0,COMPLETE
deepseek,89,design_weighted,0.5522912121902777,0.6442138024235815,0.5255833034871227,0.9505512323771692,-0.04681231617447553,0.049448767622830715,0.003950552968883968,0.03726587004417239,0.8888888888888888,0.6365382768225915,0.7261270918417067,0.9488333930257543,13.108617759096381,0.47441669651287666,0.0,COMPLETE
teacher_mean,120,design_weighted,0.2802608820468655,0.8008120160136363,0.7621260511237904,0.9768684585112618,-0.05467267137952895,0.023131541488738173,0.0010885037260319852,0.020535878757431132,0.6666666666666666,0.9375660359235425,0.8601788537676364,0.4757478977524193,6.572700104327855,0.2378739488762097,0.0,COMPLETE
teacher_median,120,design_weighted,0.2802608820468655,0.8008120160136363,0.7621260511237904,0.9768684585112618,-0.05467267137952895,0.023131541488738173,0.0010885037260319852,0.020535878757431132,0.6666666666666666,0.9375660359235425,0.8601788537676364,0.4757478977524193,6.572700104327855,0.2378739488762097,0.0,COMPLETE
Dawid-Skene,120,design_weighted,0.3960725344525532,0.6727504134869521,0.7215521345438451,0.937111517804811,-0.0784069325391464,0.06288848219518905,0.0,0.016692623293979737,1.0,0.31216982038228797,0.8756935557279888,0.5354713861009952,1.7708067282441828,0.21224469566169288,0.0,COMPLETE
MACE,120,design_weighted,0.38924153969199954,0.6399328148873629,0.6740263872441717,0.9452099855264889,-0.07841139230145237,0.05479001447351108,0.011881436824918363,0.012909654190739344,1.0,0.31216982038228797,0.8370206819865701,0.5438072150402616,1.519514100664869,0.23565512825511162,0.0,COMPLETE
equal_weight_fusion,120,design_weighted,0.35613064437028263,0.7232814234254534,0.71292113730697,0.9619628951806796,-0.09999722491357763,0.038037104819320336,0.0,0.011821150464707358,1.0,0.7614062049755067,0.8370206819865701,0.3844891663975312,2.253448345670974,0.08349541273429734,0.0,COMPLETE
DRGA,120,design_weighted,0.35387578993846225,0.703674173625964,0.6929412327603737,0.9619628951806796,-0.12214046447688844,0.038037104819320336,0.0,0.011821150464707358,1.0,0.7614062049755067,0.7790113713744424,0.4847596866361564,1.2695106853977276,0.19725817453883587,0.0,COMPLETE
