fold,language,reference_point,rows,design_weight
0,en,1,1,2.0
0,en,2,2,34.422222222222224
0,en,3,1,31.533333333333335
0,en,4,4,54.50222222222222
0,en,5,5,144.86984126984126
0,zh,1,1,2.0
0,zh,2,2,5.777777777777778
0,zh,3,1,39.457142857142856
0,zh,4,4,61.653333333333336
0,zh,5,6,161.9447619047619
1,en,1,1,2.0
1,en,2,2,12.928888888888888
1,en,3,1,10.04
1,en,4,4,112.56380952380951
1,en,5,4,149.9047619047619
1,zh,1,1,2.0
1,zh,2,1,2.888888888888889
1,zh,3,1,31.533333333333335
1,zh,4,4,67.95555555555556
1,zh,5,6,169.98476190476188
2,en,1,1,2.0
2,en,2,2,5.777777777777778
2,en,3,1,2.888888888888889
2,en,4,4,91.0704761904762
2,en,5,4,157.82857142857142
2,zh,1,1,2.0
2,zh,2,1,2.888888888888889
2,zh,3,1,10.04
2,zh,4,4,84.69206349206348
2,zh,5,6,220.89523809523808
3,en,1,1,2.0
3,en,2,2,12.928888888888888
3,en,4,4,83.14666666666668
3,en,5,4,141.98095238095237
3,zh,1,1,2.0
3,zh,2,1,10.04
3,zh,3,1,10.04
3,zh,4,4,61.653333333333336
3,zh,5,5,173.5142857142857
4,en,2,1,2.0
4,en,4,4,47.35111111111111
4,en,5,4,112.56380952380952
4,zh,1,1,2.0
4,zh,2,1,2.888888888888889
4,zh,3,1,31.533333333333335
4,zh,4,3,81.0304761904762
4,zh,5,5,197.28571428571428
