group_type,group_value,paired_rows,exact_agreement,within_one,quadratic_weighted_kappa,krippendorff_ordinal_alpha,score_range_overlap,adjudication_rate,status
overall,all,120,0.625,0.9583333333333334,0.8042505592841164,0.8050570962479608,0.6666666666666666,0.39166666666666666,COMPLETE
view,representative_train,120,0.625,0.9583333333333334,0.8042505592841164,0.8050570962479608,0.6666666666666666,0.39166666666666666,COMPLETE
language,en,57,0.5964912280701754,0.9649122807017544,0.7990043559427504,0.8007261410788382,0.6491228070175439,0.40350877192982454,COMPLETE
language,zh,63,0.6507936507936508,0.9523809523809523,0.80863989200135,0.8100303951367781,0.6825396825396826,0.38095238095238093,COMPLETE
metric_family,Factual & Reasoning Accuracy,35,0.5142857142857142,0.9428571428571428,0.855553561815898,0.8560544217687075,0.6285714285714286,0.5428571428571428,COMPLETE
metric_family,Pedagogical Application,42,0.7380952380952381,1.0,0.8873720136518771,0.8885906040268456,0.7619047619047619,0.2619047619047619,COMPLETE
metric_family,Scenario Adaptability,43,0.6046511627906976,0.9302325581395349,0.41848234410217877,0.42133131618759456,0.6046511627906976,0.3953488372093023,COMPLETE
metric,Basic Factual Accuracy,8,0.625,1.0,0.25,0.18181818181818177,0.625,0.375,COMPLETE
metric,"Clarity, Simplicity & Inspiration",3,1.0,1.0,1.0,1.0,1.0,0.0,COMPLETE
metric,Content Relevance & Scope Control,8,0.375,1.0,0.7619047619047619,0.7761194029850746,0.375,0.625,COMPLETE
metric,Domain Knowledge Accuracy,7,0.5714285714285714,1.0,0.6956521739130435,0.6976744186046512,0.7142857142857143,0.42857142857142855,COMPLETE
metric,Error Identification & Correction Precision,5,0.4,0.8,0.48275862068965514,0.4600000000000001,0.4,1.0,COMPLETE
metric,Higher-Order Thinking & Skill Development,15,0.6,1.0,0.7593582887700535,0.7661290322580645,0.6666666666666666,0.4,COMPLETE
metric,Instruction Following & Task Completion,18,0.6666666666666666,0.8888888888888888,-0.09392265193370197,-0.06944444444444464,0.6666666666666666,0.3333333333333333,COMPLETE
metric,"Motivation, Guidance & Positive Feedback",13,0.9230769230769231,1.0,0.9729729729729729,0.9739854318418314,0.9230769230769231,0.07692307692307693,COMPLETE
metric,"Personalization, Adaptation & Learning Support",11,0.6363636363636364,1.0,0.2142857142857143,0.25,0.6363636363636364,0.36363636363636365,COMPLETE
metric,Reasoning Process Rigor,15,0.4666666666666667,0.9333333333333333,0.8484848484848485,0.850164396430249,0.6666666666666666,0.5333333333333333,COMPLETE
metric,Role & Tone Consistency,1,1.0,1.0,1.0,1.0,1.0,0.0,COMPLETE
metric,Scenario Element Integration,16,0.625,0.9375,0.38983050847457623,0.37583892617449666,0.625,0.375,COMPLETE
subject,Applied Economics,4,1.0,1.0,1.0,1.0,1.0,0.0,COMPLETE
subject,Aquaculture,4,0.5,1.0,0.5,0.5,0.75,0.5,COMPLETE
subject,Automation,3,0.3333333333333333,1.0,-0.5,-0.25,0.3333333333333333,0.6666666666666666,COMPLETE
subject,Basic Medicine,6,0.3333333333333333,1.0,0.7735849056603774,0.7924528301886793,0.5,0.6666666666666666,COMPLETE
subject,Biology,7,0.5714285714285714,1.0,0.27586206896551724,0.20408163265306123,0.5714285714285714,0.42857142857142855,COMPLETE
subject,Business Administration,5,0.8,1.0,0.9295774647887324,0.9361702127659575,0.8,0.2,COMPLETE
subject,Chemistry,5,0.6,0.8,0.375,0.42307692307692313,0.6,0.4,COMPLETE
subject,Chinese,4,0.25,0.75,0.07692307692307687,0.125,0.25,0.75,COMPLETE
subject,Clinical Medicine,4,1.0,1.0,1.0,1.0,1.0,0.0,COMPLETE
subject,Computer Science,5,0.4,1.0,0.8979591836734694,0.9052631578947369,0.6,0.6,COMPLETE
subject,Crop Science,4,1.0,1.0,1.0,1.0,1.0,0.0,COMPLETE
subject,English,4,0.75,1.0,0.75,0.7741935483870968,0.75,0.25,COMPLETE
subject,General Pedagogy,4,0.25,0.75,0.5714285714285714,0.6111111111111112,0.25,1.0,COMPLETE
subject,Geography,4,0.75,1.0,0.9090909090909091,0.9195402298850575,0.75,0.25,COMPLETE
subject,History,9,0.8888888888888888,1.0,0.9790209790209791,0.9801633605600933,0.8888888888888888,0.1111111111111111,COMPLETE
subject,Law,5,0.4,0.8,0.5945945945945946,0.625,0.6,0.6,COMPLETE
subject,Literature and Art,4,1.0,1.0,1.0,1.0,1.0,0.0,COMPLETE
subject,Mathematics,7,0.42857142857142855,1.0,0.8761061946902655,0.8839285714285714,0.5714285714285714,0.7142857142857143,COMPLETE
subject,Military Science,3,0.6666666666666666,1.0,0.7272727272727273,0.7619047619047619,0.6666666666666666,0.3333333333333333,COMPLETE
subject,Physical Education,4,1.0,1.0,1.0,1.0,1.0,0.0,COMPLETE
subject,Physics,6,0.8333333333333334,1.0,0.9302325581395349,0.935672514619883,0.8333333333333334,0.16666666666666666,COMPLETE
subject,Psychology,4,0.5,1.0,0.9069767441860466,0.9186046511627907,0.5,0.5,COMPLETE
