group_type,group_value,paired_rows,exact_agreement,within_one,quadratic_weighted_kappa,krippendorff_ordinal_alpha,score_range_overlap,adjudication_rate,status
overall,all,120,0.5083333333333333,0.8416666666666667,0.687661331956634,0.6807176373171404,0.8083333333333333,0.5833333333333334,COMPLETE
view,risk_enriched_train,120,0.5083333333333333,0.8416666666666667,0.687661331956634,0.6807176373171404,0.8083333333333333,0.5833333333333334,COMPLETE
language,en,69,0.5072463768115942,0.8405797101449275,0.5935824175824176,0.5706936064730368,0.8115942028985508,0.5507246376811594,COMPLETE
language,zh,51,0.5098039215686274,0.8431372549019608,0.7349374398460058,0.7357045939135491,0.803921568627451,0.6274509803921569,COMPLETE
metric_family,Factual & Reasoning Accuracy,33,0.3939393939393939,0.8484848484848485,0.7285067873303167,0.7308488612836439,0.8484848484848485,0.6666666666666666,COMPLETE
metric_family,Pedagogical Application,57,0.5789473684210527,0.9473684210526315,0.7898089171974523,0.7853071564281191,0.8771929824561403,0.543859649122807,COMPLETE
metric_family,Scenario Adaptability,30,0.5,0.6333333333333333,-0.004184100418409997,-0.1132075471698113,0.6333333333333333,0.5666666666666667,COMPLETE
metric,Basic Factual Accuracy,7,0.5714285714285714,0.8571428571428571,0.8,0.8125,0.8571428571428571,0.42857142857142855,COMPLETE
metric,"Clarity, Simplicity & Inspiration",6,1.0,1.0,1.0,1.0,1.0,0.0,COMPLETE
metric,Content Relevance & Scope Control,3,0.6666666666666666,1.0,0.0,0.0,1.0,0.3333333333333333,COMPLETE
metric,Domain Knowledge Accuracy,5,0.0,1.0,0.0,-0.7999999999999998,1.0,1.0,COMPLETE
metric,Error Identification & Correction Precision,8,0.5,0.75,0.5161290322580645,0.537987679671458,0.75,0.5,COMPLETE
metric,Higher-Order Thinking & Skill Development,19,0.5263157894736842,0.8947368421052632,0.6765039727582293,0.6760070052539404,0.8421052631578947,0.47368421052631576,COMPLETE
metric,Instruction Following & Task Completion,13,0.6923076923076923,0.8461538461538461,0.3867924528301887,0.40476190476190477,0.8461538461538461,0.46153846153846156,COMPLETE
metric,"Motivation, Guidance & Positive Feedback",22,0.6363636363636364,1.0,0.887468030690537,0.8877284595300261,0.8636363636363636,0.6818181818181818,COMPLETE
