source,rows,mae,qwk,exact,within_one,signed_bias,severe_error,low_to_high,high_to_low,label1_recall,label2_recall,label5_recall,status
human_1,120,0.5155847418093085,0.489942730555177,0.5673673759883254,0.9193086207102786,-0.20876305307352783,0.08069137928972142,0.011881436824918363,0.005861173909402997,0.8888888888888888,0.31216982038228797,0.5951662995864848,COMPLETE
human_2,120,0.4758211026183897,0.5240569729236183,0.5964754010119496,0.9295455795983302,-0.109443666941783,0.07045442040166984,0.019447375031399143,0.012909654190739344,1.0,0.28095283834405915,0.6628934691393739,COMPLETE
human_3,120,0.44273776629466155,0.5792796228118396,0.615401490412794,0.9452099855264889,-0.041207162593748875,0.05479001447351108,0.0,0.012909654190739344,1.0,0.21851887426760158,0.7548160050333526,COMPLETE
rounded_human,120,0.4516185213095537,0.5695764379025431,0.6027377662946615,0.9489929546297293,-0.10196767981244242,0.05100704537027069,0.011881436824918363,0.009126685087498953,1.0,0.31216982038228797,0.7016656238916053,COMPLETE
qwen,120,0.2687924785588689,0.807702391103361,0.7484025310702025,0.9861542326048731,-0.08653437159842586,0.013845767395126852,0.0036841664573390273,0.009408021435150297,0.6666666666666666,0.9063490538853135,0.9261162397648091,COMPLETE
deepseek,89,0.5522912121902777,0.6442138024235813,0.5255833034871227,0.9505512323771692,-0.04681231617447553,0.049448767622830715,0.003950552968883968,0.03726587004417239,0.8888888888888888,0.6365382768225915,0.7261270918417067,COMPLETE
teacher_mean,120,0.2802608820468655,0.8008120160136363,0.7621260511237904,0.9768684585112618,-0.05467267137952895,0.022043037762706188,0.0010885037260319852,0.020535878757431132,0.6666666666666666,0.9375660359235425,0.8601788537676364,COMPLETE
teacher_median,120,0.2802608820468655,0.8008120160136363,0.7621260511237904,0.9768684585112618,-0.05467267137952895,0.022043037762706188,0.0010885037260319852,0.020535878757431132,0.6666666666666666,0.9375660359235425,0.8601788537676364,COMPLETE
Dawid-Skene,120,0.388444478094891,0.6116424362738339,0.7096706977189269,0.9057827059484933,-0.06774056639076678,0.014515615841915765,0.0,0.016692623293979737,1.0,0.31216982038228797,0.895029992598698,COMPLETE
MACE,120,0.37697105989839497,0.6900000729511618,0.7096706977189269,0.9570914223514073,-0.0837017626096842,0.0025956627313070417,0.0,0.012909654190739344,1.0,0.31216982038228797,0.8370206819865701,COMPLETE
