dimension,value,population_count,sample_count,sample_share,unique_question_keys,selection_manifest_sha256
label,1,24,12,0.1,12,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
label,2,52,18,0.15,18,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
label,3,251,25,0.20833333333333334,25,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
label,4,946,30,0.25,30,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
label,5,1381,35,0.2916666666666667,35,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
language,en,1341,57,0.475,57,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
language,zh,1313,63,0.525,63,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric_family,Factual & Reasoning Accuracy,788,35,0.2916666666666667,35,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric_family,Pedagogical Application,714,42,0.35,42,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric_family,Scenario Adaptability,1152,43,0.35833333333333334,43,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric,Basic Factual Accuracy,322,8,0.06666666666666667,8,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric,"Clarity, Simplicity & Inspiration",187,3,0.025,3,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric,Content Relevance & Scope Control,312,8,0.06666666666666667,8,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric,Domain Knowledge Accuracy,137,7,0.058333333333333334,7,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric,Error Identification & Correction Precision,134,5,0.041666666666666664,5,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric,Higher-Order Thinking & Skill Development,178,15,0.125,15,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric,Instruction Following & Task Completion,490,18,0.15,18,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
metric,"Motivation, Guidance & Positive Feedback",186,13,0.10833333333333334,13,03b04b887aa9827f67e7684103fb2d4035b66b47dab5472fcefe53e99f86dc64
