dimension,value,population_count,sample_count,sample_share,unique_question_keys,selection_manifest_sha256
label,1,12,12,0.1,7,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
label,2,34,34,0.2833333333333333,12,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
label,3,226,24,0.2,24,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
label,4,916,25,0.20833333333333334,25,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
label,5,1346,25,0.20833333333333334,25,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
language,en,1284,69,0.575,47,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
language,zh,1250,51,0.425,40,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric_family,Factual & Reasoning Accuracy,753,33,0.275,24,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric_family,Pedagogical Application,672,57,0.475,50,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric_family,Scenario Adaptability,1109,30,0.25,26,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric,Basic Factual Accuracy,314,7,0.058333333333333334,5,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric,"Clarity, Simplicity & Inspiration",184,6,0.05,4,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric,Content Relevance & Scope Control,304,3,0.025,3,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric,Domain Knowledge Accuracy,130,5,0.041666666666666664,5,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric,Error Identification & Correction Precision,129,8,0.06666666666666667,5,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric,Higher-Order Thinking & Skill Development,163,19,0.15833333333333333,17,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric,Instruction Following & Task Completion,472,13,0.10833333333333334,11,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric,"Motivation, Guidance & Positive Feedback",173,22,0.18333333333333332,20,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric,"Personalization, Adaptation & Learning Support",152,10,0.08333333333333333,10,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric,Reasoning Process Rigor,180,13,0.10833333333333334,11,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric,Role & Tone Consistency,98,3,0.025,3,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
metric,Scenario Element Integration,235,11,0.09166666666666666,9,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Applied Economics,51,1,0.008333333333333333,1,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Aquaculture,139,6,0.05,6,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Automation,44,1,0.008333333333333333,1,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
subject,Basic Medicine,153,15,0.125,6,278bcd46fd78983b82a31d46b253beff97338292d8a72f1f9851f910e27f21a4
