variant,human_label,rows,target_mass_1,target_mass_2,target_mass_3,target_mass_4,target_mass_5
v0_original_hard,1,24,24.0,0.0,0.0,0.0,0.0
v0_original_hard,2,52,0.0,52.0,0.0,0.0,0.0
v0_original_hard,3,251,0.0,0.0,251.0,0.0,0.0
v0_original_hard,4,946,0.0,0.0,0.0,946.0,0.0
v0_original_hard,5,1381,0.0,0.0,0.0,0.0,1381.0
v0h_human_soft,1,24,22.666666666666668,1.3333333333333333,0.0,0.0,0.0
v0h_human_soft,2,52,2.333333333333333,45.66666666666665,4.0,0.0,0.0
v0h_human_soft,3,251,0.0,9.333333333333332,195.66666666666626,46.00000000000005,0.0
v0h_human_soft,4,946,0.0,0.0,69.33333333333343,729.6666666666628,146.9999999999998
v0h_human_soft,5,1381,0.0,0.0,0.0,215.66666666666842,1165.3333333333308
v1_qwen_hard,1,24,14.0,3.0,1.0,1.0,5.0
v1_qwen_hard,2,52,5.0,19.0,2.0,12.0,14.0
v1_qwen_hard,3,251,3.0,67.0,31.0,80.0,70.0
v1_qwen_hard,4,946,6.0,117.0,123.0,312.0,388.0
v1_qwen_hard,5,1381,2.0,44.0,77.0,285.0,973.0
v2_qwen_range_soft,1,24,14.0,3.0,1.0,1.0,5.0
v2_qwen_range_soft,2,52,5.0,19.0,2.0,12.0,14.0
v2_qwen_range_soft,3,251,3.0,67.0,31.0,80.0,70.0
v2_qwen_range_soft,4,946,6.0,117.0,123.0,312.0,388.0
v2_qwen_range_soft,5,1381,2.0,44.0,77.0,285.0,973.0
v3_naive_human_qwen,1,24,20.5,1.75,0.25,0.25,1.25
v3_naive_human_qwen,2,52,3.0,39.0,3.5,3.0,3.5
v3_naive_human_qwen,3,251,0.75,23.75,154.5,54.5,17.5
v3_naive_human_qwen,4,946,1.5,29.25,82.75,625.25,207.25
v3_naive_human_qwen,5,1381,0.5,11.0,19.25,233.0,1117.25
v4_human_soft_logit_adjustment,1,24,22.666666666666668,1.3333333333333333,0.0,0.0,0.0
v4_human_soft_logit_adjustment,2,52,2.333333333333333,45.66666666666665,4.0,0.0,0.0
v4_human_soft_logit_adjustment,3,251,0.0,9.333333333333332,195.66666666666626,46.00000000000005,0.0
v4_human_soft_logit_adjustment,4,946,0.0,0.0,69.33333333333343,729.6666666666628,146.9999999999998
v4_human_soft_logit_adjustment,5,1381,0.0,0.0,0.0,215.66666666666842,1165.3333333333308
v5_safer_score,1,24,22.666666666666668,1.3333333333333333,0.0,0.0,0.0
v5_safer_score,2,52,2.333333333333333,45.66666666666665,4.0,0.0,0.0
v5_safer_score,3,251,0.0,9.333333333333332,195.66666666666626,46.00000000000005,0.0
v5_safer_score,4,946,0.0,0.0,69.33333333333343,729.6666666666628,146.9999999999998
v5_safer_score,5,1381,0.0,0.0,0.0,215.66666666666842,1165.3333333333308
v6a_no_failure_aux,1,24,22.666666666666668,1.3333333333333333,0.0,0.0,0.0
v6a_no_failure_aux,2,52,2.333333333333333,45.66666666666665,4.0,0.0,0.0
v6a_no_failure_aux,3,251,0.0,9.333333333333332,195.66666666666626,46.00000000000005,0.0
v6a_no_failure_aux,4,946,0.0,0.0,69.33333333333343,729.6666666666628,146.9999999999998
v6a_no_failure_aux,5,1381,0.0,0.0,0.0,215.66666666666842,1165.3333333333308
v6b_no_student_uncertainty,1,24,22.666666666666668,1.3333333333333333,0.0,0.0,0.0
v6b_no_student_uncertainty,2,52,2.333333333333333,45.66666666666665,4.0,0.0,0.0
v6b_no_student_uncertainty,3,251,0.0,9.333333333333332,195.66666666666626,46.00000000000005,0.0
v6b_no_student_uncertainty,4,946,0.0,0.0,69.33333333333343,729.6666666666628,146.9999999999998
v6b_no_student_uncertainty,5,1381,0.0,0.0,0.0,215.66666666666842,1165.3333333333308
v6c_no_curriculum,1,24,22.666666666666668,1.3333333333333333,0.0,0.0,0.0
v6c_no_curriculum,2,52,2.333333333333333,45.66666666666665,4.0,0.0,0.0
v6c_no_curriculum,3,251,0.0,9.333333333333332,195.66666666666626,46.00000000000005,0.0
v6c_no_curriculum,4,946,0.0,0.0,69.33333333333343,729.6666666666628,146.9999999999998
v6c_no_curriculum,5,1381,0.0,0.0,0.0,215.66666666666842,1165.3333333333308
v7_shuffled_teacher_control,1,24,22.666666666666668,1.3333333333333333,0.0,0.0,0.0
v7_shuffled_teacher_control,2,52,2.333333333333333,45.66666666666665,4.0,0.0,0.0
v7_shuffled_teacher_control,3,251,0.0,9.333333333333332,195.66666666666626,46.00000000000005,0.0
v7_shuffled_teacher_control,4,946,0.0,0.0,69.33333333333343,729.6666666666628,146.9999999999998
v7_shuffled_teacher_control,5,1381,0.0,0.0,0.0,215.66666666666842,1165.3333333333308
