variant,rows,ordered_input_hash
v0_original_hard,2654,75b422abe3cadfa8c9fcd4b57684d904a19a01582583f7e2ced22154aca12ca1
v0h_human_soft,2654,75b422abe3cadfa8c9fcd4b57684d904a19a01582583f7e2ced22154aca12ca1
v1_qwen_hard,2654,75b422abe3cadfa8c9fcd4b57684d904a19a01582583f7e2ced22154aca12ca1
v2_qwen_range_soft,2654,75b422abe3cadfa8c9fcd4b57684d904a19a01582583f7e2ced22154aca12ca1
v3_naive_human_qwen,2654,75b422abe3cadfa8c9fcd4b57684d904a19a01582583f7e2ced22154aca12ca1
v4_human_soft_logit_adjustment,2654,75b422abe3cadfa8c9fcd4b57684d904a19a01582583f7e2ced22154aca12ca1
v5_safer_score,2654,75b422abe3cadfa8c9fcd4b57684d904a19a01582583f7e2ced22154aca12ca1
v6a_no_failure_aux,2654,75b422abe3cadfa8c9fcd4b57684d904a19a01582583f7e2ced22154aca12ca1
v6b_no_student_uncertainty,2654,75b422abe3cadfa8c9fcd4b57684d904a19a01582583f7e2ced22154aca12ca1
v6c_no_curriculum,2654,75b422abe3cadfa8c9fcd4b57684d904a19a01582583f7e2ced22154aca12ca1
v7_shuffled_teacher_control,2654,75b422abe3cadfa8c9fcd4b57684d904a19a01582583f7e2ced22154aca12ca1
