view,language,metric_group,subject,count
low_tail_all,en,Factual & Reasoning Accuracy,Basic Medicine,4
low_tail_all,en,Factual & Reasoning Accuracy,Business Administration,2
low_tail_all,en,Factual & Reasoning Accuracy,Chinese,1
low_tail_all,en,Factual & Reasoning Accuracy,Computer Science,1
low_tail_all,en,Factual & Reasoning Accuracy,History,2
low_tail_all,en,Factual & Reasoning Accuracy,Mathematics,2
low_tail_all,en,Factual & Reasoning Accuracy,Theoretical Economics,3
low_tail_all,en,Pedagogical Application,Basic Medicine,1
low_tail_all,en,Pedagogical Application,Biology,2
low_tail_all,en,Pedagogical Application,Business Administration,10
low_tail_all,en,Pedagogical Application,Law,1
low_tail_all,en,Pedagogical Application,Mathematics,1
low_tail_all,en,Pedagogical Application,Physical Education,1
low_tail_all,en,Pedagogical Application,Sociology,1
low_tail_all,en,Scenario Adaptability,Automation,1
low_tail_all,en,Scenario Adaptability,Business Administration,7
low_tail_all,en,Scenario Adaptability,Chinese,1
low_tail_all,en,Scenario Adaptability,Crop Science,1
low_tail_all,en,Scenario Adaptability,General Pedagogy,1
low_tail_all,en,Scenario Adaptability,History,1
low_tail_all,en,Scenario Adaptability,Mathematics,1
low_tail_all,en,Scenario Adaptability,Theoretical Economics,1
low_tail_all,zh,Factual & Reasoning Accuracy,Basic Medicine,6
low_tail_all,zh,Factual & Reasoning Accuracy,Computer Science,1
low_tail_all,zh,Factual & Reasoning Accuracy,Crop Science,1
low_tail_all,zh,Factual & Reasoning Accuracy,General Pedagogy,1
low_tail_all,zh,Factual & Reasoning Accuracy,History,1
low_tail_all,zh,Factual & Reasoning Accuracy,Law,2
low_tail_all,zh,Factual & Reasoning Accuracy,Literature and Art,2
low_tail_all,zh,Factual & Reasoning Accuracy,Mathematics,2
low_tail_all,zh,Factual & Reasoning Accuracy,Psychology,2
low_tail_all,zh,Pedagogical Application,Basic Medicine,1
low_tail_all,zh,Pedagogical Application,Biology,1
low_tail_all,zh,Pedagogical Application,Crop Science,1
low_tail_all,zh,Pedagogical Application,English,1
low_tail_all,zh,Pedagogical Application,Geography,1
low_tail_all,zh,Pedagogical Application,History,2
low_tail_all,zh,Scenario Adaptability,Basic Medicine,1
low_tail_all,zh,Scenario Adaptability,Chemistry,1
low_tail_all,zh,Scenario Adaptability,Crop Science,1
low_tail_all,zh,Scenario Adaptability,Mathematics,1
low_tail_all,zh,Scenario Adaptability,Theoretical Economics,1
boundary_view,en,Factual & Reasoning Accuracy,Business Administration,1
