dimension,value,count,rate
language,en,124,0.5166666666666667
language,zh,116,0.48333333333333334
metric_group,Factual & Reasoning Accuracy,66,0.275
metric_group,Pedagogical Application,75,0.3125
metric_group,Scenario Adaptability,99,0.4125
subject,Applied Economics,8,0.03333333333333333
subject,Aquaculture,11,0.04583333333333333
subject,Automation,4,0.016666666666666666
subject,Basic Medicine,11,0.04583333333333333
subject,Biology,11,0.04583333333333333
subject,Business Administration,10,0.041666666666666664
subject,Chemistry,12,0.05
subject,Chinese,10,0.041666666666666664
subject,Clinical Medicine,7,0.029166666666666667
subject,Computer Science,10,0.041666666666666664
subject,Crop Science,9,0.0375
subject,English,8,0.03333333333333333
subject,General Pedagogy,10,0.041666666666666664
subject,Geography,8,0.03333333333333333
subject,History,14,0.058333333333333334
subject,Law,6,0.025
subject,Literature and Art,10,0.041666666666666664
subject,Mathematics,12,0.05
subject,Military Science,8,0.03333333333333333
subject,Physical Education,9,0.0375
subject,Physics,15,0.0625
subject,Psychology,11,0.04583333333333333
subject,Public Administration,12,0.05
subject,Sociology,4,0.016666666666666666
subject,Theoretical Economics,10,0.041666666666666664
source_label,4,114,0.475
source_label,5,126,0.525
target_score,1,40,0.16666666666666666
target_score,2,120,0.5
target_score,3,80,0.3333333333333333
operator,introduce_factual_or_rubric_contradiction,48,0.2
operator,introduce_scope_drift_or_irrelevant_content,48,0.2
operator,remove_reasoning_or_supporting_evidence,48,0.2
operator,remove_required_key_point,48,0.2
operator,violate_explicit_task_or_format_constraint,48,0.2
