dimension,value,count,rate
language,en,31,0.5166666666666667
language,zh,29,0.48333333333333334
metric_group,Factual & Reasoning Accuracy,18,0.3
metric_group,Pedagogical Application,15,0.25
metric_group,Scenario Adaptability,27,0.45
source_label,4,25,0.4166666666666667
source_label,5,35,0.5833333333333334
generator_model,deepseek-r1,12,0.2
generator_model,deepseek-v3,13,0.21666666666666667
generator_model,qwen-max,13,0.21666666666666667
generator_model,qwen2.5-14b-instruct,10,0.16666666666666666
generator_model,qwen2.5-7b-instruct,12,0.2
target_band,boundary,15,0.25
target_band,moderate_low,25,0.4166666666666667
target_band,severe_low,20,0.3333333333333333
