rubric_unit_id_hash,quote_coverage,criterion_count,compiled_token_length
exp41a_ru_0043adf0a0fe17b3cb08950e,0.8831168831168831,5,192
exp41a_ru_00a6c3e289ea643300990c0c,0.94,12,247
exp41a_ru_00d0e8b03df5ed711c4b2878,0.8351648351648352,10,167
exp41a_ru_00dc168d344f2bc68cb6497f,0.927536231884058,10,228
exp41a_ru_00e37026b4c8c8a955c6e2e4,0.9117647058823529,10,234
exp41a_ru_00fb3983bbe5a782e17fcaa4,0.94,12,247
exp41a_ru_011734f3cfcb53229fec7003,0.9166666666666666,10,228
exp41a_ru_014e3a98b9a0d8bb08e82659,0.9117647058823529,10,234
exp41a_ru_017e28dd3b2ad8ad8cc0b3f5,0.7,9,217
exp41a_ru_01b5db2758cad1dab292698a,0.9305555555555556,10,213
exp41a_ru_01cf10ce266a93e76ebc9b6c,0.8372093023255814,12,241
exp41a_ru_023eafdea27164ff4b17b410,0.925,10,188
exp41a_ru_0247405d4d337d0dc7ee0350,0.9038461538461539,5,251
exp41a_ru_02cfca15a0c1de7b005e12ac,0.8831168831168831,5,192
exp41a_ru_02eccc2a101e920b160362d8,0.8488372093023255,12,227
exp41a_ru_0345552fbf9f26c24e2a85c6,0.8791208791208791,12,179
exp41a_ru_03d1bea2c198a49df10d71df,0.9056603773584906,9,250
exp41a_ru_04002f5a2893b534051885e7,0.8985507246376812,12,243
exp41a_ru_04128b4f937417170f3e3066,0.8181818181818182,12,229
exp41a_ru_041ceb83cbf9c4a4950213ba,0.927536231884058,5,191
exp41a_ru_043029989cb8508245cf9daa,0.90625,8,236
exp41a_ru_04344489d4991527b5f4d7be,0.8679245283018868,12,180
exp41a_ru_045db404c99a4c68a5a638b6,0.9056603773584906,9,250
exp41a_ru_04606ef832c4dbfec30bf787,0.925531914893617,11,247
exp41a_ru_048139cefe12ad457751fb0b,0.8333333333333334,12,250
exp41a_ru_04d21a1f90fc5b2fdeb40346,0.7790697674418605,12,219
exp41a_ru_04e5823cd66bead334bcf8f8,0.6060606060606061,10,231
exp41a_ru_04f8ca79673375cb0d077b74,0.9375,11,183
exp41a_ru_05218283d7f35a85d2143281,0.8679245283018868,8,247
exp41a_ru_0527d3add1db1ad1e58818bf,0.825,10,180
exp41a_ru_0554542a5e0b04dac1827af5,0.6060606060606061,9,255
exp41a_ru_05c8b928d0be743625b50231,0.9180327868852459,11,256
exp41a_ru_06bc07fc182ce96a49cb16f4,0.8823529411764706,9,248
