fold,label,language,rows,fold_total_rows,question_keys
0,1,en,1,543,41
0,1,zh,3,543,41
0,2,en,12,543,41
0,3,en,21,543,41
0,3,zh,27,543,41
0,4,en,76,543,41
0,4,zh,113,543,41
0,5,en,184,543,41
0,5,zh,106,543,41
1,1,en,5,494,39
1,2,en,4,494,39
1,2,zh,4,494,39
1,3,en,24,494,39
1,3,zh,22,494,39
1,4,en,67,494,39
1,4,zh,102,494,39
1,5,en,149,494,39
1,5,zh,117,494,39
2,1,zh,7,558,39
2,2,en,3,558,39
2,2,zh,5,558,39
2,3,en,12,558,39
2,3,zh,37,558,39
2,4,en,105,558,39
2,4,zh,105,558,39
2,5,en,180,558,39
2,5,zh,104,558,39
3,1,en,2,566,40
3,1,zh,2,566,40
3,2,en,12,566,40
3,2,zh,4,566,40
3,3,en,24,566,40
3,3,zh,40,566,40
3,4,en,49,566,40
3,4,zh,136,566,40
3,5,en,191,566,40
3,5,zh,106,566,40
4,1,en,2,493,37
4,1,zh,2,493,37
4,2,en,5,493,37
4,2,zh,3,493,37
4,3,en,16,493,37
4,3,zh,28,493,37
4,4,en,75,493,37
4,4,zh,118,493,37
4,5,en,122,493,37
4,5,zh,122,493,37
