comparison,left_variant,right_variant,seed,delta_MAE,delta_QWK,delta_Exact_Match,delta_Kendall_tau,delta_Signed_Bias,delta_abs_Signed_Bias,delta_expected_score_MAE,delta_human_CE,delta_human_Brier,delta_human_RPS,delta_Bin_Agreement,delta_low_to_high_rate,delta_high_to_low_rate,delta_label1_recall,delta_label2_recall,delta_label3_recall,delta_label4_recall,delta_label5_recall
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,42,-0.012434061793519191,0.031550904569424,0.007535795026375247,0.01999797540211362,-0.0018839487565938118,-0.0018839487565938118,-0.022663922847204587,0.02671106025308112,-0.003985735350445885,-0.0011168066111716043,-0.0033911077618689056,-0.10526315789473684,-0.002578427159432746,0.0,0.0,0.019920318725099598,-0.00634249471458781,0.01520637219406229
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,43,0.009042954031650341,-0.007860007524199353,-0.010173323285606606,-0.01756486531307866,-0.0060286360211002366,-0.0060286360211002366,-0.003602716379254467,-0.0006361851596901058,-0.002653394451168689,-0.0007556527445516659,0.0022607385079126407,-0.03947368421052633,0.0004297378599054577,0.04166666666666666,0.0,0.019920318725099584,-0.010570824524312905,-0.016654598117306296
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,44,0.006028636021100209,-0.0027547712154252224,-0.0011303692539562649,-0.005026475961166232,-0.010550113036925393,-0.010550113036925393,-0.003589185857901911,0.020337880065666614,0.005319050221056665,0.000449918645848639,-0.005275056518462606,-0.03947368421052633,0.0,0.0,0.0,0.03585657370517928,-0.016913319238900715,0.002896451846488124
soft_effect_with_rubric,v11_soft_raw_rubric,v10_hard_raw_rubric,42,0.0018839487565938118,-0.020614912217543635,-0.0030143180105501877,-0.007161085301435277,-0.005651846269781463,-0.005651846269781463,0.03702183791635366,-0.5578593969800496,-0.0827310429147391,-0.010049079010387797,0.0030143180105500766,0.039473684210526216,0.0004297378599054576,0.0,0.0,-0.05577689243027889,0.03699788583509511,-0.020999275887038316
soft_effect_with_rubric,v11_soft_raw_rubric,v10_hard_raw_rubric,43,-0.012434061793519247,0.02954672987089102,-0.0026375282592313587,0.017801920106131575,-0.03654860587792014,-0.03654860587792014,0.027932243868285522,-0.6798953101813976,-0.09426297818382001,-0.013210521821235478,0.009042954031650341,0.0,-0.002148689299527288,-0.041666666666666685,0.0,0.03585657370517928,0.04439746300211411,-0.04127443881245474
soft_effect_with_rubric,v11_soft_raw_rubric,v10_hard_raw_rubric,44,0.0033911077618689056,-0.0064204235884831595,-0.008666164280331512,-0.007872039287977972,-0.031273549359457434,-0.031273549359457434,0.03426148127168249,-0.5418766128862385,-0.08355851811177722,-0.010735377579834345,0.0037678975131877346,0.0,-0.001289213579716373,-0.041666666666666664,0.0,0.03187250996015936,0.023255813953488302,-0.03765387400434461
rubric_effect_with_hard,v10_hard_raw_rubric,v00_hard_no_rubric,42,-0.03466465712132627,0.09364772940045551,0.019216277317257058,0.06454146468433081,-0.013564431047475511,-0.013564431047475511,-0.039338286545986145,0.31325278267131274,0.022633055468666563,0.0006496720000717104,0.0030143180105500766,-0.13157894736842102,-0.001289213579716373,0.0,0.0,0.05976095617529881,0.006342494714587699,0.02172338884866032
rubric_effect_with_hard,v10_hard_raw_rubric,v00_hard_no_rubric,43,-0.0015071590052750383,0.01121056550051347,0.0033911077618689056,-0.004074018433527671,-0.00527505651846269,-0.00527505651846269,-0.008825985348868248,0.18085168506165927,0.009947760464690758,0.0008404160257486359,0.0041446872645064525,-0.06578947368421062,0.0012892135797163728,0.125,-0.019230769230769232,0.023904382470119515,0.0021141649048626032,-0.0007241129616220032
rubric_effect_with_hard,v10_hard_raw_rubric,v00_hard_no_rubric,44,0.00339110776186885,0.0008460006855717239,-0.00037678975131882897,0.0012638851971983889,-0.03579502637528259,-0.03579502637528259,-0.003410612466956786,0.24763136984983647,0.024638919060503472,0.0027299664766639586,-0.0048982667671439994,0.02631578947368418,0.0017189514396218305,0.041666666666666664,0.0,0.02390438247011953,0.019027484143763207,-0.018826937002172417
soft_effect_without_rubric,v01_soft_no_rubric,v00_hard_no_rubric,42,-0.020346646571213267,0.04148191261348788,0.008666164280331623,0.03738240398078191,-0.017332328560663163,-0.017332328560663163,0.020347474217572104,-0.271317674561818,-0.05611225209562665,-0.008282600399144482,0.009419743782969059,0.013157894736842035,0.0017189514396218305,0.0,0.0,-0.01593625498007968,0.04968287526427062,-0.014482259232440287
