variant,seed,n,MAE,expected_score_MAE,Signed_Bias,abs_Signed_Bias,Exact_Match,Kendall_tau,QWK,Bin_Agreement,low_n,low_to_high_count,low_to_high_rate,high_n,high_to_low_count,high_to_low_rate,label1_recall,pred_count_1,label2_recall,pred_count_2,label3_recall,pred_count_3,label4_recall,pred_count_4,label5_recall,pred_count_5,human_CE,human_Brier,human_RPS
v00_hard_no_rubric,42,2654,0.4570459683496609,0.4728456976560494,0.1473247927656368,0.1473247927656368,0.6326299924642049,0.39362371761288256,0.3067067931867836,0.8609645817633761,76,71,0.9342105263157895,2327,5,0.0021486892995272885,0.0,3,0.0,2,0.12350597609561753,104,0.63107822410148,1083,0.7610427226647357,1462,1.371429898587864,0.3743050170316932,0.06834147124866814
v00_hard_no_rubric,43,2654,0.43293142426526,0.4456734595956698,0.15486058779201206,0.15486058779201206,0.6484551620195931,0.4392932848267665,0.36292353134193867,0.8605877920120573,76,69,0.9078947368421053,2327,4,0.0017189514396218307,0.08333333333333333,4,0.019230769230769232,4,0.10358565737051793,98,0.635306553911205,1065,0.7900072411296162,1483,1.6294250042040501,0.3977325565740254,0.07020197148778545
v00_hard_no_rubric,44,2654,0.42162773172569706,0.44049786933489277,0.18425018839487567,0.18425018839487567,0.6574981160512434,0.4483577235946962,0.37104450442800807,0.8703843255463452,76,66,0.868421052631579,2327,2,0.0008594757198109154,0.0,0,0.0,3,0.12350597609561753,87,0.63107822410148,1028,0.8088341781317886,1536,1.402009703374405,0.3725257025395126,0.06666011768173416
v01_soft_no_rubric,42,2654,0.4366993217784476,0.4931931718736215,0.12999246420497362,0.12999246420497362,0.6412961567445365,0.43100612159366447,0.3481887058002715,0.8703843255463452,76,72,0.9473684210526315,2327,9,0.003867640739149119,0.0,3,0.0,7,0.10756972111553785,66,0.6807610993657506,1190,0.7465604634322954,1388,1.100112224026046,0.3181927649360666,0.06005887084952366
v01_soft_no_rubric,43,2654,0.40994724943481536,0.4683824344943415,0.11906556141672947,0.11906556141672947,0.6593820648078372,0.47058605181244906,0.4115408342375425,0.8715146948003014,76,67,0.881578947368421,2327,1,0.0004297378599054577,0.125,5,0.0,4,0.14342629482071714,94,0.6923890063424947,1164,0.7646632874728457,1387,1.131017564244002,0.31607073330606483,0.058587518436850276
v01_soft_no_rubric,44,2654,0.4223813112283346,0.4749379239975204,0.12773172569706104,0.12773172569706104,0.6495855312735493,0.44677604546508287,0.36822485274052186,0.8745290128108515,76,71,0.9342105263157895,2327,3,0.001289213579716373,0.0,0,0.0,3,0.14342629482071714,80,0.6902748414376322,1192,0.7494569152787834,1379,1.0874265802723364,0.3082870532671822,0.058204787932715135
v10_hard_raw_rubric,42,2654,0.4223813112283346,0.43350741111006325,0.13376036171816127,0.13376036171816127,0.651846269781462,0.45816518229721337,0.40035452258723914,0.8639788997739262,76,61,0.8026315789473685,2327,2,0.0008594757198109154,0.0,0,0.0,3,0.18326693227091634,139,0.6374207188160677,1058,0.782766111513396,1454,1.6846826812591766,0.3969380725003598,0.06899114324873985
v10_hard_raw_rubric,43,2654,0.43142426525998495,0.43684747424680154,0.14958553127354937,0.14958553127354937,0.651846269781462,0.4352192663932388,0.37413409684245214,0.8647324792765637,76,64,0.8421052631578947,2327,7,0.0030081650193382035,0.20833333333333334,10,0.0,4,0.12749003984063745,101,0.6374207188160677,1049,0.7892831281679942,1490,1.8102766892657094,0.40768031703871616,0.07104238751353409
v10_hard_raw_rubric,44,2654,0.4250188394875659,0.437087256867936,0.14845516201959308,0.14845516201959308,0.6571213262999246,0.4496216087918946,0.3718905051135798,0.8654860587792012,76,68,0.8947368421052632,2327,6,0.002578427159432746,0.041666666666666664,3,0.0,5,0.14741035856573706,106,0.6501057082452432,1067,0.7900072411296162,1473,1.6496410732242415,0.3971646216000161,0.06939008415839812
v11_soft_raw_rubric,42,2654,0.4242652599849284,0.4705292490264169,0.1281085154483798,0.1281085154483798,0.6488319517709118,0.4510040969957781,0.3797396103696955,0.8669932177844762,76,64,0.8421052631578947,2327,3,0.001289213579716373,0.0,2,0.0,2,0.12749003984063745,99,0.6744186046511628,1148,0.7617668356263577,1403,1.126823284279127,0.3142070295856207,0.058942064238352056
v11_soft_raw_rubric,43,2654,0.4189902034664657,0.46477971811508706,0.11303692539562923,0.11303692539562923,0.6492087415222306,0.4530211864993704,0.40368082671334315,0.8737754333082141,76,64,0.8421052631578947,2327,2,0.0008594757198109154,0.16666666666666666,6,0.0,1,0.16334661354581673,100,0.6818181818181818,1173,0.7480086893555394,1374,1.1303813790843118,0.31341733885489614,0.05783186569229861
v11_soft_raw_rubric,44,2654,0.4284099472494348,0.4713487381396185,0.11718161266013565,0.11718161266013565,0.6484551620195931,0.44174956950391664,0.36547008152509664,0.8692539562923889,76,68,0.8947368421052632,2327,3,0.001289213579716373,0.0,2,0.0,2,0.17928286852589642,115,0.6733615221987315,1145,0.7523533671252716,1390,1.107764460338003,0.31360610348823886,0.058654706578563774
