split,variant,rows,question_keys,mean_input_tokens,p95_input_tokens,max_input_tokens,question_truncation_count,metric_truncation_count,rubric_truncation_count,metadata_truncation_count,answer_truncation_count
train,E0,2654,196,403.18010550113036,749.0,1144,32,0,0,0,2
train,E1,2654,196,555.7418990203466,904.0,1291,32,0,0,0,2
train,E2,2654,196,403.18010550113036,749.0,1144,32,0,0,0,2
train,E3,2654,196,555.7418990203466,904.0,1291,32,0,0,0,2
train,E4,2654,196,555.7418990203466,904.0,1291,32,0,0,0,2
train,E5,2654,196,555.7418990203466,904.0,1291,32,0,0,0,2
train,E6,2654,196,555.7418990203466,904.0,1291,32,0,0,0,2
train,E6N,2654,196,555.7418990203466,904.0,1291,32,0,0,0,2
dev,E0,664,184,413.1792168674699,748.5500000000001,1148,8,0,0,0,6
dev,E1,664,184,565.6596385542168,916.85,1361,8,0,0,0,6
dev,E2,664,184,413.1792168674699,748.5500000000001,1148,8,0,0,0,6
dev,E3,664,184,565.6596385542168,916.85,1361,8,0,0,0,6
dev,E4,664,184,565.6596385542168,916.85,1361,8,0,0,0,6
dev,E5,664,184,565.6596385542168,916.85,1361,8,0,0,0,6
dev,E6,664,184,565.6596385542168,916.85,1361,8,0,0,0,6
dev,E6N,664,184,565.6596385542168,916.85,1361,8,0,0,0,6
