variant,seed,fold,heldout_pairs,pair_accuracy
E0,42,0,90,0.7
E0,42,1,86,0.7674418604651163
E0,42,2,125,0.768
E0,42,3,134,0.8507462686567164
E0,42,4,103,0.7378640776699029
E1,42,0,90,0.7555555555555555
E1,42,1,86,0.7674418604651163
E1,42,2,125,0.792
E1,42,3,134,0.8134328358208955
E1,42,4,103,0.7669902912621359
E2,42,0,90,0.8
E2,42,1,86,0.7325581395348837
E2,42,2,125,0.792
E2,42,3,134,0.8507462686567164
E2,42,4,103,0.7378640776699029
E3,42,0,90,0.6888888888888889
E3,42,1,86,0.7325581395348837
E3,42,2,125,0.792
E3,42,3,134,0.7761194029850746
E3,42,4,103,0.7766990291262136
E4,42,0,90,0.6888888888888889
E4,42,1,86,0.7674418604651163
E4,42,2,125,0.784
E4,42,3,134,0.7910447761194029
E4,42,4,103,0.7766990291262136
E5,42,0,90,0.6666666666666666
E5,42,1,86,0.7558139534883721
E5,42,2,125,0.776
E5,42,3,134,0.8507462686567164
E5,42,4,103,0.6796116504854369
