variant,seed,fold,exists,valid,status,epochs,fingerprint_required,fingerprint_match,run_fingerprint,expected_fingerprint,oom_count,nan_count,test_access_count
E0,42,0,True,True,COMPLETED,10,False,True,MISSING,a980ef26d56d1f94ccbc08c154dd86b08a491f767cf08897f3c98247b19648c4,0,0,0
E0,42,1,True,True,COMPLETED,10,False,True,MISSING,709aa6de22af25e9e363a5de5d53bd80b33727fd4b536368e71e70e13694a1a8,0,0,0
E0,42,2,True,True,COMPLETED,10,False,True,MISSING,e74774180f381692626126aa5931d6238eb1ac1760f568dd91c82beddb804316,0,0,0
E0,42,3,True,True,COMPLETED,10,False,True,MISSING,dcc5350bc8d6b5bb3ce6c32bcfa75a138607a1987d284598ee024f0ec074366a,0,0,0
E0,42,4,True,True,COMPLETED,10,False,True,MISSING,b0e04a557ef8a4060edc1e8ad336bb3e89c48bae020e449b03d85b7fc6203a8e,0,0,0
E1,42,0,True,True,COMPLETED,10,False,True,MISSING,9a969a20a9c6a7aa42fb50d43d49a18393fa1e7269a6aaf9fb124e48bc0fa93b,0,0,0
E1,42,1,True,True,COMPLETED,10,False,True,MISSING,b878cd5c652977726b5e827aa983e0f9e4eae314d261771bf5fb4df898b39ccc,0,0,0
E1,42,2,True,True,COMPLETED,10,False,True,MISSING,41bf36d1063026835403b66c40521a8437a33c763353cb2093238a646de99c55,0,0,0
E1,42,3,True,True,COMPLETED,10,False,True,MISSING,9e6e86f066dff6e35202700dc8fbe612dc0857ff251227b5ba490e729d44ee15,0,0,0
E1,42,4,True,True,COMPLETED,10,False,True,MISSING,d2f917c830bec6f42b190a14412350839bdde5c9ff40f977499a1b9e5f3c0cac,0,0,0
E2,42,0,True,True,COMPLETED,10,False,True,MISSING,85ccdb6b575188978a9bf023f9bc7d5374ae8c7b405578a79dde5fc9a8ebd1fa,0,0,0
E2,42,1,True,True,COMPLETED,10,False,True,MISSING,5b7902d8d8a26cc83ce317a1486c2c861d637548d4d57ff0cb7e51c5004d5ef4,0,0,0
E2,42,2,True,True,COMPLETED,10,False,True,MISSING,c84b5cbad48f5e044bba47732a828c584645f997ec4c95dbb5f16409dba4239f,0,0,0
E2,42,3,True,True,COMPLETED,10,False,True,MISSING,d47bd4dfbaf3ee8d81341e3109534281a55d175fcbcc05762cf654bd638a26a7,0,0,0
E2,42,4,True,True,COMPLETED,10,False,True,MISSING,305fbc7ad8abc2414e165429b62dafe60d3e9ee256551d8d7205194376d68bd6,0,0,0
E3,42,0,True,True,COMPLETED,10,False,True,MISSING,1306fea11e83253a31bd0e37255817297532106464daeb1c0670360b2e83543e,0,0,0
E3,42,1,True,True,COMPLETED,10,False,True,MISSING,6f5d71a20f9e1aceaf62716b62db598f4f761b467357d5bdb026e04d628c14f1,0,0,0
E3,42,2,True,True,COMPLETED,10,False,True,MISSING,86f8c766224f344c11dd18197756776173445cbde2c7de6b9930831e71906981,0,0,0
E3,42,3,True,True,COMPLETED,10,False,True,MISSING,115a81d5817fcf025f2bfb1dd79fbd2f3adf65e9fea16d9392c23b1b64a2dcd0,0,0,0
E3,42,4,True,True,COMPLETED,10,False,True,MISSING,b8a9d054be61929221511a6b83d9bdf43de2e6fef0617b147557978222a75aab,0,0,0
E4,42,0,True,True,COMPLETED,10,False,True,MISSING,906dc230699e43510a4f71946fb92d233ddb38deb1ccc21236b97975c5ed907a,0,0,0
E4,42,1,True,True,COMPLETED,10,False,True,MISSING,80898b094694330cd3443b721bcaef6df06e4dfeda350a5975af04b91f92e380,0,0,0
E4,42,2,True,True,COMPLETED,10,False,True,MISSING,e4d562722595f8713899947fff8277bd1d3f67dfc89fe980c0853ebd9c37102f,0,0,0
E4,42,3,True,True,COMPLETED,10,False,True,MISSING,368e87d12355f0cc91a5d48a9d0f4eeb06b37c3250df4eeb91119f2ec1c37e1f,0,0,0
E4,42,4,True,True,COMPLETED,10,False,True,e545a12b764272c721f7d28c668151760ca4a6ec6a1efeac0ad0ca0527b685a5,e545a12b764272c721f7d28c668151760ca4a6ec6a1efeac0ad0ca0527b685a5,0,0,0
E5,42,0,True,True,COMPLETED,10,False,True,4eba2598ded830f2f0dc3ddc2042f149f7934e904453d7d95d3c2276c2679576,4eba2598ded830f2f0dc3ddc2042f149f7934e904453d7d95d3c2276c2679576,0,0,0
E5,42,1,True,True,COMPLETED,10,False,True,146688e075190eda7d27e1d15eaa61fde78e897abb4631e81e6ce8a7b916c826,146688e075190eda7d27e1d15eaa61fde78e897abb4631e81e6ce8a7b916c826,0,0,0
E5,42,2,True,True,COMPLETED,10,False,True,26e074f7eed1926fbb572f4653c95dc24c9e99119017b3e4696495b855f1a356,26e074f7eed1926fbb572f4653c95dc24c9e99119017b3e4696495b855f1a356,0,0,0
E5,42,3,True,True,COMPLETED,10,False,True,71fd0323ee04a397d8e896fddebc5918d23ff565daff09eab31a121661423349,71fd0323ee04a397d8e896fddebc5918d23ff565daff09eab31a121661423349,0,0,0
E5,42,4,True,True,COMPLETED,10,False,True,dca46b0b0c908efa404beeceafbb2e6901caaf37e86671c6d10fd224cc1b21c9,dca46b0b0c908efa404beeceafbb2e6901caaf37e86671c6d10fd224cc1b21c9,0,0,0
