fold,epoch,train_rows,low_available,triplets,per_stratum,low_anchor_coverage,near_count,far_count,shuffle_assignment_change_rate,status
0,1,2111,60,180,60,1.0,180,180,0.9777777777777777,GO
0,2,2111,60,180,60,1.0,180,180,0.9111111111111111,GO
0,3,2111,60,180,60,1.0,180,180,0.9666666666666667,GO
0,4,2111,60,180,60,1.0,180,180,0.9555555555555556,GO
0,5,2111,60,180,60,1.0,180,180,0.9555555555555556,GO
0,6,2111,60,180,60,1.0,180,180,0.9777777777777777,GO
0,7,2111,60,180,60,1.0,180,180,0.9333333333333333,GO
0,8,2111,60,180,60,1.0,180,180,0.9888888888888889,GO
0,9,2111,60,180,60,1.0,180,180,0.9888888888888889,GO
0,10,2111,60,180,60,1.0,180,180,0.9555555555555556,GO
1,1,2160,63,189,63,1.0,189,189,0.9523809523809523,GO
1,2,2160,63,189,63,1.0,189,189,0.9841269841269841,GO
1,3,2160,63,189,63,1.0,189,189,0.9735449735449735,GO
1,4,2160,63,189,63,1.0,189,189,0.9417989417989417,GO
1,5,2160,63,189,63,1.0,189,189,0.8994708994708994,GO
1,6,2160,63,189,63,1.0,189,189,0.9629629629629629,GO
1,7,2160,63,189,63,1.0,189,189,0.9417989417989417,GO
1,8,2160,63,189,63,1.0,189,189,0.9417989417989417,GO
1,9,2160,63,189,63,1.0,189,189,0.9629629629629629,GO
1,10,2160,63,189,63,1.0,189,189,0.9629629629629629,GO
2,1,2096,61,183,61,1.0,183,183,0.9508196721311475,GO
2,2,2096,61,183,61,1.0,183,183,0.9508196721311475,GO
2,3,2096,61,183,61,1.0,183,183,0.994535519125683,GO
2,4,2096,61,183,61,1.0,183,183,0.9398907103825137,GO
2,5,2096,61,183,61,1.0,183,183,0.9836065573770492,GO
2,6,2096,61,183,61,1.0,183,183,0.994535519125683,GO
2,7,2096,61,183,61,1.0,183,183,1.0,GO
2,8,2096,61,183,61,1.0,183,183,0.9726775956284153,GO
2,9,2096,61,183,61,1.0,183,183,1.0,GO
2,10,2096,61,183,61,1.0,183,183,1.0,GO
3,1,2088,56,168,56,1.0,168,168,1.0,GO
3,2,2088,56,168,56,1.0,168,168,0.9880952380952381,GO
3,3,2088,56,168,56,1.0,168,168,0.8928571428571429,GO
3,4,2088,56,168,56,1.0,168,168,0.9642857142857143,GO
3,5,2088,56,168,56,1.0,168,168,0.9166666666666666,GO
3,6,2088,56,168,56,1.0,168,168,0.9761904761904762,GO
3,7,2088,56,168,56,1.0,168,168,0.9761904761904762,GO
3,8,2088,56,168,56,1.0,168,168,0.9523809523809523,GO
3,9,2088,56,168,56,1.0,168,168,0.9523809523809523,GO
3,10,2088,56,168,56,1.0,168,168,0.8690476190476191,GO
4,1,2161,64,192,64,1.0,192,192,0.9791666666666666,GO
4,2,2161,64,192,64,1.0,192,192,0.96875,GO
4,3,2161,64,192,64,1.0,192,192,1.0,GO
4,4,2161,64,192,64,1.0,192,192,0.9375,GO
4,5,2161,64,192,64,1.0,192,192,0.9375,GO
4,6,2161,64,192,64,1.0,192,192,1.0,GO
4,7,2161,64,192,64,1.0,192,192,1.0,GO
4,8,2161,64,192,64,1.0,192,192,0.9791666666666666,GO
4,9,2161,64,192,64,1.0,192,192,0.9791666666666666,GO
4,10,2161,64,192,64,1.0,192,192,0.9583333333333334,GO
