metric,better_direction,K0_E4,T1_4B_teacher,teacher_minus_baseline,point_direction,bootstrap_ci_low,bootstrap_ci_high
MAE,lower,0.3873398643556895,0.40429540316503393,0.016955538809344417,worse,-0.00494405600015168,0.03841957650704383
QWK,higher,0.4648757875371625,0.4419859262694752,-0.022889861267687328,worse,-0.06053464415830303,0.013404323566024357
Exact_Match,higher,0.6733232856066315,0.6590052750565185,-0.014318010550112947,worse,-0.03353875617474532,0.005555721096543481
Kendall_tau,higher,0.5045788642438926,0.48050479257233303,-0.024074071671559616,worse,-0.05719010193583658,0.008830458461104812
abs_Signed_Bias,lower,0.09570459683496609,0.1081386586284853,0.012434061793519219,worse,-0.012495385270730783,0.03766036958568739
Bin_Agreement,higher,0.8790504898266767,0.8794272795779955,0.00037678975131882897,better,,
expected_score_MAE,lower,0.3971982266888768,0.41395249783474153,0.016754271145864752,worse,,
human_CE,lower,1.2470843220845942,1.2020940255980488,-0.0449902964865454,better,,
human_Brier,lower,0.30095838020579774,0.31880526547064325,0.017846885264845513,worse,,
human_RPS,lower,0.05497528367765648,0.057774307691340225,0.0027990240136837458,worse,,
low_to_high_rate,lower,0.7631578947368421,0.7894736842105263,0.02631578947368418,worse,-0.10228001165501167,0.17722925457102645
high_to_low_rate,lower,0.001289213579716373,0.0030081650193382035,0.0017189514396218305,worse,0.0,0.0038216966377868805
label2_recall,higher,0.0,0.0,0.0,tie,0.0,0.0
label5_recall,higher,0.7632150615496017,0.7581462708182476,-0.005068790731354134,worse,-0.03340448568484335,0.022530911516406456
