model,role,label2_subtype,predicted_class,count,share
M0_0.6B_E4,heldout,all_hard_label2,1,0,0.0
M0_0.6B_E4,heldout,all_hard_label2,2,0,0.0
M0_0.6B_E4,heldout,all_hard_label2,3,12,0.23076923076923078
M0_0.6B_E4,heldout,all_hard_label2,4,23,0.4423076923076923
M0_0.6B_E4,heldout,all_hard_label2,5,17,0.3269230769230769
M0_0.6B_E4,heldout,stable_label2,1,0,0.0
M0_0.6B_E4,heldout,stable_label2,2,0,0.0
M0_0.6B_E4,heldout,stable_label2,3,12,0.23076923076923078
M0_0.6B_E4,heldout,stable_label2,4,23,0.4423076923076923
M0_0.6B_E4,heldout,stable_label2,5,17,0.3269230769230769
M0_0.6B_E4,heldout,strict_label2,1,0,0.0
M0_0.6B_E4,heldout,strict_label2,2,0,0.0
M0_0.6B_E4,heldout,strict_label2,3,9,0.2727272727272727
M0_0.6B_E4,heldout,strict_label2,4,12,0.36363636363636365
M0_0.6B_E4,heldout,strict_label2,5,12,0.36363636363636365
M1_4B_teacher,heldout,all_hard_label2,1,0,0.0
M1_4B_teacher,heldout,all_hard_label2,2,0,0.0
M1_4B_teacher,heldout,all_hard_label2,3,9,0.17307692307692307
M1_4B_teacher,heldout,all_hard_label2,4,21,0.40384615384615385
M1_4B_teacher,heldout,all_hard_label2,5,22,0.4230769230769231
M1_4B_teacher,heldout,stable_label2,1,0,0.0
M1_4B_teacher,heldout,stable_label2,2,0,0.0
M1_4B_teacher,heldout,stable_label2,3,9,0.17307692307692307
M1_4B_teacher,heldout,stable_label2,4,21,0.40384615384615385
M1_4B_teacher,heldout,stable_label2,5,22,0.4230769230769231
M1_4B_teacher,heldout,strict_label2,1,0,0.0
M1_4B_teacher,heldout,strict_label2,2,0,0.0
M1_4B_teacher,heldout,strict_label2,3,5,0.15151515151515152
M1_4B_teacher,heldout,strict_label2,4,12,0.36363636363636365
M1_4B_teacher,heldout,strict_label2,5,16,0.48484848484848486
M1_4B_teacher,outer_train,all_hard_label2,1,0,0.0
M1_4B_teacher,outer_train,all_hard_label2,2,207,0.9951923076923077
M1_4B_teacher,outer_train,all_hard_label2,3,1,0.004807692307692308
M1_4B_teacher,outer_train,all_hard_label2,4,0,0.0
M1_4B_teacher,outer_train,all_hard_label2,5,0,0.0
M1_4B_teacher,outer_train,stable_label2,1,0,0.0
M1_4B_teacher,outer_train,stable_label2,2,207,0.9951923076923077
M1_4B_teacher,outer_train,stable_label2,3,1,0.004807692307692308
M1_4B_teacher,outer_train,stable_label2,4,0,0.0
M1_4B_teacher,outer_train,stable_label2,5,0,0.0
M1_4B_teacher,outer_train,strict_label2,1,0,0.0
M1_4B_teacher,outer_train,strict_label2,2,132,1.0
M1_4B_teacher,outer_train,strict_label2,3,0,0.0
M1_4B_teacher,outer_train,strict_label2,4,0,0.0
M1_4B_teacher,outer_train,strict_label2,5,0,0.0
