label2_subset,fold,count,share
hard_label2,0,12,0.23076923076923078
hard_label2,1,8,0.15384615384615385
hard_label2,2,8,0.15384615384615385
hard_label2,3,16,0.3076923076923077
hard_label2,4,8,0.15384615384615385
stable_label2,0,12,0.23076923076923078
stable_label2,1,8,0.15384615384615385
stable_label2,2,8,0.15384615384615385
stable_label2,3,16,0.3076923076923077
stable_label2,4,8,0.15384615384615385
strict_label2,0,9,0.2727272727272727
strict_label2,1,5,0.15151515151515152
strict_label2,2,4,0.12121212121212122
strict_label2,3,12,0.36363636363636365
strict_label2,4,3,0.09090909090909091
ambiguous_label2,0,0,0.0
ambiguous_label2,1,0,0.0
ambiguous_label2,2,0,0.0
ambiguous_label2,3,0,0.0
ambiguous_label2,4,0,0.0
