model,record_type,fold,epoch,history_status,global_step,learning_rate,train_total_loss,train_human_loss,train_human_distribution_loss,train_ordinal_loss,global_step_mean,global_step_std,learning_rate_mean,learning_rate_std,train_total_loss_mean,train_total_loss_std,train_human_loss_mean,train_human_loss_std,train_human_distribution_loss_mean,train_human_distribution_loss_std,train_ordinal_loss_mean,train_ordinal_loss_std
M0_0.6B_E4,fold_epoch,0,1,AVAILABLE,17,1.9848077530122083e-05,1.6969140602106398,,1.6334418100163792,0.1269444959153506,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,0,2,AVAILABLE,34,1.8755582313020912e-05,0.9823225384973215,,0.9548162049190565,0.05501266809402627,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,0,3,AVAILABLE,51,1.6720078605555227e-05,0.8500319100126172,,0.8289805861246405,0.042102649382837684,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,0,4,AVAILABLE,68,1.396079766039157e-05,0.7331183346863271,,0.7181799220781999,0.029876826444458195,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,0,5,AVAILABLE,85,1.077492420671931e-05,0.6412794091668206,,0.6304070626695951,0.021744695931953505,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,0,6,AVAILABLE,102,7.505588559420188e-06,0.5745298246937719,,0.5663458884792458,0.016367873241919864,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,0,7,AVAILABLE,119,4.504910219291941e-06,0.500317517544538,,0.4952701461116896,0.010094742182276963,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,0,8,AVAILABLE,136,2.0960733048124082e-06,0.4378259702233746,,0.4353100532409206,0.00503183221030323,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,0,9,AVAILABLE,153,5.385184312424973e-07,0.40326475953439844,,0.4019804953167102,0.0025685284926832233,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,0,10,AVAILABLE,170,0.0,0.3847407071232076,,0.3842030368343165,0.001075341122199307,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,1,1,AVAILABLE,17,1.9848077530122083e-05,1.6525656979944972,,1.5893241289037245,0.1264831431865416,,,,,,,,,,,,
M0_0.6B_E4,fold_epoch,1,2,AVAILABLE,34,1.8755582313020912e-05,0.946289601839251,,0.9203576085468134,0.05186398385687628,,,,,,,,,,,,
