evaluator,education_level_canonical,n,n_valid,MAE,Signed Bias,Exact Match,Kendall tau
EduBenchEvaluator,Elementary School,207,207,0.4299516908212561,0.2399355877616748,0.714975845410628,0.5093375696158643
EduBenchEvaluator,High School,137,137,0.35523114355231145,0.2968369829683699,0.7883211678832117,0.5382018422127538
EduBenchEvaluator,Master,667,667,0.3803098450774613,0.17441279360319842,0.7271364317841079,0.5697744008480384
EduBenchEvaluator,Middle School,136,136,0.46813725490196084,0.23774509803921576,0.6911764705882353,0.4449047021963543
EduBenchEvaluator,PhD,466,466,0.44134477825464946,0.24391988555078684,0.7575107296137339,0.4632570493883886
EduBenchEvaluator,Undergraduate,605,605,0.5057851239669422,0.34380165289256204,0.6909090909090909,0.48174785039372814
GPT-4o,Elementary School,207,206,0.5242718446601943,0.42394822006472505,0.5679611650485437,0.38192404391511126
GPT-4o,High School,137,131,0.48854961832061067,0.19847328244274814,0.5877862595419847,0.300801260106866
GPT-4o,Master,667,664,0.5727911646586346,0.4422690763052209,0.5587349397590361,0.2210558006783536
GPT-4o,Middle School,136,135,0.691358024691358,0.602469135802469,0.5259259259259259,0.3096501935924984
GPT-4o,PhD,466,457,0.574033552151714,0.49525893508388036,0.6301969365426696,0.2608551365770087
GPT-4o,Undergraduate,605,599,0.6900389538119088,0.5642737896494157,0.5626043405676127,0.298086276065488
DeepSeek-R1,Elementary School,207,207,0.5281803542673108,0.3027375201288246,0.6038647342995169,0.329159747463872
DeepSeek-R1,High School,137,137,0.5669099756690998,-0.03163017031630163,0.5401459854014599,0.3810788551327275
DeepSeek-R1,Master,667,667,0.5537231384307847,0.27486256871564224,0.5697151424287856,0.3247932773549309
DeepSeek-R1,Middle School,136,136,0.6470588235294118,0.48039215686274517,0.5514705882352942,0.34475199511293475
DeepSeek-R1,PhD,466,466,0.5543633762517882,0.2911301859799714,0.6351931330472103,0.31075817554101204
DeepSeek-R1,Undergraduate,605,605,0.690358126721763,0.5074380165289256,0.5735537190082645,0.3021792505124241
DeepSeek-V3,Elementary School,207,207,0.5281803542673108,0.3993558776167473,0.5942028985507246,0.3647249912631016
DeepSeek-V3,High School,137,137,0.39172749391727496,0.2019464720194648,0.656934306569343,0.49161964014431764
DeepSeek-V3,Master,667,667,0.5287356321839081,0.43078460769615196,0.6011994002998501,0.3175404011190726
DeepSeek-V3,Middle School,136,136,0.6715686274509804,0.6127450980392157,0.5808823529411765,0.34883299070826684
DeepSeek-V3,PhD,466,466,0.5679542203147353,0.41344778254649495,0.6416309012875536,0.26253094252469245
DeepSeek-V3,Undergraduate,605,605,0.6881542699724519,0.5735537190082645,0.571900826446281,0.3197414905674984
QwQ-plus,Elementary School,207,204,0.5522875816993464,0.3398692810457517,0.6029411764705882,0.28338388898049327
QwQ-plus,High School,137,136,0.5661764705882353,0.07598039215686281,0.5588235294117647,0.2859953830532877
QwQ-plus,Master,667,657,0.5449010654490106,0.3713850837138508,0.5814307458143074,0.2977784358278514
QwQ-plus,Middle School,136,133,0.6240601503759399,0.5137844611528822,0.6240601503759399,0.3867560879265232
QwQ-plus,PhD,466,465,0.5562724014336917,0.4100358422939068,0.6731182795698925,0.3177639887436301
QwQ-plus,Undergraduate,605,601,0.7054908485856906,0.519134775374376,0.5840266222961731,0.29644060642555237
