evaluator,label_5,n,n_valid,accuracy,mean_human,mean_pred,signed_bias,MAE,overestimation_rate,severe_overestimation_rate,underestimation_rate,severe_underestimation_rate,pred_1_rate,pred_2_rate,pred_3_rate,pred_4_rate,pred_5_rate
EduBenchEvaluator,1,56,56,0.44642857142857145,1.0,2.9285714285714284,1.9285714285714286,1.9285714285714286,0.5535714285714286,0.5,0.0,0.0,0.44642857142857145,0.05357142857142857,0.0,0.125,0.375
EduBenchEvaluator,2,47,47,0.23404255319148937,2.1134751773049643,3.7872340425531914,1.6737588652482274,1.7588652482269507,0.7446808510638298,0.574468085106383,0.02127659574468085,0.0,0.02127659574468085,0.23404255319148937,0.1702127659574468,0.0851063829787234,0.48936170212765956
EduBenchEvaluator,3,194,194,0.211340206185567,3.1254295532646044,4.149484536082475,1.0240549828178698,1.1134020618556701,0.7731958762886598,0.3917525773195876,0.015463917525773196,0.0,0.0,0.015463917525773196,0.211340206185567,0.38144329896907214,0.3917525773195876
EduBenchEvaluator,4,720,720,0.6597222222222222,4.102314814814815,4.302777777777778,0.2004629629629632,0.42453703703703716,0.32222222222222224,0.0,0.018055555555555554,0.001388888888888889,0.0,0.001388888888888889,0.016666666666666666,0.6597222222222222,0.32222222222222224
EduBenchEvaluator,5,1201,1201,0.8776019983347211,4.849292256452956,4.875104079933389,0.025811823480432837,0.21176797113516505,0.0,0.0,0.12239800166527894,0.002497918401332223,0.0,0.0,0.002497918401332223,0.11990008326394672,0.8776019983347211
GPT-4o,1,56,56,0.0,1.0,4.857142857142857,3.857142857142857,3.857142857142857,1.0,1.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.10714285714285714,0.875
GPT-4o,2,47,47,0.0,2.1134751773049643,4.212765957446808,2.0992907801418443,2.0992907801418443,1.0,0.8297872340425532,0.0,0.0,0.0,0.0,0.1702127659574468,0.44680851063829785,0.3829787234042553
GPT-4o,3,194,188,0.05851063829787234,3.125886524822695,4.425531914893617,1.2996453900709222,1.3173758865248228,0.9361702127659575,0.4946808510638298,0.005319148936170213,0.0,0.0,0.005319148936170213,0.05851063829787234,0.44148936170212766,0.4946808510638298
GPT-4o,4,720,711,0.2517580872011252,4.104547585560244,4.720112517580872,0.6155649320206285,0.711204875761838,0.7341772151898734,0.0,0.014064697609001406,0.0,0.0,0.0,0.014064697609001406,0.2517580872011252,0.7341772151898734
GPT-4o,5,1201,1190,0.9,4.849579831932773,4.896638655462185,0.04705882352941162,0.21288515406162453,0.0,0.0,0.1,0.0025210084033613447,0.0,0.0008403361344537816,0.0016806722689075631,0.09747899159663866,0.9
DeepSeek-R1,1,56,56,0.08928571428571429,1.0,4.535714285714286,3.5357142857142856,3.5357142857142856,0.9107142857142857,0.9107142857142857,0.0,0.0,0.08928571428571429,0.0,0.05357142857142857,0.0,0.8571428571428571
DeepSeek-R1,2,47,47,0.10638297872340426,2.1134751773049643,3.978723404255319,1.865248226950355,1.921985815602837,0.8936170212765957,0.6595744680851063,0.0,0.0,0.0,0.10638297872340426,0.23404255319148937,0.23404255319148937,0.425531914893617
DeepSeek-R1,3,194,194,0.18041237113402062,3.1254295532646044,4.041237113402062,0.9158075601374573,1.1563573883161513,0.7422680412371134,0.37628865979381443,0.07731958762886598,0.0,0.0,0.07731958762886598,0.18041237113402062,0.36597938144329895,0.37628865979381443
DeepSeek-R1,4,720,720,0.30416666666666664,4.102314814814815,4.527777777777778,0.42546296296296315,0.6819444444444446,0.6236111111111111,0.0,0.07222222222222222,0.022222222222222223,0.001388888888888889,0.020833333333333332,0.05,0.30416666666666664,0.6236111111111111
DeepSeek-R1,5,1201,1201,0.8601165695253955,4.849292256452956,4.832639467110741,-0.01665278934221496,0.2636691645850679,0.0,0.0,0.1398834304746045,0.019150707743547043,0.002497918401332223,0.0033305578684429643,0.013322231473771857,0.12073272273105745,0.8601165695253955
DeepSeek-V3,1,56,56,0.08928571428571429,1.0,4.589285714285714,3.5892857142857144,3.5892857142857144,0.9107142857142857,0.9107142857142857,0.0,0.0,0.08928571428571429,0.0,0.0,0.05357142857142857,0.8571428571428571
DeepSeek-V3,2,47,47,0.0,2.1134751773049643,4.276595744680851,2.163120567375887,2.163120567375887,1.0,0.9148936170212766,0.0,0.0,0.0,0.0,0.0851063829787234,0.5531914893617021,0.3617021276595745
DeepSeek-V3,3,194,194,0.041237113402061855,3.1254295532646044,4.402061855670103,1.2766323024054986,1.286941580756014,0.9587628865979382,0.44329896907216493,0.0,0.0,0.0,0.0,0.041237113402061855,0.5154639175257731,0.44329896907216493
DeepSeek-V3,4,720,720,0.31527777777777777,4.102314814814815,4.665277777777778,0.5629629629629632,0.6620370370370373,0.675,0.0,0.009722222222222222,0.0,0.0,0.0,0.009722222222222222,0.31527777777777777,0.675
DeepSeek-V3,5,1201,1201,0.9142381348875936,4.849292256452956,4.903413821815154,0.05412156536219804,0.21565362198168184,0.0,0.0,0.08576186511240633,0.005828476269775187,0.0016652789342214821,0.0016652789342214821,0.002497918401332223,0.07993338884263114,0.9142381348875936
QwQ-plus,1,56,55,0.0,1.0,4.963636363636364,3.963636363636364,3.963636363636364,1.0,1.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.9818181818181818
QwQ-plus,2,47,46,0.15217391304347827,2.115942028985507,4.0,1.8840579710144931,2.0000000000000004,0.8260869565217391,0.6956521739130435,0.021739130434782608,0.0,0.021739130434782608,0.15217391304347827,0.13043478260869565,0.1956521739130435,0.5
QwQ-plus,3,194,190,0.1631578947368421,3.126315789473684,4.157894736842105,1.0315789473684214,1.2280701754385968,0.7789473684210526,0.4473684210526316,0.05789473684210526,0.010526315789473684,0.010526315789473684,0.04736842105263158,0.1631578947368421,0.33157894736842103,0.4473684210526316
QwQ-plus,4,720,707,0.2828854314002829,4.107496463932107,4.602545968882603,0.4950495049504954,0.6949552098066951,0.6647807637906648,0.0,0.05233380480905234,0.009900990099009901,0.0,0.009900990099009901,0.042432814710042434,0.2828854314002829,0.6647807637906648
QwQ-plus,5,1201,1198,0.9098497495826378,4.849749582637729,4.886477462437395,0.03672787979966598,0.23260990539788523,0.0,0.0,0.09015025041736227,0.018363939899833055,0.0,0.005008347245409015,0.01335559265442404,0.07178631051752922,0.9098497495826378
