evaluator,subject_canonical,n,n_valid,MAE,Signed Bias,Exact Match,Kendall tau
EduBenchEvaluator,Applied Economics,77,77,0.6753246753246753,0.5281385281385282,0.6753246753246753,0.21478876191343396
EduBenchEvaluator,Aquaculture,115,115,0.4028985507246377,0.1768115942028986,0.7217391304347827,0.4306257860602094
EduBenchEvaluator,Automation,35,35,0.33333333333333326,0.08571428571428572,0.7714285714285715,0.7501347282514563
EduBenchEvaluator,Basic Medicine,111,111,0.35735735735735735,0.20120120120120133,0.7387387387387387,0.5639842395100984
EduBenchEvaluator,Biology,110,110,0.4454545454545455,0.2515151515151516,0.7363636363636363,0.4650469230012084
EduBenchEvaluator,Business Administration,104,104,0.5576923076923076,0.34615384615384615,0.6634615384615384,0.5894132461936975
EduBenchEvaluator,Chemistry,104,104,0.3621794871794872,0.2211538461538462,0.75,0.523446947460563
EduBenchEvaluator,Chinese,52,52,0.3397435897435898,0.262820512820513,0.8076923076923077,0.6365713878007476
EduBenchEvaluator,Clinical Medicine,52,52,0.6346153846153848,0.46794871794871795,0.5576923076923077,0.6396199600733389
EduBenchEvaluator,Computer Science,102,102,0.3627450980392157,0.15359477124183005,0.7254901960784313,0.5981959951167095
EduBenchEvaluator,Crop Science,94,94,0.5283687943262412,0.3865248226950354,0.7659574468085106,0.3351413323427081
EduBenchEvaluator,English,64,64,0.2916666666666667,0.11458333333333341,0.78125,0.7345290507159419
EduBenchEvaluator,General Pedagogy,74,74,0.3693693693693694,0.30630630630630645,0.7027027027027027,0.5890923974082871
EduBenchEvaluator,Geography,77,77,0.41991341991341996,0.09956709956709961,0.6883116883116883,0.41530175751129517
EduBenchEvaluator,History,151,151,0.43929359823399555,0.24944812362030908,0.7880794701986755,0.4539779753805543
EduBenchEvaluator,Law,75,75,0.4666666666666668,0.25333333333333335,0.5866666666666667,0.42726368772560247
EduBenchEvaluator,Literature and Art,105,105,0.3492063492063492,0.04444444444444451,0.7619047619047619,0.5733596197732266
EduBenchEvaluator,Mathematics,111,111,0.6276276276276277,0.5915915915915916,0.6666666666666666,0.3524740964609073
EduBenchEvaluator,Military Science,56,56,0.5000000000000001,0.17857142857142863,0.6607142857142857,0.48372908788857255
EduBenchEvaluator,Physical Education,66,66,0.48484848484848475,0.35353535353535354,0.6818181818181818,0.3653675768944505
EduBenchEvaluator,Physics,146,146,0.3767123287671233,0.16666666666666669,0.726027397260274,0.5658040978095465
EduBenchEvaluator,Psychology,123,123,0.5149051490514905,0.3197831978319784,0.7398373983739838,0.46214811728083577
EduBenchEvaluator,Public Administration,130,130,0.3025641025641026,0.11282051282051288,0.8,0.5614539918265765
EduBenchEvaluator,Sociology,32,32,0.375,0.3541666666666667,0.65625,0.3104142599019178
EduBenchEvaluator,Theoretical Economics,52,52,0.37179487179487175,0.19230769230769232,0.7884615384615384,0.5299768044248299
GPT-4o,Applied Economics,77,77,0.6623376623376623,0.5670995670995672,0.5844155844155844,0.2618053793778976
GPT-4o,Aquaculture,115,110,0.493939393939394,0.4030303030303031,0.5636363636363636,0.3018471260972088
GPT-4o,Automation,35,34,0.6764705882352942,0.6176470588235294,0.5882352941176471,0.34764564085887545
GPT-4o,Basic Medicine,111,107,0.4984423676012461,0.3489096573208723,0.5700934579439252,0.28047568408550255
GPT-4o,Biology,110,109,0.5596330275229359,0.5351681957186545,0.5321100917431193,0.40632388729332375
GPT-4o,Business Administration,104,103,1.0226537216828475,0.9708737864077669,0.47572815533980584,0.3007242189883205
GPT-4o,Chemistry,104,103,0.4789644012944984,0.27831715210355995,0.6213592233009708,0.24200680081989387
GPT-4o,Chinese,52,51,0.6666666666666669,0.40522875816993487,0.49019607843137253,0.18293572684658732
GPT-4o,Clinical Medicine,52,52,0.8461538461538461,0.8333333333333334,0.5961538461538461,0.24618849551354144
GPT-4o,Computer Science,102,100,0.7199999999999999,0.6133333333333333,0.63,0.2869677056559049
GPT-4o,Crop Science,94,94,0.5177304964539008,0.39716312056737585,0.6702127659574468,0.3495969762658176
GPT-4o,English,64,61,0.546448087431694,0.4699453551912569,0.5245901639344263,0.2898474626218822
GPT-4o,General Pedagogy,74,74,0.5270270270270271,0.45495495495495514,0.5540540540540541,0.24752734702810267
GPT-4o,Geography,77,77,0.6623376623376624,0.4891774891774893,0.5844155844155844,0.22086553517946608
GPT-4o,History,151,150,0.6911111111111112,0.548888888888889,0.5333333333333333,0.2448583708517683
GPT-4o,Law,75,74,0.6621621621621622,0.5540540540540541,0.5405405405405406,0.3148842706201202
GPT-4o,Literature and Art,105,104,0.560897435897436,0.4262820512820514,0.5,0.15908129250364994
GPT-4o,Mathematics,111,111,0.5765765765765766,0.4024024024024025,0.6216216216216216,0.4123763219694981
GPT-4o,Military Science,56,56,0.8095238095238095,0.7857142857142857,0.44642857142857145,0.31531468046426164
