split,label_5,n,accuracy,MAE,signed_bias,mean_pred_label,mean_pred_expected,overestimation_rate,underestimation_rate
dev,1,6,0.0,2.9444444444444446,2.9444444444444446,4.0,4.130975047747294,1.0,0.0
dev,2,14,0.0,1.976190476190476,1.976190476190476,4.071428571428571,3.9729005779538835,1.0,0.0
dev,3,62,0.14516129032258066,0.7849462365591396,0.6989247311827954,3.870967741935484,3.806665051367975,0.8548387096774194,0.0
dev,4,237,0.8945147679324894,0.3023909985935302,-0.15049226441631486,3.970464135021097,3.977054780042624,0.0379746835443038,0.06751054852320675
dev,5,345,0.2956521739130435,0.6425120772946861,-0.5632850241545895,4.2898550724637685,4.2965456610140595,0.0,0.7043478260869566
test,1,56,0.0,3.107142857142857,3.107142857142857,4.107142857142857,4.308570883103779,1.0,0.0
test,2,47,0.0,1.8865248226950355,1.8865248226950355,4.0,3.998059394511771,1.0,0.0
test,3,194,0.18041237113402062,0.804123711340206,0.7457044673539517,3.8711340206185567,3.8490317187358425,0.8195876288659794,0.0
test,4,720,0.8777777777777778,0.3263888888888888,-0.1550925925925924,3.9472222222222224,3.9651083956162134,0.034722222222222224,0.0875
test,5,1201,0.3347210657785179,0.5936719400499585,-0.5203996669442132,4.328892589508743,4.351949911927502,0.0,0.6652789342214821
