split,metric_canonical,n,Accuracy,Exact Match,MAE_label,MAE_expected,RMSE_label,Signed Bias label,Signed Bias expected,Macro-F1,Weighted-F1,Quadratic Weighted Kappa,Kendall tau,Spearman rho,Within-1 Accuracy,Acc@1,Acc@2,Acc@5,low_n,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,low_severe_overestimation_rate,mean_pred_low,high_n,high_to_mid_or_low_rate,high_signed_bias,MAE_score,severe_error_rate,pred_label_1_rate,pred_label_2_rate,pred_label_3_rate,pred_label_4_rate,pred_label_5_rate,monotonic_violation_rate
dev,Basic Factual Accuracy,83,0.6265060240963856,0.6265060240963856,0.4497991967871485,0.5226787087548689,0.7225568167373791,-0.09638554216867475,-0.27709934456520774,0.2174825174825175,0.673982643862162,0.2492764109985529,0.29370841523426355,0.3116595431293157,0.963855421686747,0.0,0.0,0.6521739130434783,3,0.0,2.555555555555556,2.555555555555556,1.0,1.0,4.333333333333333,69,0.0,-0.246376811594203,0.5226787087548689,0.03614457831325301,0.0,0.0,0.0,0.42168674698795183,0.5783132530120482,0.012048192771084338
dev,"Clarity, Simplicity & Inspiration",47,0.5106382978723404,0.5106382978723404,0.5035460992907801,0.40534697832367944,0.6130958528832952,-0.2624113475177305,-0.11730368224018856,0.16612589227774172,0.3953774145001174,0.07424242424242422,0.163145142716378,0.18180638281945974,0.9787234042553191,nan,0.0,0.1,1,0.0,1.6666666666666665,1.6666666666666665,1.0,1.0,4.0,20,0.0,-0.666666666666667,0.40534697832367944,0.02127659574468085,0.0,0.0,0.0,0.9361702127659575,0.06382978723404255,0.0
dev,Content Relevance & Scope Control,76,0.5131578947368421,0.5131578947368421,0.5219298245614035,0.4694532557276258,0.6363731297233708,-0.31140350877192985,-0.3378991278117163,0.20859516070783676,0.5205280264583452,0.24163969795037754,0.2357645272452772,0.25626305696765295,1.0,nan,nan,0.4074074074074074,0,nan,nan,nan,nan,nan,nan,54,0.0,-0.45679012345679026,0.4694532557276258,0.0,0.0,0.0,0.0,0.6842105263157895,0.3157894736842105,0.0
dev,Domain Knowledge Accuracy,33,0.5151515151515151,0.5151515151515151,0.5555555555555555,0.413147140030909,0.693888666488711,-0.2727272727272727,-0.15632798996838654,0.1754385964912281,0.41892610313662954,-0.06451612903225801,-0.004498484266160435,-0.005009984372334577,0.9696969696969697,nan,nan,0.13333333333333333,0,nan,nan,nan,nan,nan,nan,15,0.0,-0.688888888888889,0.413147140030909,0.030303030303030304,0.0,0.0,0.0,0.8787878787878788,0.12121212121212122,0.0
dev,Error Identification & Correction Precision,34,0.5882352941176471,0.5882352941176471,0.5588235294117647,0.6801101603344374,0.9020673423841916,0.12745098039215683,-0.10373999908858658,0.2433684210526316,0.5756037151702786,0.3141210374639769,0.4614205007416477,0.5115432731160388,0.9117647058823529,0.0,0.0,0.6363636363636364,2,0.0,2.6666666666666665,2.6666666666666665,1.0,1.0,4.0,22,0.0,-0.2575757575757577,0.6801101603344374,0.08823529411764706,0.0,0.0,0.0,0.5294117647058824,0.47058823529411764,0.0
dev,Higher-Order Thinking & Skill Development,45,0.4222222222222222,0.4222222222222222,0.6148148148148148,0.5968304348212701,0.7420359047584,0.08148148148148147,0.18929828394342355,0.11875,0.25069444444444444,0.0,nan,nan,0.9555555555555556,nan,0.0,0.0,2,0.0,1.8333333333333333,1.8333333333333333,1.0,1.0,4.0,12,0.0,-0.777777777777778,0.5968304348212701,0.044444444444444446,0.0,0.0,0.0,1.0,0.0,0.0
dev,Instruction Following & Task Completion,124,0.5887096774193549,0.5887096774193549,0.5618279569892473,0.49000206080976355,0.7811626295230979,-0.0349462365591398,-0.09828400856224441,0.24732600732600735,0.5496750561266691,0.18723010487353475,0.20495101030680743,0.2297492667737137,0.9354838709677419,0.0,0.0,0.484375,4,0.0,2.4166666666666665,2.4166666666666665,1.0,1.0,4.25,64,0.0,-0.3541666666666668,0.49000206080976355,0.06451612903225806,0.0,0.0,0.0,0.6693548387096774,0.33064516129032256,0.0
dev,"Motivation, Guidance & Positive Feedback",44,0.5,0.5,0.553030303030303,0.5488383490027803,0.6908492797077574,-0.007575757575757569,0.0532557892076897,0.17903225806451611,0.37280058651026393,0.12,0.2973808570665904,0.33974110468541024,0.9545454545454546,nan,0.0,0.14285714285714285,2,0.0,1.8333333333333333,1.8333333333333333,1.0,1.0,4.0,14,0.0,-0.6428571428571431,0.5488383490027803,0.045454545454545456,0.0,0.0,0.0,0.9545454545454546,0.045454545454545456,0.0
dev,"Personalization, Adaptation & Learning Support",41,0.5121951219512195,0.5121951219512195,0.5691056910569106,0.488923227883936,0.6866911354074366,-0.1300813008130081,-0.039417011466452725,0.17543859649122806,0.3910997004706889,0.022797927461139955,0.04250991460112128,0.04823020990905467,0.975609756097561,nan,nan,0.125,0,nan,nan,nan,nan,nan,nan,16,0.0,-0.7083333333333335,0.488923227883936,0.024390243902439025,0.0,0.0,0.0,0.926829268292683,0.07317073170731707,0.0
dev,Reasoning Process Rigor,48,0.5416666666666666,0.5416666666666666,0.6875,0.693537152475781,1.1354963019983164,0.29861111111111116,0.14185472991731435,0.2430434782608696,0.4845561594202899,0.14672686230248322,0.26542163936728996,0.30009675731608526,0.9166666666666666,0.0,0.0,0.6190476190476191,4,0.0,3.1666666666666665,3.1666666666666665,1.0,1.0,4.5,21,0.0,-0.3174603174603175,0.693537152475781,0.08333333333333333,0.0,0.0,0.0,0.6041666666666666,0.3958333333333333,0.0
