check,path,status,observed,expected,notes
script line count,run_exp04_train_objectives.sh,PASS,5,>3,
script line count LF line endings,run_exp04_train_objectives.sh,PASS,LF,LF,
script line count byte line endings,run_exp04_train_objectives.sh,PASS,LF bytes; lines=5 bytes=173,LF only; not collapsed,
shell shebang,run_exp04_train_objectives.sh,PASS,#!/usr/bin/env bash,#!/usr/bin/env bash,
shell pipefail,run_exp04_train_objectives.sh,PASS,True,set -euo pipefail,
bash -n,run_exp04_train_objectives.sh,PASS,ok,ok,
script line count,thesis_exp/scripts/run_exp04_train_objectives.sh,PASS,255,>100,
script line count LF line endings,thesis_exp/scripts/run_exp04_train_objectives.sh,PASS,LF,LF,
script line count byte line endings,thesis_exp/scripts/run_exp04_train_objectives.sh,PASS,LF bytes; lines=255 bytes=8938,LF only; not collapsed,
shell shebang,thesis_exp/scripts/run_exp04_train_objectives.sh,PASS,#!/usr/bin/env bash,#!/usr/bin/env bash,
shell pipefail,thesis_exp/scripts/run_exp04_train_objectives.sh,PASS,True,set -euo pipefail,
bash -n,thesis_exp/scripts/run_exp04_train_objectives.sh,PASS,ok,ok,
python module line count,thesis_exp/src/edujudge/exp04/__init__.py,PASS,71,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp04/__init__.py,PASS,LF,LF,
python module line count byte line endings,thesis_exp/src/edujudge/exp04/__init__.py,PASS,LF bytes; lines=71 bytes=2132,LF only; not collapsed,
future import placement,thesis_exp/src/edujudge/exp04/__init__.py,PASS,ok,docstring then future import,
python module line count,thesis_exp/src/edujudge/exp04/build_exp04_dataset.py,PASS,131,>50,
python module line count LF line endings,thesis_exp/src/edujudge/exp04/build_exp04_dataset.py,PASS,LF,LF,
python module line count byte line endings,thesis_exp/src/edujudge/exp04/build_exp04_dataset.py,PASS,LF bytes; lines=131 bytes=4221,LF only; not collapsed,
future import placement,thesis_exp/src/edujudge/exp04/build_exp04_dataset.py,PASS,ok,docstring then future import,
python module line count,thesis_exp/src/edujudge/exp04/collect_exp04_results.py,PASS,183,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp04/collect_exp04_results.py,PASS,LF,LF,
python module line count byte line endings,thesis_exp/src/edujudge/exp04/collect_exp04_results.py,PASS,LF bytes; lines=183 bytes=7172,LF only; not collapsed,
future import placement,thesis_exp/src/edujudge/exp04/collect_exp04_results.py,PASS,ok,docstring then future import,
python module line count,thesis_exp/src/edujudge/exp04/postprocess_exp04_results.py,PASS,34,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp04/postprocess_exp04_results.py,PASS,LF,LF,
python module line count byte line endings,thesis_exp/src/edujudge/exp04/postprocess_exp04_results.py,PASS,LF bytes; lines=34 bytes=1179,LF only; not collapsed,
future import placement,thesis_exp/src/edujudge/exp04/postprocess_exp04_results.py,PASS,ok,docstring then future import,
python module line count,thesis_exp/src/edujudge/exp04/readability_check_exp04.py,PASS,228,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp04/readability_check_exp04.py,PASS,LF,LF,
python module line count byte line endings,thesis_exp/src/edujudge/exp04/readability_check_exp04.py,PASS,LF bytes; lines=228 bytes=9201,LF only; not collapsed,
future import placement,thesis_exp/src/edujudge/exp04/readability_check_exp04.py,PASS,ok,docstring then future import,
python module line count,thesis_exp/src/edujudge/exp04/sanity_check_exp04_outputs.py,PASS,148,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp04/sanity_check_exp04_outputs.py,PASS,LF,LF,
python module line count byte line endings,thesis_exp/src/edujudge/exp04/sanity_check_exp04_outputs.py,PASS,LF bytes; lines=148 bytes=5883,LF only; not collapsed,
future import placement,thesis_exp/src/edujudge/exp04/sanity_check_exp04_outputs.py,PASS,ok,docstring then future import,
python module line count,thesis_exp/src/edujudge/exp04/sanity_check_exp04_setup.py,PASS,181,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp04/sanity_check_exp04_setup.py,PASS,LF,LF,
python module line count byte line endings,thesis_exp/src/edujudge/exp04/sanity_check_exp04_setup.py,PASS,LF bytes; lines=181 bytes=7580,LF only; not collapsed,
future import placement,thesis_exp/src/edujudge/exp04/sanity_check_exp04_setup.py,PASS,ok,docstring then future import,
python module line count,thesis_exp/src/edujudge/exp04/train_objective.py,PASS,1037,>100,
python module line count LF line endings,thesis_exp/src/edujudge/exp04/train_objective.py,PASS,LF,LF,
python module line count byte line endings,thesis_exp/src/edujudge/exp04/train_objective.py,PASS,LF bytes; lines=1037 bytes=44731,LF only; not collapsed,
future import placement,thesis_exp/src/edujudge/exp04/train_objective.py,PASS,ok,docstring then future import,
python module line count,thesis_exp/src/edujudge/exp04/write_exp04_report.py,PASS,241,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp04/write_exp04_report.py,PASS,LF,LF,
python module line count byte line endings,thesis_exp/src/edujudge/exp04/write_exp04_report.py,PASS,LF bytes; lines=241 bytes=9081,LF only; not collapsed,
future import placement,thesis_exp/src/edujudge/exp04/write_exp04_report.py,PASS,ok,docstring then future import,
py_compile exp04 modules,thesis_exp/src/edujudge/exp04,PASS,ok,ok,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/metrics.csv,PASS,rows=2 cols=36,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/tables/high_score_metrics.csv,PASS,rows=2 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/tables/low_score_metrics.csv,PASS,rows=2 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/tables/metric_level_metrics.csv,PASS,rows=24 cols=37,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/tables/metrics_summary.csv,PASS,rows=2 cols=36,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/tables/per_bin_metrics.csv,PASS,rows=10 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/tables/scenario_level_metrics.csv,PASS,rows=17 cols=37,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O1_classification/tables/score_distribution.csv,PASS,rows=10 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/logs/training_log.csv,PASS,rows=10 cols=39,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/metrics.csv,PASS,rows=2 cols=40,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/tables/dev_metrics_history.csv,PASS,rows=10 cols=39,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/tables/high_score_metrics.csv,PASS,rows=2 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/tables/low_score_metrics.csv,PASS,rows=2 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/tables/metric_level_metrics.csv,PASS,rows=24 cols=37,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/tables/metrics_summary.csv,PASS,rows=2 cols=40,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/tables/per_bin_metrics.csv,PASS,rows=10 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/tables/scenario_level_metrics.csv,PASS,rows=17 cols=37,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O2_regression_smoothl1/tables/score_distribution.csv,PASS,rows=10 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/logs/training_log.csv,PASS,rows=10 cols=39,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/metrics.csv,PASS,rows=2 cols=40,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/tables/dev_metrics_history.csv,PASS,rows=10 cols=39,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/tables/high_score_metrics.csv,PASS,rows=2 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp04_target_objectives/runs/O3_ordinal/tables/low_score_metrics.csv,PASS,rows=2 cols=10,readable,
