objective_id,objective_type,objective_label,status,split,label_5,true_count,pred_count,pred_rate
O1_classification,classification,classification,reused_exp03_a4,dev,1,6,3,0.004518072289156626
O1_classification,classification,classification,reused_exp03_a4,dev,2,14,4,0.006024096385542169
O1_classification,classification,classification,reused_exp03_a4,dev,3,62,42,0.06325301204819277
O1_classification,classification,classification,reused_exp03_a4,dev,4,237,260,0.39156626506024095
O1_classification,classification,classification,reused_exp03_a4,dev,5,345,355,0.5346385542168675
O1_classification,classification,classification,reused_exp03_a4,test,1,56,20,0.009017132551848512
O1_classification,classification,classification,reused_exp03_a4,test,2,47,29,0.013074842200180343
O1_classification,classification,classification,reused_exp03_a4,test,3,194,160,0.0721370604147881
O1_classification,classification,classification,reused_exp03_a4,test,4,720,775,0.34941388638412985
O1_classification,classification,classification,reused_exp03_a4,test,5,1201,1234,0.5563570784490532
O2_regression_smoothl1,regression,regression_smoothl1,completed,dev,1,6,0,0.0
O2_regression_smoothl1,regression,regression_smoothl1,completed,dev,2,14,0,0.0
O2_regression_smoothl1,regression,regression_smoothl1,completed,dev,3,62,28,0.04216867469879518
O2_regression_smoothl1,regression,regression_smoothl1,completed,dev,4,237,522,0.786144578313253
O2_regression_smoothl1,regression,regression_smoothl1,completed,dev,5,345,114,0.1716867469879518
O2_regression_smoothl1,regression,regression_smoothl1,completed,test,1,56,0,0.0
O2_regression_smoothl1,regression,regression_smoothl1,completed,test,2,47,0,0.0
O2_regression_smoothl1,regression,regression_smoothl1,completed,test,3,194,108,0.04869251577998197
O2_regression_smoothl1,regression,regression_smoothl1,completed,test,4,720,1664,0.7502254283137962
O2_regression_smoothl1,regression,regression_smoothl1,completed,test,5,1201,446,0.20108205590622183
O3_ordinal,ordinal,ordinal,completed,dev,1,6,0,0.0
O3_ordinal,ordinal,ordinal,completed,dev,2,14,0,0.0
O3_ordinal,ordinal,ordinal,completed,dev,3,62,0,0.0
O3_ordinal,ordinal,ordinal,completed,dev,4,237,499,0.7515060240963856
O3_ordinal,ordinal,ordinal,completed,dev,5,345,165,0.24849397590361447
O3_ordinal,ordinal,ordinal,completed,test,1,56,0,0.0
O3_ordinal,ordinal,ordinal,completed,test,2,47,0,0.0
O3_ordinal,ordinal,ordinal,completed,test,3,194,0,0.0
O3_ordinal,ordinal,ordinal,completed,test,4,720,1525,0.6875563570784491
O3_ordinal,ordinal,ordinal,completed,test,5,1201,693,0.31244364292155097
