check_name,path,status,details
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/curated/curated_mini_batch_rejected_or_relabel_upward.csv,PASS,bytes=448
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/curated/curated_mini_batch_rejected_or_relabel_upward.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/curated/curated_mini_batch_rejected_or_relabel_upward.csv,PASS,rows=2
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/curated/curated_mini_batch_revision_log.csv,PASS,bytes=833
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/curated/curated_mini_batch_revision_log.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/curated/curated_mini_batch_revision_log.csv,PASS,rows=4
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/curated/curated_mini_batch_synthetic_candidates.jsonl,PASS,bytes=98958
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/curated/curated_mini_batch_synthetic_candidates.jsonl,PASS,LF/no CR newline
jsonl_loadable,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/curated/curated_mini_batch_synthetic_candidates.jsonl,PASS,records=16
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/filtered/filtered_synthetic_candidates.jsonl,PASS,bytes=0
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/filtered/filtered_synthetic_candidates.jsonl,PASS,LF/no CR newline
jsonl_loadable,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/filtered/filtered_synthetic_candidates.jsonl,PASS,records=0
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/generated/normalized_synthetic_candidates.jsonl,PASS,bytes=0
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/generated/normalized_synthetic_candidates.jsonl,PASS,LF/no CR newline
jsonl_loadable,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/generated/normalized_synthetic_candidates.jsonl,PASS,records=0
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/leakage/leakage_details.csv,PASS,bytes=368
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/leakage/leakage_details.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/leakage/leakage_details.csv,PASS,rows=1
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/leakage/leakage_report.md,PASS,bytes=597
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/leakage/leakage_report.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/leakage/leakage_summary.csv,PASS,bytes=284
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/leakage/leakage_summary.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/leakage/leakage_summary.csv,PASS,rows=5
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/prompt_templates/generate_low_score_answer_hardened.md,PASS,bytes=1956
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/prompt_templates/generate_low_score_answer_hardened.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/prompt_templates/generate_low_score_answer_hardened_en.md,PASS,bytes=1953
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/prompt_templates/generate_low_score_answer_hardened_en.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/prompt_templates/generate_low_score_answer_hardened_zh.md,PASS,bytes=1744
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/prompt_templates/generate_low_score_answer_hardened_zh.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/prompts/batch96_prompts.jsonl,PASS,bytes=441658
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/prompts/batch96_prompts.jsonl,PASS,LF/no CR newline
jsonl_loadable,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/prompts/batch96_prompts.jsonl,PASS,records=96
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/BLOCKED_NO_GENERATION.md,PASS,bytes=1347
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/BLOCKED_NO_GENERATION.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/batch96_generation_plan_report.md,PASS,bytes=4031
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/batch96_generation_plan_report.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/batch96_generation_report.md,PASS,bytes=609
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/batch96_generation_report.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/batch96_review_package.md,PASS,bytes=609
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/batch96_review_package.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/notion_exp06_batch96_generation_summary.md,PASS,bytes=576
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/notion_exp06_batch96_generation_summary.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/notion_exp06_batch96_plan.md,PASS,bytes=697
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/notion_exp06_batch96_plan.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/readability_check_batch96_generation.md,PASS,bytes=115
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/readability_check_batch96_generation.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/sanity_check_batch96_generation.md,PASS,bytes=1134
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/sanity_check_batch96_generation.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/sanity_check_batch96_generation_after_generation.md,PASS,bytes=631
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/reports/sanity_check_batch96_generation_after_generation.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/spotcheck/spotcheck_form_template.csv,PASS,bytes=1
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/spotcheck/spotcheck_form_template.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/spotcheck/spotcheck_form_template.csv,PASS,rows=1
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/spotcheck/spotcheck_guidelines.md,PASS,bytes=737
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/spotcheck/spotcheck_guidelines.md,PASS,LF/no CR newline
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/spotcheck/spotcheck_samples.csv,PASS,bytes=563
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/spotcheck/spotcheck_samples.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/spotcheck/spotcheck_samples.csv,PASS,rows=1
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/tables/batch96_source_selection.csv,PASS,bytes=331196
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/batch96_generation/tables/batch96_source_selection.csv,PASS,LF/no CR newline
