check_name,path,status,details
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/filtered/filtered_synthetic_candidates.jsonl,PASS,bytes=107565
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/filtered/filtered_synthetic_candidates.jsonl,PASS,LF/no CR newline
jsonl_loadable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/filtered/filtered_synthetic_candidates.jsonl,PASS,records=17
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/generated/normalized_synthetic_candidates.jsonl,PASS,bytes=138876
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/generated/normalized_synthetic_candidates.jsonl,PASS,LF/no CR newline
jsonl_loadable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/generated/normalized_synthetic_candidates.jsonl,PASS,records=24
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/generated/raw_generations.jsonl,PASS,bytes=121839
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/generated/raw_generations.jsonl,PASS,LF/no CR newline
jsonl_loadable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/generated/raw_generations.jsonl,PASS,records=24
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/leakage/leakage_details.csv,PASS,bytes=3621
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/leakage/leakage_details.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/leakage/leakage_details.csv,PASS,rows=18
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/leakage/leakage_report.md,PASS,bytes=846
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/leakage/leakage_report.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/leakage/leakage_report.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/leakage/leakage_summary.csv,PASS,bytes=209
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/leakage/leakage_summary.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/leakage/leakage_summary.csv,PASS,rows=4
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/prompts/mini_batch_prompts.jsonl,PASS,bytes=0
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/prompts/mini_batch_prompts.jsonl,PASS,LF/no CR newline
jsonl_loadable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/prompts/mini_batch_prompts.jsonl,PASS,records=0
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/reports/BLOCKED_NO_TRAIN_ONLY_SOURCE.md,PASS,bytes=662
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/reports/BLOCKED_NO_TRAIN_ONLY_SOURCE.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/reports/BLOCKED_NO_TRAIN_ONLY_SOURCE.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/reports/mini_batch_generation_report.md,PASS,bytes=4093
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/reports/mini_batch_generation_report.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/reports/mini_batch_generation_report.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/reports/mini_batch_review_package.md,PASS,bytes=810
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/reports/mini_batch_review_package.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/reports/mini_batch_review_package.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/tables/mini_batch_source_selection.csv,PASS,bytes=8929
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/tables/mini_batch_source_selection.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/tables/mini_batch_source_selection.csv,PASS,rows=25
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/tables/mini_batch_target_matrix.csv,PASS,bytes=3952
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/tables/mini_batch_target_matrix.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_strict/tables/mini_batch_target_matrix.csv,PASS,rows=25
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/prompts/mini_batch_prompts.jsonl,PASS,bytes=95770
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/prompts/mini_batch_prompts.jsonl,PASS,LF/no CR newline
jsonl_loadable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/prompts/mini_batch_prompts.jsonl,PASS,records=24
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/reports/mini_batch_generation_report.md,PASS,bytes=5701
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/reports/mini_batch_generation_report.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/reports/mini_batch_generation_report.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/reports/mini_batch_review_package.md,PASS,bytes=813
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/reports/mini_batch_review_package.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/reports/mini_batch_review_package.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/tables/mini_batch_source_selection.csv,PASS,bytes=90485
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/tables/mini_batch_source_selection.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/tables/mini_batch_source_selection.csv,PASS,rows=25
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/tables/mini_batch_target_matrix.csv,PASS,bytes=3952
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/tables/mini_batch_target_matrix.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/paper_like_triple_pilot/tables/mini_batch_target_matrix.csv,PASS,rows=25
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/prompts/mini_batch_prompts.jsonl,PASS,bytes=91833
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/prompts/mini_batch_prompts.jsonl,PASS,LF/no CR newline
jsonl_loadable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/prompts/mini_batch_prompts.jsonl,PASS,records=24
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/prompts/mini_batch_prompts.jsonl,PASS,bytes=91833
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/prompts/mini_batch_prompts.jsonl,PASS,LF/no CR newline
jsonl_loadable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/prompts/mini_batch_prompts.jsonl,PASS,records=24
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/reports/mini_batch_generation_report.md,PASS,bytes=5691
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/reports/mini_batch_generation_report.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/reports/mini_batch_generation_report.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/reports/mini_batch_review_package.md,PASS,bytes=840
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/reports/mini_batch_review_package.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/reports/mini_batch_review_package.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/tables/mini_batch_source_selection.csv,PASS,bytes=87269
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/tables/mini_batch_source_selection.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/tables/mini_batch_source_selection.csv,PASS,rows=25
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/tables/mini_batch_target_matrix.csv,PASS,bytes=3952
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/tables/mini_batch_target_matrix.csv,PASS,LF/no CR newline
csv_readable,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/question_disjoint_formal/tables/mini_batch_target_matrix.csv,PASS,rows=25
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/BLOCKED_NO_GENERATION.md,PASS,bytes=414
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/BLOCKED_NO_GENERATION.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/BLOCKED_NO_GENERATION.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/BLOCKED_NO_TRAIN_ONLY_SOURCE.md,PASS,bytes=620
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/BLOCKED_NO_TRAIN_ONLY_SOURCE.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/BLOCKED_NO_TRAIN_ONLY_SOURCE.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/DRY_RUN_NO_GENERATION.md,PASS,bytes=414
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/DRY_RUN_NO_GENERATION.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/DRY_RUN_NO_GENERATION.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/GENERATION_RUN_SUMMARY.md,PASS,bytes=258
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/GENERATION_RUN_SUMMARY.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/GENERATION_RUN_SUMMARY.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/mini_batch_generation_report.md,PASS,bytes=5944
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/mini_batch_generation_report.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/mini_batch_generation_report.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/mini_batch_review_package.md,PASS,bytes=1289
lf_endings,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/mini_batch_review_package.md,PASS,LF/no CR newline
markdown_line_length,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/mini_batch_review_package.md,PASS,all lines <= 300
file_size_under_10mb,thesis_exp/outputs/exp06_synthetic_low_score/mini_batch_generation/reports/notion_exp06_mini_batch_summary.md,PASS,bytes=655
