source_file,error_type,target_label_5,count,pct
deepseek-r1_merged.jsonl,missing,missing,990,0.0093
deepseek_output/deepseek_generated_20251124_204411.jsonl,missing,missing,164,0.001541
deepseek_output/en_judge_20251109_221657.jsonl,missing,missing,173,0.001625
deepseek_output/judge-1-process.jsonl,missing,missing,189,0.001775
deepseek_output/judge-2-process.jsonl,missing,missing,186,0.001747
deepseek_output/processed_excel_data_1.jsonl,missing,2,8,7.5e-05
deepseek_output/processed_excel_data_1.jsonl,missing,3,42,0.000395
deepseek_output/processed_excel_data_1.jsonl,missing,4,77,0.000723
deepseek_output/processed_excel_data_1.jsonl,missing,5,532,0.004997
deepseek_output/processed_excel_data_1_en.jsonl,missing,2,5,4.7e-05
deepseek_output/processed_excel_data_1_en.jsonl,missing,3,13,0.000122
deepseek_output/processed_excel_data_1_en.jsonl,missing,4,33,0.00031
deepseek_output/processed_excel_data_1_en.jsonl,missing,5,280,0.00263
deepseek_output/processed_excel_data_1_zh.jsonl,missing,2,3,2.8e-05
deepseek_output/processed_excel_data_1_zh.jsonl,missing,3,29,0.000272
deepseek_output/processed_excel_data_1_zh.jsonl,missing,4,44,0.000413
deepseek_output/processed_excel_data_1_zh.jsonl,missing,5,252,0.002367
deepseek_output/processed_excel_data_2.jsonl,missing,2,8,7.5e-05
deepseek_output/processed_excel_data_2.jsonl,missing,3,42,0.000395
deepseek_output/processed_excel_data_2.jsonl,missing,4,77,0.000723
deepseek_output/processed_excel_data_2.jsonl,missing,5,532,0.004997
deepseek_output/processed_excel_data_2_en.jsonl,missing,2,5,4.7e-05
deepseek_output/processed_excel_data_2_en.jsonl,missing,3,13,0.000122
deepseek_output/processed_excel_data_2_en.jsonl,missing,4,33,0.00031
deepseek_output/processed_excel_data_2_en.jsonl,missing,5,280,0.00263
deepseek_output/processed_excel_data_2_zh.jsonl,missing,2,3,2.8e-05
deepseek_output/processed_excel_data_2_zh.jsonl,missing,3,29,0.000272
deepseek_output/processed_excel_data_2_zh.jsonl,missing,4,44,0.000413
deepseek_output/processed_excel_data_2_zh.jsonl,missing,5,252,0.002367
deepseek_output/unique_questions.jsonl,missing,missing,25,0.000235
deepseek_output/zh_judge_20251109_223622.jsonl,missing,missing,234,0.002198
edu-data-synthesis-main/data/criteria/metrics_old.json,missing,missing,3,2.8e-05
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,missing,1,264,0.00248
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,missing,2,371,0.003485
