synthetic_plan_id,synthetic_id,source_record_id,source_split,source_file,source_row_index,source_question_key,source_triple_key,question,rubric_text,target_label_5,planned_target_label_5,language,metric_canonical,error_type,planned_error_type,current_label_5,human_label_5,scenario_canonical,subject_canonical,education_level_canonical,selected,selected_for_generation,allowed_for_training,selection_status,question_overlap_with_dev,question_overlap_with_test,triple_overlap_with_dev,triple_overlap_with_test,record_overlap_with_dev,record_overlap_with_test,source_question_in_dev,source_question_in_test,source_triple_in_dev,source_triple_in_test,source_risk_level,batch96_source_question_reuse_count,topup1_source_question_reuse_count,source_reuse_status,question_preview,source_answer_preview,rubric_preview,selection_notes
topup1_001,syn_64a051119661e4f4,5572a79822dc1f11167f3d9b6dc19fb1eac3be4a,train,results_merge.jsonl,1904,5ffceb52c2088afbfedd9d157f13a2b675c5dc95,e2522e4177721c93f870ef914831e0a3d8fc3b9b,"Question: Which of the following principles is most closely associated with the doctrine of 'stare decisis' in common law systems?

Please provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual steps or details that do not affect the conclusion."", ""3: Reasoning is visible but contains unclear logic, missing steps, or insufficient argumentation, affecting the overall outcome."", ""2: Reasoning has major logical flaws, confusion in steps, or critical omissions; reliability is low."", ""1: Virtually no valid reasoning; logic is chaotic; steps are incorrect or irrelevant.""]",3,3,en,Reasoning Process Rigor,reasoning_gap,reasoning_gap,5,5,Idea Provision,Law,Master,True,True,True,exact_metric_language,False,False,False,False,False,False,False,False,False,False,LOW,0,1,new_question_not_used_by_batch96,"Question: Which of the following principles is most closely associated with the doctrine of 'stare decisis' in common law systems?\n\nPlease provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return in JSON format","{\n""reasoning"": ""The principle in question pertains to the doctrine of 'stare decisis', which is fundamental in common law systems. This doctrine emphasizes the importance of consistency and predictability in legal rulings by requiring courts to follow the precedents set by higher courts within the same jurisdiction. It ensures that similar cases are decided in a similar manner, thereby promoting fairness and stability in the legal system.""\n}","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual steps or details that do not affect the conclusion."", ""3: Reasoning is visible but contains unclear logic, missing steps, or insufficient argumentation, affecting the overall outcome."", ""2: Reasoning has major logical flaws, confusion in steps, or critical omissions; reliability is low."", ""1: Virtually no valid reasoning; logic is chaotic; steps are incorrect or irrelevant.""]",question_seed42/train source; batch96 source question reuse minimized and recorded
topup1_002,syn_e6b7a0dd034b4e91,302305f5444e1ac0dc68d37d52566734942ef44b,train,results_merge.jsonl,3026,b06d28e5864bc255da6f173e9c0968968b7c4bae,2a51d956d026061c41fe8c3bf930787c5c6253f7,"学生画像：学生的画像：{'姓名': '陈伟', '年龄': 25, '性别': '男', '学习背景': '本科毕业于军事战略学专业', '兴趣': ['战术分析', '无人机技术', '国际军事合作'], '目标': '成为一名优秀的军事顾问', '学习方式': '喜欢自主学习和小组讨论，适应能力强', '优势': ['逻辑思维能力强', '能够快速理解复杂概念'], '弱点': ['对历史背景了解不足', '实践经验缺乏']}
请根据学生画像，为每位学生生成 ‘个性化的学习内容或任务’:,以json格式返回","[""5分： 充分融合所有关键场景要素（如学生历史、学习偏好等），输出高度个性化，并与教学情境高度匹配。"", ""4分： 有效使用主要场景要素，回答具有针对性；可能遗漏少量细节，但不影响整体效果。"", ""3分： 使用了部分场景信息，但融合较浅；个性化程度或情境契合度一般。"", ""2分： 仅表层提及场景信息，未有效融合核心要素；与上下文连接较弱。"", ""1分： 完全忽视场景特定信息；输出通用、模板化，且与场景不相关。""]",2,2,zh,Scenario Element Integration,scenario_mismatch,scenario_mismatch,5,5,Personalized Learning Support,Military Science,Master,True,True,True,exact_metric_language,False,False,False,False,False,False,False,False,False,False,LOW,0,1,new_question_not_used_by_batch96,"学生画像：学生的画像：{'姓名': '陈伟', '年龄': 25, '性别': '男', '学习背景': '本科毕业于军事战略学专业', '兴趣': ['战术分析', '无人机技术', '国际军事合作'], '目标': '成为一名优秀的军事顾问', '学习方式': '喜欢自主学习和小组讨论，适应能力强', '优势': ['逻辑思维能力强', '能够快速理解复杂概念'], '弱点': ['对历史背景了解不足', '实践经验缺乏']}\n请根据学生画像，为每位学生生成 ‘个性化的学习内容或任务’:,以json格式返回","```json\n{\n  ""个性化学习内容与任务"": {\n    ""历史背景强化"": {\n      ""目标"": ""弥补历史知识不足，提升战略决策深度"",\n      ""任务"": [\n        {\n          ""名称"": ""20世纪经典战役分析"",\n          ""内容"": ""每周深度研究1场战役(如斯大林格勒/中途岛战役)"",\n          ""方式"": ""自主研究+提交3000字分析报告"",\n          ""输出要求"": ""需包含政治背景/战术选择/关键转折点分析""\n        },\n        {\n          ""名称"": ""军事战略演变研究"",\n          ""内容"": ""梳理从克劳塞维茨到现代网络中心战的战略思想演进"",\n          ""方式"": ""制作时间轴图谱+小组研讨会展示""\n        }\n      ]\n    },\n    ""战术能力提升"": {\n      ""目标"": ""强化战术分析与现代技术结合能力"",\n      ""任务"": [\n        {\n          ""名称"": ""无人机战术沙盘推演"",\n          ""内容"": ""使用MATLAB/Python构建无人机突防模型"",\n          ""要求"": ""需考虑电磁干扰/地形规避/集群协同因素"",\n          ""交付物"": ""可运行的仿真模型+推演视频""\n        },\n        {\n          ""名称"": ""多兵种协同模拟"",\n...","[""5分： 充分融合所有关键场景要素（如学生历史、学习偏好等），输出高度个性化，并与教学情境高度匹配。"", ""4分： 有效使用主要场景要素，回答具有针对性；可能遗漏少量细节，但不影响整体效果。"", ""3分： 使用了部分场景信息，但融合较浅；个性化程度或情境契合度一般。"", ""2分： 仅表层提及场景信息，未有效融合核心要素；与上下文连接较弱。"", ""1分： 完全忽视场景特定信息；输出通用、模板化，且与场景不相关。""]",question_seed42/train source; batch96 source question reuse minimized and recorded
topup1_003,syn_ab8e5113eaae2056,34ae1095cbe70ede9cdefcccbf7c5f3eb8d2bfd5,train,results_merge.jsonl,268,5a8663d57769fe35066bd7a0879ffa16b30fef1f,b22abf8cff88ce66cd5bbdbecd2b280533df8e4e,"Student Profile: Student Profile: {'Name': 'Alex Johnson', 'Year': 'Sophomore', 'Major': 'Chemical Engineering', 'Strengths': ['Strong analytical skills', 'Good grasp of chemical equations'], 'Weaknesses': ['Struggles with organic chemistry concepts', 'Needs improvement in laboratory techniques'], 'Interests': ['Renewable energy', 'Environmental chemistry'], 'Learning Style': 'Visual and Kinesthetic', 'Preferred Study Time': 'Evenings'}
Based on the student profile, generate 'personalized learning content or tasks' for each student, returning the result in JSON format.","[""5: Highly personalized content/advice/feedback based on student level/traits/needs; resource and learning path suggestions are accurate, practical, and valuable."", ""4: Demonstrates some adaptation to student situation; provides relevant learning advice or resources with good utility."", ""3: Attempts personalization but with limited effectiveness; recommendations are generic and of limited value."", ""2: Little to no personalization; output is the same for everyone; learning support is insufficient or unrelated."", ""1: No personalization; output may conflict with student needs; offers no or incorrect learning support.""]",1,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,scenario_mismatch,5,5,Personalized Learning Support,Chemistry,Undergraduate,True,True,True,exact_metric_language,False,False,False,False,False,False,False,False,False,False,LOW,0,1,new_question_not_used_by_batch96,"Student Profile: Student Profile: {'Name': 'Alex Johnson', 'Year': 'Sophomore', 'Major': 'Chemical Engineering', 'Strengths': ['Strong analytical skills', 'Good grasp of chemical equations'], 'Weaknesses': ['Struggles with organic chemistry concepts', 'Needs improvement in laboratory techniques'], 'Interests': ['Renewable energy', 'Environmental chemistry'], 'Learning Style': 'Visual and Kinesthetic', 'Preferred Study Time': 'Evenings'}\nBased on the student profile, generate 'personalized learning content or tasks' for each student, returning the result in JSON format.","```json\n{\n  ""Student"": ""Alex Johnson"",\n  ""Year"": ""Sophomore"",\n  ""Major"": ""Chemical Engineering"",\n  ""Personalized Learning Content and Tasks"": [\n    {\n      ""Category"": ""Organic Chemistry Concepts"",\n      ""Content"": ""Interactive Video Tutorials on Organic Chemistry Reactions"",\n      ""Description"": ""A series of interactive video tutorials that visually explain the mechanisms and reactions in organic chemistry. These videos include step-by-step animations and real-life examples to help Alex better understand the concepts."",\n      ""Tasks"": [\n        ""Watch and take notes on the first 5 video tutorials, focusing on key reaction mechanisms."",\n        ""Complete the embedded quizzes a...","[""5: Highly personalized content/advice/feedback based on student level/traits/needs; resource and learning path suggestions are accurate, practical, and valuable."", ""4: Demonstrates some adaptation to student situation; provides relevant learning advice or resources with good utility."", ""3: Attempts personalization but with limited effectiveness; recommendations are generic and of limited value."", ""2: Little to no personalization; output is the same for everyone; learning support is insufficient or unrelated."", ""1: No personalization; output may conflict with student needs; offers no or incorrect learning support.""]",question_seed42/train source; batch96 source question reuse minimized and recorded
topup1_004,syn_a03796263c002965,3d2083c6a186c89781966b80499d6d527830bfc7,train,results_merge.jsonl,4253,71a14244232914c689e46f4d03977b3ac0067a23,0d7d0cc5bdd9118f182a7fcdff9d86f8a80c4ee2,"知识点：线粒体功能与生物能量代谢调控
请根据这个知识点给出""教学素材"":教学素材需要包括教学目标、重点难点、课堂活动设计等,以json格式返回","[""5分： 交互或内容设计巧妙，能显著促进学生的批判性思维、创新思维、问题解决或知识迁移应用能力（例如通过开放性问题、对比分析、案例探究、项目式任务等）。"", ""4分： 能提出引导性问题或设计有一定挑战性的任务，对培养学生的高阶思维和能力（如分析、评估、应用）有积极作用。"", ""3分： 在促进高阶思维方面有所尝试（如提出一些简单的思考题），但深度和广度有限，效果不明显，整体仍偏重知识复述或简单应用。"", ""2分： 交互或内容主要停留在基础知识记忆和理解层面，很少或未能涉及需要高阶思维的活动或问题。"", ""1分： 完全忽视高阶思维培养，仅限于死记硬背或简单重复，甚至可能因提供过于简化或固化的答案而阻碍思维发展。""]",1,1,zh,Higher-Order Thinking & Skill Development,reasoning_gap,reasoning_gap,5,5,Teaching Material Generation,Biology,PhD,True,True,True,exact_metric_language,False,False,False,False,False,False,False,False,False,False,LOW,0,1,new_question_not_used_by_batch96,"知识点：线粒体功能与生物能量代谢调控\n请根据这个知识点给出""教学素材"":教学素材需要包括教学目标、重点难点、课堂活动设计等,以json格式返回","```json\n{\n  ""teaching_materials"": {\n    ""teaching_objectives"": {\n      ""knowledge"": [\n        ""掌握线粒体的结构与功能，包括内膜、外膜、基质和嵴的作用"",\n        ""理解ATP合成的基本过程（糖酵解、三羧酸循环、电子传递链与氧化磷酸化）"",\n        ""阐明生物能量代谢调控的分子机制（如ATP/ADP比值、钙离子信号、激素调控）""\n      ],\n      ""ability"": [\n        ""能分析线粒体功能障碍对细胞能量代谢的影响"",\n        ""运用代谢调控原理解释疾病案例（如线粒体肌病、甲状腺功能亢进）""\n      ],\n      ""emotion"": [\n        ""通过能量代谢的动态平衡理解生命系统的精密性"",\n        ""培养通过实验数据推导生物学原理的科学思维""\n      ]\n    },\n    ""key_points"": [\n      ""线粒体嵴结构与ATP合成效率的关系"",\n      ""电子传递链中质子梯度的建立与ATP合酶工作机制"",\n      ""AMPK/mTOR信号通路在能量代谢调控中的作用""\n    ],\n    ""difficult_points"": [\n      ""化学渗透假说的跨膜质子动力势抽象概念"",\n      ""氧化磷酸化与底物水平磷酸化的本质区别"",\n      ""代谢调控网络的多层次整合（细胞器间、系统器官间）""\n    ],...","[""5分： 交互或内容设计巧妙，能显著促进学生的批判性思维、创新思维、问题解决或知识迁移应用能力（例如通过开放性问题、对比分析、案例探究、项目式任务等）。"", ""4分： 能提出引导性问题或设计有一定挑战性的任务，对培养学生的高阶思维和能力（如分析、评估、应用）有积极作用。"", ""3分： 在促进高阶思维方面有所尝试（如提出一些简单的思考题），但深度和广度有限，效果不明显，整体仍偏重知识复述或简单应用。"", ""2分： 交互或内容主要停留在基础知识记忆和理解层面，很少或未能涉及需要高阶思维的活动或问题。"", ""1分： 完全忽视高阶思维培养，仅限于死记硬背或简单重复，甚至可能因提供过于简化或固化的答案而阻碍思维发展。""]",question_seed42/train source; batch96 source question reuse minimized and recorded
topup1_005,syn_d9c58250dd342177,000b1f47c21ee93516a424f0cba80a7188cf3e6f,train,results_merge.jsonl,1729,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,4e7c9d0a360e3a31b5e304d688a4787981c62150,"Question: Explain the concept of Nash Equilibrium in game theory and provide an example.
Student's Answer: Nash Equilibrium is a situation in a game where each player's strategy is optimal given the strategies of all other players. No player can benefit by changing their strategy while the other players keep theirs unchanged. An example would be the Prisoner's Dilemma, where both prisoners choose to betray each other although they would receive a better outcome if they both stayed silent.
Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON format.","[""5: Precisely identified all errors (no omission or false positives); provided completely correct, clear, and optimal correction suggestions."", ""4: Correctly located most major errors; suggestions are generally accurate and effective with only minor omissions or less-than-perfect advice."", ""3: Identified some errors but with clear omissions or false positives; suggestions are partially correct but may lack clarity, completeness or optimality."", ""2: Inaccurate error detection with critical omissions or many false positives; suggestions contain errors or are hard to comprehend."", ""1: Completely failed to detect errors; provided entirely incorrect or misleading correction advice.""]",2,2,en,Error Identification & Correction Precision,factual_error,factual_error,5,5,Automatic Grading,Theoretical Economics,Undergraduate,True,True,True,exact_metric_language,False,False,False,False,False,False,False,False,False,False,LOW,1,1,question_reused_recorded,"Question: Explain the concept of Nash Equilibrium in game theory and provide an example.\nStudent's Answer: Nash Equilibrium is a situation in a game where each player's strategy is optimal given the strategies of all other players. No player can benefit by changing their strategy while the other players keep theirs unchanged. An example would be the Prisoner's Dilemma, where both prisoners choose to betray each other although they would receive a better outcome if they both stayed silent.\nPlease provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON format.","{\n  ""Score"": 10,\n  ""Scoring Details"": {\n    ""Explanation"": 5,\n    ""Example"": 5\n  },\n  ""Personalized Feedback"": ""Your answer accurately defines Nash Equilibrium and correctly identifies the Prisoner's Dilemma as an example. You captured the essence of Nash Equilibrium by emphasizing that no player benefits from unilaterally changing their strategy. The example is well-chosen and highlights the tension between individual rationality (betrayal) and collective benefit (mutual silence). To deepen understanding, consider explaining why mutual betrayal is the equilibrium despite the better collective outcome: each prisoner acts in self-interest, fearing the other might betray them. This re...","[""5: Precisely identified all errors (no omission or false positives); provided completely correct, clear, and optimal correction suggestions."", ""4: Correctly located most major errors; suggestions are generally accurate and effective with only minor omissions or less-than-perfect advice."", ""3: Identified some errors but with clear omissions or false positives; suggestions are partially correct but may lack clarity, completeness or optimality."", ""2: Inaccurate error detection with critical omissions or many false positives; suggestions contain errors or are hard to comprehend."", ""1: Completely failed to detect errors; provided entirely incorrect or misleading correction advice.""]",question_seed42/train source; batch96 source question reuse minimized and recorded
topup1_006,syn_b903719364178d75,017b36d1dcb5ac4eb79d1b467f6bf1403d6b7fef,train,results_merge.jsonl,4804,ac1c8ccfcd59afb588cbe2e820ef540a695ec312,843c40d9980c58de414507ffadaf69f1227b3024,"学科:临床医学
学制级别:硕士
问题：以下哪种药物最常用于治疗急性心肌梗死？
A) 阿司匹林
B) 布洛芬
C) 对乙酰氨基酚
D) 洛伐他汀
.请根据问题生成对应的答案。""答案"":,以json格式返回","[""5分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。"", ""4分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。"", ""3分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。"", ""2分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。"", ""1分： 完全误解或无视指令，任务未完成或完全错误，格式混乱或不相关。""]",1,1,zh,Instruction Following & Task Completion,instruction_violation,instruction_violation,5,5,Question Answering,Clinical Medicine,Master,True,True,True,exact_metric_language,False,False,False,False,False,False,False,False,False,False,LOW,0,1,new_question_not_used_by_batch96,"学科:临床医学\n学制级别:硕士\n问题：以下哪种药物最常用于治疗急性心肌梗死？\nA) 阿司匹林\nB) 布洛芬\nC) 对乙酰氨基酚\nD) 洛伐他汀\n.请根据问题生成对应的答案。""答案"":,以json格式返回","```json\n{\n  ""答案"": ""A) 阿司匹林""\n}\n```","[""5分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。"", ""4分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。"", ""3分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。"", ""2分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。"", ""1分： 完全误解或无视指令，任务未完成或完全错误，格式混乱或不相关。""]",question_seed42/train source; batch96 source question reuse minimized and recorded
topup1_007,syn_fdf358c5d7a0a1d0,0324a98cd6c00ebf2855741ebecf0ef4df31541f,train,results_merge.jsonl,1323,1fbaba4fd0689522a2df03a5be806cfca5328f00,52f8a79182d8909afd92d7cc7c7e4853951cde81,"Subject:Crop Science
Education Level:Undergraduate
Question:Which of the following is a primary macronutrient essential for plant growth?
A) Iron
B) Magnesium
C) Nitrogen
D) Zinc
. Please generate the corresponding answer based on the question. ""Answer"":, in JSON format.","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",2,2,en,Basic Factual Accuracy,factual_error,factual_error,5,5,Question Answering,Crop Science,Undergraduate,True,True,True,exact_metric_language,False,False,False,False,False,False,False,False,False,False,LOW,0,1,new_question_not_used_by_batch96,"Subject:Crop Science\nEducation Level:Undergraduate\nQuestion:Which of the following is a primary macronutrient essential for plant growth?\nA) Iron\nB) Magnesium\nC) Nitrogen\nD) Zinc\n. Please generate the corresponding answer based on the question. ""Answer"":, in JSON format.","```json\n{\n    ""Answer"": ""C) Nitrogen""\n}\n```","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]",question_seed42/train source; batch96 source question reuse minimized and recorded
topup1_008,syn_3ff1653acea6d08f,437db53a30a26792bb14154993b13937737325e5,train,results_merge.jsonl,5206,b0ec9ece1525000e58e3539446f4c4e03dc1c08f,e4a480ac0f14a2b30c8c9d47ca19777df2e4e98a,"学科:基础医学
学制级别:硕士
知识点：肌肉收缩的生理机制
问题类型：多选题
.请根据学科,学制级别,知识点,问题类型生成一个对应的问题。""问题""和""提供的思路"":,以json格式返回","[""5分： 在专业领域知识运用上不仅准确，且展现出恰当的深度和严谨性，符合行业标准或学术规范。"", ""4分： 专业知识运用准确，体现了较好的专业水准，但在深度或某些细节的严谨性上略有不足，不影响核心正确性。"", ""3分： 专业知识运用基本准确，但显得较为表层或不够严谨，可能存在一些非核心概念的混淆或遗漏。"", ""2分： 专业知识运用存在明显错误或重大遗漏，体现出专业性不足。"", ""1分： 专业知识运用方面存在严重错误，完全不符合专业标准，可能产生误导。""]",1,1,zh,Domain Knowledge Accuracy,factual_error,factual_error,5,5,Question Generation,Basic Medicine,Master,True,True,True,exact_metric_language,False,False,False,False,False,False,False,False,False,False,LOW,0,1,new_question_not_used_by_batch96,"学科:基础医学\n学制级别:硕士\n知识点：肌肉收缩的生理机制\n问题类型：多选题\n.请根据学科,学制级别,知识点,问题类型生成一个对应的问题。""问题""和""提供的思路"":,以json格式返回","```json\n{\n  ""question"": ""下列关于肌肉收缩的生理机制描述正确的是：\nA. 肌肉收缩是由肌球蛋白头部的ATP酶活性引起的\nB. 横桥的摆动需要Ca2+的参与\nC. 钙泵的作用是将肌浆网中的Ca2+泵出细胞外\nD. 肌钙蛋白与Ca2+结合后会改变其构象，暴露出肌动蛋白上的位点\nE. 肌肉松弛时，肌球蛋白头部不再具有ATP酶活性"",\n  ""provided_thoughts"": ""1. 肌肉收缩涉及肌丝滑行理论，其中横桥的摆动是关键步骤。\n2. Ca2+在肌肉收缩过程中起着至关重要的作用，它能触发肌丝滑行。\n3. 钙泵负责恢复肌浆网中Ca2+的浓度，对于肌肉松弛至关重要。\n4. 肌钙蛋白是调节蛋白的一部分，其构象变化直接影响肌肉收缩状态。\n5. 肌球蛋白头部的ATP酶活性在肌肉收缩和松弛过程中都存在，只是在不同阶段表现出不同的功能。""\n}\n```","[""5分： 在专业领域知识运用上不仅准确，且展现出恰当的深度和严谨性，符合行业标准或学术规范。"", ""4分： 专业知识运用准确，体现了较好的专业水准，但在深度或某些细节的严谨性上略有不足，不影响核心正确性。"", ""3分： 专业知识运用基本准确，但显得较为表层或不够严谨，可能存在一些非核心概念的混淆或遗漏。"", ""2分： 专业知识运用存在明显错误或重大遗漏，体现出专业性不足。"", ""1分： 专业知识运用方面存在严重错误，完全不符合专业标准，可能产生误导。""]",question_seed42/train source; batch96 source question reuse minimized and recorded
topup1_009,syn_ddce8babbd410ae8,0362a81a2b2675a908b5f959600c1d353d74b7ba,train,results_merge.jsonl,2577,e8d93a13ed675a8345513b981af0583044d0c9d6,1dccd0a5666dd683f20aba84bd03d96dad8a5bba,"Knowledge Point: Mechanisms of Drug Resistance in Cancer Therapy
Based on this knowledge point, provide ""Teaching Materials"": Teaching materials should include teaching objectives, key points and difficulties, classroom activity design, etc., in JSON format.","[""5: Excellent role-playing (e.g., teacher/TA); language style, professionalism, and tone (e.g., encouraging/serious) are perfectly aligned with the assumed role and audience."", ""4: Role and tone are mostly consistent and appropriate for the scenario, with minor deviation in individual expressions."", ""3: Attempts to match the role and tone can be seen, but overall consistency is weak; some expressions are disconnected from the role/scenario."", ""2: Significant mismatch in role and tone; comes across as unnatural or inconsistent."", ""1: No reflection of assigned role/tone; expression entirely inconsistent with the scenario.""]",2,2,en,Role & Tone Consistency,scenario_mismatch,scenario_mismatch,5,5,Teaching Material Generation,Clinical Medicine,PhD,True,True,True,exact_metric_language,False,False,False,False,False,False,False,False,False,False,LOW,1,1,question_reused_recorded,"Knowledge Point: Mechanisms of Drug Resistance in Cancer Therapy\nBased on this knowledge point, provide ""Teaching Materials"": Teaching materials should include teaching objectives, key points and difficulties, classroom activity design, etc., in JSON format.","```json\n{\n  ""teaching_materials"": {\n    ""topic"": ""Mechanisms of Drug Resistance in Cancer Therapy"",\n    ""teaching_objectives"": [\n      ""Understand the primary biological mechanisms underlying drug resistance in cancer therapy."",\n      ""Analyze how genetic, epigenetic, and microenvironmental factors contribute to resistance."",\n      ""Evaluate strategies to overcome or mitigate drug resistance in clinical settings.""\n    ],\n    ""key_points"": [\n      ""Genetic mutations (e.g., target gene alterations, activation of bypass pathways)."",\n      ""Drug efflux pumps (e.g., ABC transporters like P-glycoprotein)."",\n      ""Enhanced DNA repair mechanisms (e.g., upregulation of BRCA1/2 in resp...","[""5: Excellent role-playing (e.g., teacher/TA); language style, professionalism, and tone (e.g., encouraging/serious) are perfectly aligned with the assumed role and audience."", ""4: Role and tone are mostly consistent and appropriate for the scenario, with minor deviation in individual expressions."", ""3: Attempts to match the role and tone can be seen, but overall consistency is weak; some expressions are disconnected from the role/scenario."", ""2: Significant mismatch in role and tone; comes across as unnatural or inconsistent."", ""1: No reflection of assigned role/tone; expression entirely inconsistent with the scenario.""]",question_seed42/train source; batch96 source question reuse minimized and recorded
topup1_010,syn_c44c53fcc8e7b186,32755a88f95099cbe22dbb740f36df80db79d035,train,results_merge.jsonl,4769,3b26f4f8f9f7314ee644e63efa2173afbb702c33,73ece2a29bb6fe23ee117f26a9e704301f675fe7,"学科:法学
学制级别:博士
问题：在国际法中，以下哪一个原则主要用于解决国家之间的领土争端？
A. 不干涉内政原则
B. 自决原则
C. 先占原则
D. 互惠原则
.请根据问题生成对应的答案。""答案"":,以json格式返回","[""5分： 内容与指定知识点/主题/问题高度相关，且严格控制在要求的难度、范围、学科内，无冗余或无关信息。"", ""4分： 内容主体相关，范围控制良好，可能包含极少量轻微超纲或关联度稍弱的信息。"", ""3分： 内容大部分相关，但包含一些偏离主题或超出范围的部分，范围控制不够精确。"", ""2分： 内容相关性较差，包含较多无关信息，或严重超出指定范围。"", ""1分： 内容基本不相关，或完全脱离指定范围。""]",1,1,zh,Content Relevance & Scope Control,scenario_mismatch,scenario_mismatch,5,5,Question Answering,Law,PhD,True,True,True,exact_metric_language,False,False,False,False,False,False,False,False,False,False,LOW,0,1,new_question_not_used_by_batch96,"学科:法学\n学制级别:博士\n问题：在国际法中，以下哪一个原则主要用于解决国家之间的领土争端？\nA. 不干涉内政原则\nB. 自决原则\nC. 先占原则\nD. 互惠原则\n.请根据问题生成对应的答案。""答案"":,以json格式返回","```json\n{\n  ""答案"": ""C. 先占原则""\n}\n```","[""5分： 内容与指定知识点/主题/问题高度相关，且严格控制在要求的难度、范围、学科内，无冗余或无关信息。"", ""4分： 内容主体相关，范围控制良好，可能包含极少量轻微超纲或关联度稍弱的信息。"", ""3分： 内容大部分相关，但包含一些偏离主题或超出范围的部分，范围控制不够精确。"", ""2分： 内容相关性较差，包含较多无关信息，或严重超出指定范围。"", ""1分： 内容基本不相关，或完全脱离指定范围。""]",question_seed42/train source; batch96 source question reuse minimized and recorded
