dataset_name,check_name,status,details
QD-S0_human_only,dev_human_only,PASS,
QD-S0_human_only,dev_row_count,PASS,1107
QD-S0_human_only,test_human_only,PASS,
QD-S0_human_only,test_row_count,PASS,1103
QD-S0_human_only,synthetic_rows_only_in_train,PASS,0
QD-S0_human_only,synthetic_label_provenance_pseudo_label,PASS,
QD-S0_human_only,human_label_provenance_human_score,PASS,
QD-S0_human_only,no_dev_test_question_overlap_for_synthetic_source,PASS,0
QD-S0_human_only,no_dev_test_triple_overlap_for_synthetic_source,PASS,0
QD-S0_human_only,no_duplicate_synthetic_id,PASS,0
QD-S0_human_only,no_duplicate_synthetic_answer_hash,PASS,0
QD-S0_human_only,required_training_fields_present,PASS,
QD-S0_human_only,a4_template_fields_present,PASS,
QD-S0_human_only,no_rationale_error_type_label_source_in_training_text,PASS,{}
