split,metric_canonical,n,Accuracy,Exact Match,MAE_label,MAE_expected,RMSE_label,Signed Bias label,Signed Bias expected,Macro-F1,Weighted-F1,Quadratic Weighted Kappa,Kendall tau,Spearman rho,Within-1 Accuracy,Acc@1,Acc@2,Acc@5,low_n,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,low_severe_overestimation_rate,mean_pred_low,high_n,high_to_mid_or_low_rate,high_signed_bias,MAE_score,severe_error_rate,pred_label_1_rate,pred_label_2_rate,pred_label_3_rate,pred_label_4_rate,pred_label_5_rate,monotonic_violation_rate
dev,Basic Factual Accuracy,130,0.7692307692307693,0.7692307692307693,0.4282051282051281,0.39879498544734154,0.7606789589784106,0.1512820512820512,0.1111844420247973,0.23380471380471377,0.7635327635327634,0.04967197750702912,0.08877680163488541,0.09570151314030215,0.9153846153846154,nan,0.0,0.8727272727272727,2,0.0,3.0,3.0,1.0,1.0,5.0,110,0.03636363636363636,-0.024242424242424374,0.39879498544734154,0.08461538461538462,0.0,0.007692307692307693,0.023076923076923078,0.12307692307692308,0.8461538461538461,0.6615384615384615
dev,"Clarity, Simplicity & Inspiration",90,0.5111111111111111,0.5111111111111111,0.6333333333333333,0.574735670284429,0.9316121696113148,0.225925925925926,0.22761992015755964,0.21917562724014336,0.49002389486260456,0.046328240512567787,0.13104355360847983,0.15085735214367216,0.9,nan,0.0,0.5666666666666667,4,0.0,2.5,2.5,0.75,0.75,4.5,30,0.0,-0.2555555555555557,0.574735670284429,0.1,0.0,0.011111111111111112,0.022222222222222223,0.5,0.4666666666666667,0.07777777777777778
dev,Content Relevance & Scope Control,125,0.72,0.72,0.42933333333333323,0.369841921535631,0.6985699678629192,0.17866666666666656,0.1482663806999722,0.2461538461538461,0.7121230769230769,0.10668047643707912,0.2852644330973389,0.3121019281313257,0.936,nan,0.0,0.826530612244898,2,0.0,3.0,3.0,1.0,1.0,5.0,98,0.02040816326530612,-0.00680272108843554,0.369841921535631,0.064,0.0,0.0,0.016,0.208,0.776,0.336
dev,Domain Knowledge Accuracy,65,0.6615384615384615,0.6615384615384615,0.43076923076923074,0.37738179106435354,0.6640976140791661,0.020512820512820537,0.03140491568265602,0.2819672131147541,0.6491803278688525,0.35157724454030737,0.513021093241304,0.5858162870041947,0.9846153846153847,nan,nan,0.7931034482758621,0,nan,nan,nan,nan,nan,nan,29,0.034482758620689655,-0.12643678160919555,0.37738179106435354,0.015384615384615385,0.015384615384615385,0.0,0.03076923076923077,0.46153846153846156,0.49230769230769234,0.2
dev,Error Identification & Correction Precision,35,0.5714285714285714,0.5714285714285714,0.895238095238095,0.8585506159900907,1.3545924239123128,0.26666666666666655,0.23004026733161426,0.1509433962264151,0.582210242587601,0.04089979550102252,-0.06097504299189833,-0.06788178751874598,0.7428571428571429,0.0,0.0,0.7407407407407407,5,0.0,2.6,2.6,0.8,0.8,4.4,27,0.14814814814814814,-0.2592592592592594,0.8585506159900907,0.2571428571428571,0.0,0.02857142857142857,0.11428571428571428,0.11428571428571428,0.7428571428571429,0.34285714285714286
dev,Higher-Order Thinking & Skill Development,83,0.4939759036144578,0.4939759036144578,0.606425702811245,0.5795988728931658,0.7770124366056781,0.1726907630522089,0.20100341900120686,0.3642077922077922,0.4754498513534658,0.5173379280637518,0.44065115157296897,0.5140643740590718,0.9518072289156626,nan,0.2857142857142857,0.5,7,0.2857142857142857,0.619047619047619,0.619047619047619,0.0,0.0,2.7142857142857144,14,0.07142857142857142,-0.3809523809523811,0.5795988728931658,0.04819277108433735,0.0,0.04819277108433735,0.24096385542168675,0.5421686746987951,0.1686746987951807,0.03614457831325301
dev,Instruction Following & Task Completion,200,0.655,0.655,0.49666666666666665,0.45501128949486885,0.7881060278357926,0.22333333333333333,0.16648893155904562,0.29444444444444445,0.6289583333333334,0.23913043478260865,0.373344047320898,0.4212558668405899,0.94,nan,0.0,0.8207547169811321,7,0.0,2.7142857142857144,2.7142857142857144,1.0,1.0,4.857142857142857,106,0.009433962264150943,-0.015723270440251735,0.45501128949486885,0.06,0.0,0.005,0.02,0.345,0.63,0.265
dev,"Motivation, Guidance & Positive Feedback",60,0.5666666666666667,0.5666666666666667,0.5611111111111111,0.5544699880252868,0.7993052538854534,0.22777777777777783,0.23263379383719848,0.3733472876330019,0.5281179138321995,0.5787965616045845,0.6649500084483322,0.7499670911321342,0.9,0.0,0.0,0.7692307692307693,9,0.0,1.5185185185185186,1.5185185185185186,0.1111111111111111,0.5555555555555556,3.111111111111111,13,0.0,-0.1282051282051283,0.5544699880252868,0.1,0.0,0.0,0.35,0.43333333333333335,0.21666666666666667,0.16666666666666666
dev,"Personalization, Adaptation & Learning Support",70,0.6,0.6,0.43333333333333335,0.40374696000940935,0.5591944319272256,-0.004761904761904745,-0.011882386068286671,0.32681039248203425,0.598783858485351,0.5868465430016864,0.5592590368567222,0.6452211005176149,1.0,nan,0.0,0.6551724137931034,1,0.0,0.6666666666666665,0.6666666666666665,0.0,0.0,3.0,29,0.0,-0.18390804597701163,0.40374696000940935,0.0,0.0,0.0,0.12857142857142856,0.5142857142857142,0.35714285714285715,0.22857142857142856
dev,Reasoning Process Rigor,84,0.5952380952380952,0.5952380952380952,0.5753968253968254,0.4907027704202593,0.8811668550592597,0.13888888888888895,0.10224859618680308,0.4585588540812422,0.6012967280291374,0.7763809805516527,0.5982125470503229,0.6935735539475705,0.8690476190476191,0.8461538461538461,0.0,0.8518518518518519,16,0.6875,0.5625,0.5625,0.1875,0.1875,1.75,27,0.07407407407407407,-0.07407407407407421,0.4907027704202593,0.13095238095238096,0.13095238095238096,0.05952380952380952,0.09523809523809523,0.23809523809523808,0.47619047619047616,0.4166666666666667
dev,Role & Tone Consistency,50,0.76,0.76,0.32666666666666666,0.2780359835435714,0.43969686527576396,-0.06,-0.07151972660270985,0.30496215306980656,0.747771236333053,0.5447647951441579,0.5442378808115446,0.6079710377138342,1.0,nan,nan,0.625,0,nan,nan,nan,nan,nan,nan,24,0.0,-0.18055555555555572,0.2780359835435714,0.0,0.0,0.0,0.0,0.66,0.34,0.48
dev,Scenario Element Integration,115,0.6869565217391305,0.6869565217391305,0.4144927536231883,0.3743275726857287,0.5723078121815725,0.11304347826086958,0.0788560165731368,0.32439833458467,0.6769870583103096,0.5563651950278612,0.5712544861770736,0.6464907707592135,0.9739130434782609,nan,0.0,0.7551020408163265,4,0.0,1.5,1.5,0.5,0.5,3.5,49,0.02040816326530612,-0.07482993197278928,0.3743275726857287,0.02608695652173913,0.0,0.0,0.06086956521739131,0.5130434782608696,0.4260869565217391,0.1826086956521739
test,Basic Factual Accuracy,125,0.76,0.76,0.3466666666666666,0.3402500908598304,0.6296383441662717,0.02133333333333327,-0.029895964088539343,0.2127699530516432,0.7830985915492958,0.03804268912443731,0.10490072476046697,0.11047952843312557,0.952,nan,0.0,0.8288288288288288,1,0.0,3.0,3.0,1.0,1.0,5.0,111,0.02702702702702703,-0.09009009009009018,0.3402500908598304,0.048,0.0,0.0,0.024,0.16,0.816,0.456
test,"Clarity, Simplicity & Inspiration",85,0.6823529411764706,0.6823529411764706,0.40784313725490196,0.4099992128394946,0.6006532391700641,-0.0784313725490196,-0.046544956720397594,0.2808243727598566,0.6689331646637149,0.4204545454545454,0.4730592959151726,0.5319519656773477,0.9647058823529412,nan,0.0,0.6097560975609756,2,0.0,1.8333333333333333,1.8333333333333333,1.0,1.0,4.0,41,0.0,-0.23577235772357735,0.4099992128394946,0.03529411764705882,0.0,0.011764705882352941,0.0,0.6235294117647059,0.36470588235294116,0.1411764705882353
test,Content Relevance & Scope Control,130,0.7461538461538462,0.7461538461538462,0.39230769230769225,0.3600680666617476,0.6344793949090093,0.15641025641025638,0.10807838215946383,0.2826455026455026,0.7255148555148555,0.29047178538390384,0.35194069951819995,0.38513589277235016,0.9461538461538461,nan,0.0,0.8695652173913043,1,0.0,2.6666666666666665,2.6666666666666665,1.0,1.0,5.0,92,0.021739130434782608,-0.01086956521739143,0.3600680666617476,0.05384615384615385,0.0,0.0,0.015384615384615385,0.23846153846153847,0.7461538461538462,0.4153846153846154
test,Domain Knowledge Accuracy,65,0.6307692307692307,0.6307692307692307,0.5230769230769231,0.48202500693777645,0.7646014547562571,0.12307692307692306,0.07272632001549934,0.2615997874036673,0.6191622886812895,0.21835443037974678,0.21008138301817902,0.23971597460483057,0.9538461538461539,nan,nan,0.7352941176470589,0,nan,nan,nan,nan,nan,nan,34,0.029411764705882353,-0.1470588235294119,0.48202500693777645,0.046153846153846156,0.0,0.015384615384615385,0.015384615384615385,0.4,0.5692307692307692,0.1076923076923077
test,Error Identification & Correction Precision,38,0.6052631578947368,0.6052631578947368,0.5438596491228069,0.493783384661615,0.7608859102526822,-0.29824561403508765,-0.30238009357146844,0.31878787878787884,0.6248803827751197,0.5899280575539568,0.5782071505393095,0.6699570039639329,0.9210526315789473,nan,nan,0.6,0,nan,nan,nan,nan,nan,nan,20,0.1,-0.4000000000000001,0.493783384661615,0.07894736842105263,0.02631578947368421,0.05263157894736842,0.10526315789473684,0.47368421052631576,0.34210526315789475,0.5
test,Higher-Order Thinking & Skill Development,89,0.5393258426966292,0.5393258426966292,0.5505617977528091,0.5251802894037358,0.7586373222868368,-0.056179775280898916,-0.049923225388462625,0.3235628879062481,0.5148786003971607,0.4477582065652522,0.4206814857900153,0.49266193762275273,0.9213483146067416,nan,0.0,0.3870967741935484,6,0.0,1.3333333333333333,1.3333333333333333,0.5,0.5,3.5,31,0.0967741935483871,-0.49462365591397867,0.5251802894037358,0.07865168539325842,0.0,0.011235955056179775,0.2247191011235955,0.5842696629213483,0.1797752808988764,0.033707865168539325
test,Instruction Following & Task Completion,195,0.676923076923077,0.676923076923077,0.4478632478632478,0.413899816885893,0.67092656091591,0.11282051282051281,0.05643563440236716,0.27850279125102956,0.6562375484861072,0.40556492411467115,0.4323618644830585,0.480398879592214,0.9641025641025641,nan,0.0,0.7699115044247787,5,0.0,2.2,2.2,0.8,0.8,4.2,113,0.0,-0.07079646017699129,0.413899816885893,0.035897435897435895,0.0,0.0,0.015384615384615385,0.4205128205128205,0.5641025641025641,0.20512820512820512
