split,label_5,n,accuracy,MAE,signed_bias,mean_pred_label,mean_pred_expected,overestimation_rate,underestimation_rate
dev,1,19,0.5789473684210527,0.8245614035087719,0.8245614035087719,1.8421052631578947,1.8257232504734737,0.42105263157894735,0.0
dev,2,38,0.05263157894736842,1.8947368421052635,1.8947368421052635,3.973684210526316,4.0265558709886,0.9473684210526315,0.0
dev,3,105,0.21904761904761905,0.9841269841269841,0.8634920634920633,3.9904761904761905,3.9866526496235437,0.7619047619047619,0.01904761904761905
dev,4,389,0.6246786632390745,0.4618680377035133,0.08826049700085709,4.195372750642673,4.1841434462145015,0.29048843187660667,0.08483290488431877
dev,5,556,0.7823741007194245,0.3255395683453237,-0.0821342925659474,4.744604316546763,4.702924948644301,0.0,0.21762589928057555
test,1,9,0.8888888888888888,0.4444444444444444,0.4444444444444444,1.4444444444444444,1.4527368429294762,0.1111111111111111,0.0
test,2,22,0.0,1.681818181818182,1.681818181818182,3.8181818181818183,3.8661506586048002,1.0,0.0
test,3,105,0.29523809523809524,0.8698412698412697,0.6285714285714284,3.761904761904762,3.7309518029432573,0.6571428571428571,0.047619047619047616
test,4,351,0.7150997150997151,0.42450142450142453,0.023741690408357264,4.131054131054131,4.133244219666663,0.21082621082621084,0.07407407407407407
test,5,616,0.702922077922078,0.36093073593073594,-0.18235930735930753,4.6688311688311686,4.61670002727586,0.0,0.29707792207792205
