split,metric_canonical,n,Accuracy,Exact Match,MAE_label,MAE_expected,RMSE_label,Signed Bias label,Signed Bias expected,Macro-F1,Weighted-F1,Quadratic Weighted Kappa,Kendall tau,Spearman rho,Within-1 Accuracy,Acc@1,Acc@2,Acc@5,low_n,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,low_severe_overestimation_rate,mean_pred_low,high_n,high_to_mid_or_low_rate,high_signed_bias,MAE_score,severe_error_rate,pred_label_1_rate,pred_label_2_rate,pred_label_3_rate,pred_label_4_rate,pred_label_5_rate,monotonic_violation_rate
dev,Basic Factual Accuracy,130,0.007692307692307693,0.007692307692307693,2.9948717948717953,2.9184312188126245,3.099489894617759,-2.9948717948717953,-2.9184312188126245,0.004545454545454545,0.0003496503496503496,-0.011283465205453869,-0.16656088858973891,-0.17669810914728332,0.06923076923076923,nan,0.5,0.0,2,0.5,0.5,-0.5,0.0,0.0,1.5,110,1.0,-3.242424242424242,2.9184312188126245,0.9307692307692308,0.3384615384615385,0.6615384615384615,0.0,0.0,0.0,0.9461538461538461
dev,"Clarity, Simplicity & Inspiration",90,0.044444444444444446,0.044444444444444446,2.3074074074074074,2.403999964641062,2.4421706596518185,-2.3074074074074074,-2.403999964641062,0.019047619047619046,0.004232804232804232,-0.005522514868309347,-0.052812352093641456,-0.05930809950112942,0.13333333333333333,nan,1.0,0.0,4,1.0,0.0,0.0,0.0,0.0,2.0,30,1.0,-2.922222222222223,2.403999964641062,0.8666666666666667,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,1.0
dev,Content Relevance & Scope Control,125,0.0,0.0,2.8533333333333335,2.8469152697895965,2.9457313749446556,-2.8533333333333335,-2.8469152697895965,0.0,0.0,-0.0018005333910948718,-0.1660416918500235,-0.1791186632226259,0.064,nan,0.0,0.0,2,0.0,1.0,-1.0,0.0,0.0,1.0,98,1.0,-3.1088435374149666,2.8469152697895965,0.936,0.272,0.728,0.0,0.0,0.0,1.0
dev,Domain Knowledge Accuracy,65,0.0,0.0,2.5948717948717945,2.6585596401913043,2.6660255639607637,-2.5948717948717945,-2.6585596401913043,0.0,0.0,0.0034438226431338093,0.02560397916054139,0.02850937422673548,0.046153846153846156,nan,nan,0.0,0,nan,nan,nan,nan,nan,nan,29,1.0,-3.0229885057471266,2.6585596401913043,0.9538461538461539,0.2,0.8,0.0,0.0,0.0,1.0
dev,Error Identification & Correction Precision,35,0.11428571428571428,0.11428571428571428,2.390476190476191,2.5660866293967484,2.585060866312374,-2.333333333333334,-2.5199019100960527,0.042105263157894736,0.024060150375939848,-0.004415011037527394,0.03359328738810553,0.036203955906895874,0.17142857142857143,0.0,1.0,0.0,5,0.8,0.2,0.2,0.0,0.0,2.0,27,1.0,-2.8518518518518525,2.5660866293967484,0.8285714285714286,0.02857142857142857,0.9714285714285714,0.0,0.0,0.0,1.0
dev,Higher-Order Thinking & Skill Development,83,0.07228915662650602,0.07228915662650602,1.7429718875502007,1.883631985479345,1.9464036792153847,-1.7429718875502007,-1.883631985479345,0.028915662650602407,0.012193351720133545,0.0029934374640211425,0.0,0.0,0.42168674698795183,nan,0.8571428571428571,0.0,7,0.8571428571428571,0.23809523809523814,-0.23809523809523814,0.0,0.0,1.8571428571428572,14,1.0,-2.8809523809523805,1.883631985479345,0.5783132530120482,0.08433734939759036,0.9156626506024096,0.0,0.0,0.0,1.0
dev,Instruction Following & Task Completion,200,0.035,0.035,2.4616666666666664,2.5978804319088034,2.5695870831279057,-2.4616666666666664,-2.5978804319088034,0.014736842105263156,0.002578947368421052,-0.0032243880990767693,-0.10204808977524395,-0.11415127366713694,0.09,nan,1.0,0.0,7,1.0,0.14285714285714293,-0.14285714285714293,0.0,0.0,2.0,106,1.0,-2.911949685534591,2.5978804319088034,0.91,0.085,0.915,0.0,0.0,0.0,0.92
dev,"Motivation, Guidance & Positive Feedback",60,0.05,0.05,1.8444444444444448,1.9711981294702534,1.9916492328386208,-1.688888888888889,-1.8445301131164242,0.019672131147540982,0.006557377049180328,0.022774327122153215,0.18957719089649835,0.21711750434165555,0.36666666666666664,0.0,0.75,0.0,9,0.3333333333333333,0.7407407407407408,0.2962962962962962,0.0,0.0,1.8888888888888888,13,1.0,-2.8974358974358974,1.9711981294702534,0.6333333333333333,0.05,0.95,0.0,0.0,0.0,1.0
dev,"Personalization, Adaptation & Learning Support",70,0.014285714285714285,0.014285714285714285,2.4333333333333336,2.5187040781513566,2.563170160141786,-2.4333333333333336,-2.5187040781513566,0.007017543859649122,0.0005012531328320802,-0.005942275042444933,-0.0837760664569519,-0.0951900731216386,0.12857142857142856,nan,1.0,0.0,1,1.0,0.3333333333333335,-0.3333333333333335,0.0,0.0,2.0,29,1.0,-3.0459770114942533,2.5187040781513566,0.8714285714285714,0.2,0.8,0.0,0.0,0.0,1.0
dev,Reasoning Process Rigor,84,0.03571428571428571,0.03571428571428571,2.087301587301587,2.143965629199224,2.256091108520906,-1.7777777777777775,-1.8905009674610538,0.014457831325301203,0.0025817555938037863,-0.01937155085032094,-0.17709948342341292,-0.20223280059051413,0.25,0.0,1.0,0.0,16,0.1875,0.8125,0.8125,0.0,0.0,2.0,27,1.0,-2.9629629629629637,2.143965629199224,0.75,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,0.9047619047619048
