split,metric_canonical,n,Accuracy,Exact Match,MAE_label,MAE_expected,RMSE_label,Signed Bias label,Signed Bias expected,Macro-F1,Weighted-F1,Quadratic Weighted Kappa,Kendall tau,Spearman rho,Within-1 Accuracy,Acc@1,Acc@2,Acc@5,low_n,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,low_severe_overestimation_rate,mean_pred_low,high_n,high_to_mid_or_low_rate,high_signed_bias,MAE_score,severe_error_rate,pred_label_1_rate,pred_label_2_rate,pred_label_3_rate,pred_label_4_rate,pred_label_5_rate,monotonic_violation_rate
dev,Basic Factual Accuracy,130,0.8461538461538461,0.8461538461538461,0.34102564102564087,0.33168172759887493,0.6517563385087441,0.2743589743589743,0.22106707447614415,0.26354978354978353,0.8104029304029303,0.12490650710545992,0.1919260063190923,0.2036069974164534,0.9384615384615385,nan,0.0,0.9636363636363636,2,0.0,3.0,3.0,1.0,1.0,5.0,110,0.0,0.11212121212121198,0.33168172759887493,0.06153846153846154,0.0,0.0,0.0,0.06923076923076923,0.9307692307692308,0.8153846153846154
dev,"Clarity, Simplicity & Inspiration",90,0.5666666666666667,0.5666666666666667,0.5666666666666665,0.5189796478884225,0.8035415436339797,0.18148148148148155,0.1386196401884297,0.23461538461538461,0.5256410256410257,0.1475315729047072,0.21707852948367498,0.243778482036719,0.9,nan,0.0,0.5333333333333333,4,0.0,2.0,2.0,1.0,1.0,4.0,30,0.0,-0.28888888888888903,0.5189796478884225,0.1,0.0,0.0,0.0,0.6222222222222222,0.37777777777777777,0.2111111111111111
dev,Content Relevance & Scope Control,125,0.816,0.816,0.3599999999999999,0.33020695093025754,0.6260990336999411,0.27466666666666656,0.17557616207251933,0.2876203032300593,0.785849967040211,0.2537750204846072,0.3920886032973713,0.42296838646336454,0.952,nan,0.0,0.9387755102040817,2,0.0,3.0,3.0,1.0,1.0,5.0,98,0.0,0.12585034013605423,0.33020695093025754,0.048,0.0,0.0,0.0,0.144,0.856,0.592
dev,Domain Knowledge Accuracy,65,0.6461538461538462,0.6461538461538462,0.45641025641025634,0.3464499433357746,0.5773502691896258,-0.02564102564102562,-0.010157829876511502,0.26719077568134175,0.6174084825028221,0.35446906035141323,0.3065378497548792,0.34132203508385744,0.9846153846153847,nan,nan,0.5862068965517241,0,nan,nan,nan,nan,nan,nan,29,0.0,-0.22988505747126453,0.3464499433357746,0.015384615384615385,0.0,0.0,0.0,0.6307692307692307,0.36923076923076925,0.4
dev,Error Identification & Correction Precision,35,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.6400963467146669,1.1737877907772674,0.5523809523809522,0.43323989726957807,0.16551724137931034,0.638423645320197,0.1734939759036146,0.09559887748615094,0.10574595945976326,0.8285714285714286,0.0,0.0,0.8888888888888888,5,0.0,2.8,2.8,0.8,1.0,4.6,27,0.0,0.0740740740740739,0.6400963467146669,0.17142857142857143,0.0,0.0,0.02857142857142857,0.08571428571428572,0.8857142857142857,0.42857142857142855
dev,Higher-Order Thinking & Skill Development,83,0.5301204819277109,0.5301204819277109,0.5983935742971888,0.5444953949410416,0.7770124366056781,0.22088353413654627,0.1681535910215626,0.3613996247654784,0.4959232803634802,0.4641319942611192,0.4123679480906451,0.4741502201512938,0.9397590361445783,nan,0.14285714285714285,0.5,7,0.14285714285714285,0.7619047619047619,0.7619047619047619,0.0,0.0,2.857142857142857,14,0.14285714285714285,-0.45238095238095255,0.5444953949410416,0.060240963855421686,0.0,0.012048192771084338,0.24096385542168675,0.6024096385542169,0.14457831325301204,0.08433734939759036
dev,Instruction Following & Task Completion,200,0.68,0.68,0.42999999999999994,0.4014422726425498,0.6540472290116194,0.2033333333333333,0.15392269484659965,0.2818087557603687,0.648793202764977,0.4110854503464203,0.48806602507758273,0.5474124182427694,0.945,nan,0.0,0.8207547169811321,7,0.0,1.857142857142857,1.857142857142857,0.8571428571428571,0.8571428571428571,4.0,106,0.0,0.0031446540880501524,0.4014422726425498,0.055,0.0,0.0,0.01,0.4,0.59,0.515
dev,"Motivation, Guidance & Positive Feedback",60,0.5333333333333333,0.5333333333333333,0.6055555555555555,0.5027510853020227,0.8130873945100312,0.1944444444444445,0.15462155730557348,0.36209150326797385,0.5032679738562091,0.5650887573964496,0.6075098697490448,0.6945182212336964,0.8833333333333333,0.0,0.0,0.7692307692307693,9,0.0,1.6296296296296295,1.6296296296296295,0.2222222222222222,0.7777777777777778,3.2222222222222223,13,0.0,-0.1282051282051283,0.5027510853020227,0.11666666666666667,0.0,0.0,0.35,0.4666666666666667,0.18333333333333332,0.15
dev,"Personalization, Adaptation & Learning Support",70,0.6,0.6,0.476190476190476,0.4193786493896152,0.6120483433546524,0.06666666666666668,0.01046235155968352,0.35288515406162463,0.5954021608643457,0.5171339563862929,0.46652734416260594,0.5366420310729735,0.9857142857142858,nan,0.0,0.6206896551724138,1,0.0,1.6666666666666665,1.6666666666666665,1.0,1.0,4.0,29,0.0,-0.2183908045977013,0.4193786493896152,0.014285714285714285,0.0,0.0,0.08571428571428572,0.5285714285714286,0.38571428571428573,0.21428571428571427
dev,Reasoning Process Rigor,84,0.6428571428571429,0.6428571428571429,0.4484126984126983,0.4461297281788631,0.7117680497281096,0.11507936507936509,0.0960157336186736,0.48872329855936414,0.6360975090483286,0.8412098298676749,0.6351113138769435,0.7170267036461984,0.9404761904761905,1.0,0.0,0.7407407407407407,16,0.8125,0.4375,0.4375,0.1875,0.1875,1.625,27,0.037037037037037035,-0.14814814814814828,0.4461297281788631,0.05952380952380952,0.15476190476190477,0.011904761904761904,0.07142857142857142,0.35714285714285715,0.40476190476190477,0.38095238095238093
dev,Role & Tone Consistency,50,0.84,0.84,0.2866666666666666,0.2584136467489103,0.3915780041490244,0.06,0.0009986532479524613,0.339443535188216,0.8315875613747954,0.7019374068554396,0.6383165278408668,0.7130667957963857,1.0,nan,nan,0.8333333333333334,0,nan,nan,nan,nan,nan,nan,24,0.0,0.027777777777777606,0.2584136467489103,0.0,0.0,0.0,0.0,0.54,0.46,0.38
dev,Scenario Element Integration,115,0.6869565217391305,0.6869565217391305,0.4666666666666666,0.37915825274514803,0.6527533657682196,0.02608695652173914,-0.02784153889009283,0.3772167832167833,0.6748865916692004,0.4770396790013375,0.4709523653208202,0.5338730963842808,0.9565217391304348,nan,0.0,0.6326530612244898,4,0.0,2.0,2.0,1.0,1.0,4.0,49,0.02040816326530612,-0.197278911564626,0.37915825274514803,0.043478260869565216,0.0,0.0,0.06086956521739131,0.6,0.3391304347826087,0.28695652173913044
test,Basic Factual Accuracy,125,0.808,0.808,0.29866666666666664,0.3119040924906731,0.562533949592773,0.11733333333333326,0.02549634136756254,0.21171171171171171,0.8053333333333333,-0.006283133712939426,0.020853447000052067,0.021774970301036107,0.968,nan,0.0,0.8918918918918919,1,0.0,3.0,3.0,1.0,1.0,5.0,111,0.0,-9.601928861622976e-17,0.3119040924906731,0.032,0.0,0.0,0.0,0.112,0.888,0.696
test,"Clarity, Simplicity & Inspiration",85,0.5411764705882353,0.5411764705882353,0.4823529411764706,0.4220305132533552,0.6293476236330356,-0.1372549019607843,-0.12731656502457517,0.21507996953541508,0.5115003808073115,0.18530351437699677,0.2573894927152095,0.28661568936771503,0.9764705882352941,nan,0.0,0.36585365853658536,2,0.0,1.8333333333333333,1.8333333333333333,1.0,1.0,4.0,41,0.0,-0.4796747967479676,0.4220305132533552,0.023529411764705882,0.0,0.0,0.0,0.7176470588235294,0.2823529411764706,0.21176470588235294
test,Content Relevance & Scope Control,130,0.6923076923076923,0.6923076923076923,0.41282051282051274,0.3727099029801022,0.6181029704274863,0.1256410256410256,0.09234242415151149,0.255866280938605,0.6773186954479142,0.28927680798004995,0.2936890779794327,0.320749470731753,0.9692307692307692,nan,0.0,0.8043478260869565,1,0.0,2.6666666666666665,2.6666666666666665,1.0,1.0,5.0,92,0.0,-0.054347826086956645,0.3727099029801022,0.03076923076923077,0.0,0.0,0.0,0.3,0.7,0.4153846153846154
test,Domain Knowledge Accuracy,65,0.5692307692307692,0.5692307692307692,0.4717948717948718,0.4079070638483151,0.5991446895152781,0.030769230769230743,0.041466757798424105,0.2350806451612903,0.5542493796526056,0.30268199233716475,0.27584786975050835,0.3092919488885793,1.0,nan,nan,0.5588235294117647,0,nan,nan,nan,nan,nan,nan,34,0.0,-0.26470588235294135,0.4079070638483151,0.0,0.0,0.0,0.0,0.5692307692307692,0.4307692307692308,0.2923076923076923
