split,scenario_canonical,n,Accuracy,Exact Match,MAE_label,MAE_expected,RMSE_label,Signed Bias label,Signed Bias expected,Macro-F1,Weighted-F1,Quadratic Weighted Kappa,Kendall tau,Spearman rho,Within-1 Accuracy,Acc@1,Acc@2,Acc@5,low_n,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,low_severe_overestimation_rate,mean_pred_low,high_n,high_to_mid_or_low_rate,high_signed_bias,MAE_score,severe_error_rate,pred_label_1_rate,pred_label_2_rate,pred_label_3_rate,pred_label_4_rate,pred_label_5_rate,monotonic_violation_rate
dev,Automatic Grading,76,0.618421052631579,0.618421052631579,0.44736842105263147,0.4180672115670811,0.6420908827840386,0.07017543859649118,0.024809635787581375,0.3070638035865466,0.6121559382177447,0.6139037433155081,0.6067966259727625,0.6886440687156169,0.9605263157894737,0.0,0.0,0.6764705882352942,5,0.0,1.4,1.4,0.2,0.6,3.2,34,0.0,-0.12745098039215705,0.4180672115670811,0.039473684210526314,0.0,0.0,0.11842105263157894,0.5263157894736842,0.35526315789473684,0.23684210526315788
dev,Emotional Support,125,0.768,0.768,0.31733333333333336,0.30549935744074175,0.4491968140779471,-0.03466666666666667,-0.09031350778082076,0.4306840627696243,0.7667950614688583,0.6820349761526232,0.6668398364570071,0.7383640118052732,0.992,nan,0.0,0.7246376811594203,1,0.0,1.6666666666666665,1.6666666666666665,1.0,1.0,4.0,69,0.0,-0.14975845410628033,0.30549935744074175,0.008,0.0,0.0,0.04,0.544,0.416,0.248
dev,Error Correction,174,0.6149425287356322,0.6149425287356322,0.664750957854406,0.6261203475885821,1.0224179389516628,0.5114942528735631,0.4235642590784486,0.30586897577188843,0.5543601854281466,0.46071508451289256,0.5489304081048877,0.6386585501227531,0.8045977011494253,0.0,0.0,0.9560439560439561,26,0.0,2.1025641025641026,2.1025641025641026,0.8076923076923077,0.9615384615384616,4.0,91,0.0,0.11355311355311343,0.6261203475885821,0.19540229885057472,0.0,0.0,0.10344827586206896,0.23563218390804597,0.6609195402298851,0.3563218390804598
dev,Idea Provision,160,0.65,0.65,0.4479166666666665,0.3898206843378526,0.5957022000220505,0.05625000000000002,-0.004255888915213268,0.2753684210526316,0.6318157894736842,0.45584201865057594,0.41917130757994986,0.4742047753019715,0.9875,nan,nan,0.7088607594936709,0,nan,nan,nan,nan,nan,nan,79,0.012658227848101266,-0.12236286919831244,0.3898206843378526,0.0125,0.0,0.0,0.025,0.51875,0.45625,0.31875
dev,Personalized Content Creation,75,0.6933333333333334,0.6933333333333334,0.4133333333333332,0.3035248682347851,0.5347204184673762,0.013333333333333386,-0.010157463628177788,0.2820783132530121,0.6986244979919679,0.4549763033175356,0.40245721354719216,0.44950539040448556,1.0,nan,nan,0.7096774193548387,0,nan,nan,nan,nan,nan,nan,31,0.0,-0.10752688172043028,0.3035248682347851,0.0,0.0,0.0,0.02666666666666667,0.5333333333333333,0.44,0.5866666666666667
dev,Personalized Learning Support,98,0.7142857142857143,0.7142857142857143,0.39455782312925175,0.315259076601059,0.5106573949887433,0.19727891156462588,0.1767771945376152,0.3672848788638262,0.6856034644434216,0.6016260162601625,0.6105693158934637,0.6899869369743585,0.9897959183673469,nan,nan,0.8,0,nan,nan,nan,nan,nan,nan,35,0.0,0.02857142857142837,0.315259076601059,0.01020408163265306,0.0,0.0,0.030612244897959183,0.5918367346938775,0.37755102040816324,0.40816326530612246
dev,Question Answering,104,0.7788461538461539,0.7788461538461539,0.48397435897435886,0.5168774015335843,0.8873517692511591,0.36858974358974356,0.23960274850460092,0.45836018617973506,0.7345458426285495,0.8011706948640483,0.5742986933163192,0.6337082743524421,0.8942307692307693,1.0,0.0,0.9552238805970149,18,0.7222222222222222,0.8333333333333334,0.8333333333333334,0.2777777777777778,0.2777777777777778,2.111111111111111,67,0.014925373134328358,0.1393034825870645,0.5168774015335843,0.10576923076923077,0.125,0.009615384615384616,0.028846153846153848,0.0673076923076923,0.7692307692307693,0.6826923076923077
dev,Question Generation,120,0.7083333333333334,0.7083333333333334,0.3638888888888888,0.31188273782382664,0.5314201797141386,-0.05277777777777777,-0.0911577808046584,0.4551519763848531,0.7060009339975094,0.7406704617330804,0.6086582255957663,0.6641677033281829,0.9833333333333333,nan,0.14285714285714285,0.7571428571428571,7,0.14285714285714285,0.7619047619047619,0.7619047619047619,0.0,0.0,2.857142857142857,70,0.02857142857142857,-0.14761904761904776,0.31188273782382664,0.016666666666666666,0.0,0.008333333333333333,0.15,0.325,0.5166666666666667,0.21666666666666667
dev,Teaching Material Generation,175,0.6628571428571428,0.6628571428571428,0.4590476190476191,0.39376852007760177,0.6546536707079771,0.24952380952380956,0.24669358437171296,0.2779564806054872,0.6314691174483038,0.28871534913458463,0.3874742115844987,0.43495135728991896,0.9428571428571428,nan,nan,0.8125,0,nan,nan,nan,nan,nan,nan,80,0.0,0.02083333333333315,0.39376852007760177,0.05714285714285714,0.0,0.0,0.005714285714285714,0.4114285714285714,0.5828571428571429,0.6571428571428571
test,Automatic Grading,116,0.41379310344827586,0.41379310344827586,0.7528735632183907,0.741011525153707,0.9407749312478345,0.06321839080459771,-0.048032609141035645,0.1776155717761557,0.3425832704085913,0.07519016968987713,0.07699379489999646,0.09029998728343262,0.896551724137931,nan,0.0,0.24390243902439024,7,0.0,2.0476190476190474,2.0476190476190474,1.0,1.0,4.142857142857143,41,0.04878048780487805,-0.6260162601626018,0.741011525153707,0.10344827586206896,0.0,0.008620689655172414,0.05172413793103448,0.7758620689655172,0.16379310344827586,0.09482758620689655
test,Emotional Support,149,0.6442953020134228,0.6442953020134228,0.43847874720357927,0.40197053899127716,0.62271206882172,-0.013422818791946386,-0.08309305624561915,0.3300324675324675,0.6544386821232459,0.5397892441860466,0.5502543601149125,0.6215837395106336,0.9664429530201343,nan,0.0,0.6703296703296703,2,0.0,2.0,2.0,1.0,1.0,4.0,91,0.01098901098901099,-0.1575091575091577,0.40197053899127716,0.03355704697986577,0.0,0.0,0.06711409395973154,0.5100671140939598,0.4228187919463087,0.16778523489932887
test,Error Correction,139,0.6402877697841727,0.6402877697841727,0.38369304556354916,0.36393546597134296,0.5554756137527739,-0.07673860911270984,-0.160447552255232,0.3355079891468194,0.6503944146461546,0.47270017612789594,0.5037179249295759,0.5568593760710764,0.9856115107913669,nan,0.0,0.6477272727272727,1,0.0,2.0,2.0,1.0,1.0,4.0,88,0.0,-0.23863636363636376,0.36393546597134296,0.014388489208633094,0.0,0.0,0.03597122302158273,0.48201438848920863,0.48201438848920863,0.381294964028777
test,Idea Provision,160,0.65,0.65,0.40625,0.39220482217109137,0.5719119978924496,-0.19375000000000003,-0.21539001686614942,0.3721213047131617,0.6773409212436026,0.49263502454991814,0.4088760742232266,0.44548476418411637,0.9875,nan,nan,0.6206896551724138,0,nan,nan,nan,nan,nan,nan,116,0.017241379310344827,-0.267241379310345,0.39220482217109137,0.0125,0.0,0.0,0.06875,0.4375,0.49375,0.29375
test,Personalized Content Creation,45,0.6888888888888889,0.6888888888888889,0.3925925925925926,0.36799141685305925,0.5510931896727664,0.2740740740740742,0.2520635533319029,0.2891304347826087,0.6519323671497583,0.5594405594405594,0.548524842742414,0.6148200920416776,1.0,nan,nan,1.0,0,nan,nan,nan,nan,nan,nan,15,0.0,0.08888888888888881,0.36799141685305925,0.0,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.6666666666666666
test,Personalized Learning Support,124,0.6693548387096774,0.6693548387096774,0.3709677419354838,0.34359209966077214,0.4954994583868369,0.1236559139784946,0.0842145094391389,0.35002572266792736,0.653704826666894,0.6299854439592432,0.604082711598173,0.6778429902542713,1.0,nan,0.0,0.7666666666666667,1,0.0,0.6666666666666665,0.6666666666666665,0.0,0.0,3.0,60,0.0,-0.07222222222222237,0.34359209966077214,0.0,0.0,0.0,0.04032258064516129,0.49193548387096775,0.46774193548387094,0.3387096774193548
